alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1240899	0.9369948	0.9042970	0.0028633	0.4684634	0.3147239	0.4539949	0.4467284	0.4445580	0.8561782
0.2586563	0.9304528	1.0071054	0.0007934	0.4953232	0.4883597	0.5060921	0.3827238	0.7491013	1.0573344
0.3678929	0.7442200	0.6888943	0.0109645	0.4717907	0.5219911	0.4328716	0.4017079	0.5877535	0.9351013
0.1934710	1.0189381	0.9311536	0.0001295	0.2813660	0.4556128	0.4890996	0.2963809	0.4345525	0.9973288
0.2861818	0.8377214	1.0031127	0.0198669	0.7798385	0.6979928	0.4043576	0.4251291	0.5509487	0.7394327
0.4226166	0.7091873	0.7127736	0.0146073	0.6033042	0.2731078	0.4231222	0.4341204	0.6223126	0.7819858
0.2652076	0.7357822	0.8524212	0.0011949	0.5307997	0.4454805	0.4607935	0.3642747	0.6566891	1.0495935
0.1930740	0.9197138	0.9237408	0.0137917	0.6964006	0.5510334	0.4910989	0.3188704	0.6921084	0.8112898
0.0511790	0.9948674	1.0469377	0.0131876	0.5199875	0.4996027	0.6741090	0.2018991	0.8010391	0.9764231
0.1309631	0.9836583	0.8487930	0.0019350	0.3163724	0.4092457	0.5470762	0.4709699	0.6313409	1.0037424
