"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp

0	0.2056242	1.1039552	1.1257863	0.0104747	0.5286506	0.5697073	0.5269512	0.4392992	0.6954606	0.9243886
50	0.2508541	0.8746316	0.9765004	0.0075220	0.5580854	0.4630093	0.5475315	0.3824205	0.6835743	0.6995568
100	0.2695274	0.9246716	0.8672858	0.0128161	0.7020078	0.5778374	0.5328371	0.4466675	0.6486639	0.4212228
150	0.2525156	1.1786662	0.8889467	0.0116393	0.8137941	0.6366869	0.4279624	0.5759814	0.6811765	0.2854165
200	0.2822845	1.0700160	0.9659486	0.0253503	0.9126176	0.8711751	0.2923578	0.6822865	0.6728719	0.3021783
250	0.3026934	1.0594298	0.9940565	0.0229223	0.8524061	0.7976496	0.2390370	0.6901459	0.6507822	0.2527661
300	0.3083912	0.9661810	0.9942205	0.0235508	0.8684207	0.8940680	0.1762968	0.6962763	0.7420152	0.2684367
350	0.2976715	0.9420440	0.9196113	0.0320676	0.9645408	0.7624196	0.1707108	0.7683776	0.7320583	0.2251437
400	0.2977090	1.0797922	1.0551902	0.0432392	1.0082447	0.8436075	0.1853607	0.8191803	0.6515349	0.1792242
450	0.2120800	1.1290352	0.9379446	0.0482848	1.0582398	0.8804619	0.1553612	0.8537252	0.7254457	0.2022692
500	0.2389846	1.1256433	1.0203627	0.0339859	0.9458526	0.9436099	0.1213180	0.8431463	0.8390518	0.1926848
550	0.2031299	1.1631563	0.9848548	0.0666038	0.9674449	0.9864593	0.1337962	0.8557367	0.7441186	0.4730148
600	0.2300522	1.0126039	0.9546161	0.0466856	0.7946382	0.9371195	0.1756631	0.7694773	0.7624736	0.7178877
650	0.1996262	1.0894832	0.9248109	0.0301154	0.6851008	0.7490546	0.2238932	0.6681596	0.8014879	0.8988845
700	0.1675243	1.0037953	0.8943342	0.0221219	0.5752227	0.5844244	0.3286503	0.5020426	0.7692567	1.0708250
750	0.2375127	0.9599817	1.0261770	0.0133896	0.4799379	0.6088147	0.4405606	0.3970203	0.8400241	1.0087760
800	0.3017405	0.9865851	0.9675423	0.0183775	0.5325330	0.5380259	0.4812491	0.3905200	0.6909738	1.0589081
850	0.2605517	0.9220556	0.8692657	0.0180469	0.5148455	0.5607517	0.5588409	0.3641819	0.6944347	1.1197564
900	0.2480846	1.0102118	0.8652230	0.0201407	0.4752871	0.5404170	0.5266865	0.3314201	0.6995128	1.1053489
950	0.2473364	1.0221825	0.9290924	0.0273344	0.4408348	0.5006309	0.5547590	0.3167564	0.7174528	1.0316367
1000	0.2691981	1.0782510	0.9308162	0.0208983	0.4349470	0.4507499	0.5147633	0.3641022	0.7107246	1.0126401

0	0.2056242	1.1039552	1.1257863	0.0104747	0.5286506	0.5697073	0.5269512	0.4392992	0.6954606	0.9243886
50	0.2863949	1.0533411	1.0389284	0.0390362	0.3523818	0.5481995	0.4361068	0.4575567	0.6585020	0.9756875
100	0.2291852	1.1087938	1.0869500	0.0436314	0.2459625	0.5695143	0.4823982	0.4486487	0.7133904	0.9637587
150	0.2279248	1.0507341	1.0340618	0.0276670	0.2279023	0.5514332	0.4410148	0.4196065	0.6752659	0.9237478
200	0.1943774	0.9999327	0.9631609	0.0212913	0.2033287	0.5044589	0.4624826	0.4463166	0.7390893	0.9611711
250	0.1619884	1.0958753	1.0078127	0.0129301	0.1982911	0.4877346	0.5000119	0.4209750	0.7941562	1.0034501
