alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1260491	1.0160540	0.9296938	0.0293249	0.5229251	0.5268969	0.4707751	0.4123186	0.7768759	1.0768981
0.5947343	0.4683503	0.1074077	0.0273963	0.5092753	0.4642729	0.5118533	0.4406057	0.4515241	1.0003492
0.3115479	1.0402718	0.4362705	0.0074994	0.5448811	0.5075160	0.5477191	0.4394719	0.6729033	0.9881420
0.3184828	0.9541745	0.9810051	0.0060646	0.4604899	0.5216189	0.5725155	0.3419980	0.6322143	0.9817126
0.2505892	0.9890153	0.9436884	0.0215810	0.3463085	0.5361825	0.5136395	0.3393739	0.7646257	0.9648700
0.2523512	1.0220188	0.9887223	0.0268836	0.5013477	0.2929727	0.5215304	0.3778078	0.7663999	0.9558987
0.2196896	0.9961983	0.9568162	0.0089335	0.5804188	0.5267076	0.2871873	0.4509000	0.7432934	0.9577950
0.2218718	1.0120241	0.9636100	0.0210820	0.5049747	0.4690418	0.5036587	0.2037294	0.6763017	0.9247163
0.2794003	0.9716349	0.9847748	0.0201569	0.5506434	0.4908568	0.6358103	0.3420469	0.4092040	1.0675082
0.2681109	0.9739831	0.9145274	0.0231301	0.7818553	0.6995754	0.3482437	0.6643121	0.7408135	0.4923548
