alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0000000	0.9636028	0.9580539	0.0249332	0.4385095	0.4995724	0.5128107	0.3929406	0.6707427	0.9601220
0.9689526	0.0000000	0.0570575	0.0052635	0.4106580	0.5024691	0.5762735	0.3919496	0.0693201	1.1478575
0.2349079	1.0586201	0.0000000	0.0098658	0.4642600	0.5736103	0.5513553	0.3403410	0.7137217	1.0584442
0.2401069	1.1237982	0.9100232	0.0000000	0.5605936	0.4785962	0.5540519	0.4341618	0.7826817	0.9046843
0.2196708	1.1119205	0.9630325	0.0210794	0.0000000	0.6038239	0.6122586	0.3054854	0.7892037	1.0422742
0.3245638	0.9436534	0.9247798	0.0154367	0.5260550	0.0000000	0.4895720	0.4203655	0.6333467	0.9819989
0.2579815	0.9971105	0.9744696	0.0195639	0.6235574	0.4950195	0.0000000	0.3887749	0.7813335	0.9988283
0.2399782	1.1319861	1.0326372	0.0261135	0.5207618	0.5116210	0.5706762	0.0000000	0.7199939	0.9992172
0.2275450	1.0509284	1.0333794	0.0078602	0.5660671	0.5159058	0.5212287	0.3588826	0.0000000	0.9758569
0.2574227	0.9947125	0.9628488	1.1010641	0.9400012	1.0760876	0.0277588	1.0727618	0.9181133	0.0000000
