alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1491952	0.8771956	0.9540008	0.0032551	0.5710986	0.3499525	0.4998169	0.4904899	0.4331718	0.7615365
0.2201934	0.9744710	0.9330354	0.0013437	0.4882728	0.4960906	0.5169860	0.3520866	0.8011211	0.9398202
0.3766319	0.7403433	0.7368282	0.0119404	0.4509433	0.4752500	0.4142762	0.3931703	0.5658794	0.8839414
0.2144222	1.0235405	0.9458246	0.0021300	0.3043324	0.4426998	0.5211134	0.2826394	0.3930916	0.9716395
0.3280967	0.8843229	1.0228301	0.0231878	0.7378354	0.6890895	0.4813368	0.4552119	0.4805096	0.7126036
0.4376202	0.7263562	0.7673324	0.0196553	0.5953756	0.4022315	0.4272801	0.5200863	0.5716619	0.8135844
0.2867147	0.8030338	0.9109426	0.0023908	0.5263346	0.4167401	0.5054598	0.3185560	0.6568872	0.9838809
0.2044500	0.9684405	0.9362260	0.0237342	0.6420612	0.5343060	0.3959376	0.3214573	0.6556128	0.7879794
0.0414861	1.0733356	1.0066862	0.0231368	0.3655035	0.5516844	0.6929181	0.2574502	0.7088523	1.0047861
0.1396293	0.9127272	0.8670201	0.0035050	0.3378681	0.3974583	0.5777490	0.4351471	0.6677426	0.9504382
