"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.2468293	1.0000000	0.9649279	0.0134625	0.5683197	0.5491641	0.4827258	0.4301724	0.6450592	0.3181229
100	0.2468293	1.0000000	0.9649279	0.0143983	0.7125366	0.6484863	0.3856294	0.5910886	0.6324931	0.2570200
150	0.2468293	1.0000000	0.9649279	0.0168564	0.8269004	0.7412503	0.2918911	0.7220247	0.6441257	0.2515446
200	0.2468293	1.0000000	0.9649279	0.0203927	0.8885393	0.8012953	0.2290383	0.7923303	0.6644501	0.2510539
250	0.2468293	1.0000000	0.9649279	0.0236532	0.9171942	0.8341355	0.1934123	0.8241964	0.6819891	0.2510100
300	0.2468293	1.0000000	0.9649279	0.0259045	0.9297290	0.8505595	0.1749574	0.8377503	0.6934689	0.2510060
350	0.2468293	1.0000000	0.9649279	0.0272076	0.9350654	0.8583487	0.1659015	0.8433913	0.6999730	0.2510057
400	0.2468293	1.0000000	0.9649279	0.0278851	0.9373077	0.8619180	0.1616135	0.8457233	0.7033602	0.2510057
450	0.2468293	1.0000000	0.9649279	0.0282142	0.9382433	0.8635153	0.1596334	0.8466857	0.7050325	0.2510057
500	0.2468293	1.0000000	0.9649279	0.0283673	0.9386321	0.8642181	0.1587358	0.8470828	0.7058288	0.2510057
550	0.2468293	1.0000000	0.9649279	0.0217503	0.8742585	0.8053856	0.2152057	0.7185666	0.7308306	0.9328828
600	0.2468293	1.0000000	0.9649279	0.0165123	0.7224385	0.6855858	0.3334815	0.5234300	0.7163705	0.9939856
650	0.2468293	1.0000000	0.9649279	0.0144885	0.6137332	0.6006858	0.4204946	0.4283820	0.7077928	0.9994611
700	0.2468293	1.0000000	0.9649279	0.0137475	0.5574057	0.5545733	0.4696618	0.3907866	0.7037664	0.9999517
750	0.2468293	1.0000000	0.9649279	0.0134783	0.5313398	0.5319627	0.4947222	0.3762081	0.7019734	0.9999957
800	0.2468293	1.0000000	0.9649279	0.0133802	0.5198595	0.5214326	0.5068321	0.3704514	0.7011909	0.9999996
850	0.2468293	1.0000000	0.9649279	0.0133442	0.5149285	0.5166768	0.5124954	0.3681352	0.7008529	1.0000000
900	0.2468293	1.0000000	0.9649279	0.0133310	0.5128404	0.5145723	0.5150851	0.3671918	0.7007078	1.0000000
950	0.2468293	1.0000000	0.9649279	0.0133260	0.5119637	0.5136544	0.5162501	0.3668050	0.7006458	1.0000000
1000	0.2468293	1.0000000	0.9649279	0.0133241	0.5115977	0.5132583	0.5167675	0.3666459	0.7006194	1.0000000

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.2113139	1.0000000	0.9649279	0.0133232	0.2858751	0.5129644	0.5171690	0.3665343	0.7006004	1.0000000
100	0.2021544	1.0000000	0.9649279	0.0133230	0.2201886	0.5129643	0.5171694	0.3665343	0.7006002	1.0000000
150	0.1997921	1.0000000	0.9649279	0.0133230	0.2010514	0.5129643	0.5171696	0.3665343	0.7006000	1.0000000
200	0.1991829	1.0000000	0.9649279	0.0133230	0.1954759	0.5129643	0.5171696	0.3665343	0.7006000	1.0000000
250	0.1990258	1.0000000	0.9649279	0.0133230	0.1938516	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
300	0.1989853	1.0000000	0.9649279	0.0133230	0.1933783	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
350	0.1989748	1.0000000	0.9649279	0.0133230	0.1932404	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
400	0.1989721	1.0000000	0.9649279	0.0133230	0.1932003	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
450	0.1989714	1.0000000	0.9649279	0.0133230	0.1931886	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
500	0.1989712	1.0000000	0.9649279	0.0133230	0.1931852	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
550	0.2344865	1.0000000	0.9649279	0.0133230	0.4186467	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
600	0.2436460	1.0000000	0.9649279	0.0133230	0.4843329	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
650	0.2460083	1.0000000	0.9649279	0.0133230	0.5034700	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
700	0.2466175	1.0000000	0.9649279	0.0133230	0.5090454	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
750	0.2467746	1.0000000	0.9649279	0.0133230	0.5106698	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
800	0.2468152	1.0000000	0.9649279	0.0133230	0.5111430	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
850	0.2468256	1.0000000	0.9649279	0.0133230	0.5112809	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
900	0.2468283	1.0000000	0.9649279	0.0133230	0.5113211	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
950	0.2468290	1.0000000	0.9649279	0.0133230	0.5113328	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
1000	0.2468292	1.0000000	0.9649279	0.0133230	0.5113362	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.2351801	0.5325356	0.9096250	0.0133232	0.5113376	0.5129644	0.5171690	0.1918777	0.6768896	1.0000000
100	0.3556056	0.4108190	0.6222037	0.0133230	0.5113376	0.5129643	0.5171694	0.1655059	0.6061296	1.0000000
150	0.4700141	0.3791269	0.5192985	0.0133230	0.5113376	0.5129643	0.5171696	0.1615240	0.5375391	1.0000000
200	0.5308697	0.3708751	0.5025398	0.0133230	0.5113376	0.5129643	0.5171696	0.1609227	0.4944497	1.0000000
250	0.5560923	0.3687265	0.4992245	0.0133230	0.5113376	0.5129642	0.5171697	0.1608319	0.4725509	1.0000000
300	0.5652881	0.3681670	0.4984181	0.0133230	0.5113376	0.5129642	0.5171697	0.1608182	0.4625970	1.0000000
350	0.5683948	0.3680214	0.4982074	0.0133230	0.5113376	0.5129642	0.5171697	0.1608162	0.4583480	1.0000000
400	0.5693931	0.3679835	0.4981516	0.0133230	0.5113376	0.5129642	0.5171697	0.1608158	0.4566009	1.0000000
450	0.5697029	0.3679736	0.4981368	0.0133230	0.5113376	0.5129642	0.5171697	0.1608158	0.4558990	1.0000000
500	0.5697965	0.3679710	0.4981330	0.0133230	0.5113376	0.5129642	0.5171697	0.1608158	0.4556211	1.0000000
550	0.5570110	0.8354348	0.4165475	0.0133230	0.5113376	0.5129642	0.5171697	0.3354723	0.5048313	1.0000000
600	0.3916467	0.9571511	0.8723279	0.0133230	0.5113376	0.5129642	0.5171697	0.3618441	0.5929894	1.0000000
650	0.3016182	0.9888432	0.9482218	0.0133230	0.5113376	0.5129642	0.5171697	0.3658261	0.6499174	1.0000000
700	0.2657696	0.9970950	0.9609610	0.0133230	0.5113376	0.5129642	0.5171697	0.3664273	0.6784846	1.0000000
750	0.2530318	0.9992436	0.9638884	0.0133230	0.5113376	0.5129642	0.5171697	0.3665181	0.6913708	1.0000000
800	0.2487849	0.9998031	0.9646507	0.0133230	0.5113376	0.5129642	0.5171697	0.3665318	0.6968546	1.0000000
850	0.2474286	0.9999487	0.9648542	0.0133230	0.5113376	0.5129642	0.5171697	0.3665339	0.6991072	1.0000000
900	0.2470090	0.9999866	0.9649084	0.0133230	0.5113376	0.5129642	0.5171697	0.3665342	0.7000121	1.0000000
950	0.2468822	0.9999965	0.9649228	0.0133230	0.5113376	0.5129642	0.5171697	0.3665342	0.7003702	1.0000000
1000	0.2468446	0.9999991	0.9649265	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.7005107	1.0000000

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.2868794	0.6272018	0.8829933	0.0045248	0.5113376	0.5129644	0.5721663	0.1529635	0.6823045	1.0000000
100	0.3991624	0.5301341	0.5391648	0.0015481	0.5113376	0.5129643	0.5931766	0.1207160	0.6308953	1.0000000
150	0.4944071	0.5048599	0.3130847	0.0005410	0.5113376	0.5129643	0.6012028	0.1158468	0.5837231	1.0000000
200	0.5444475	0.4982792	0.2460935	0.0002004	0.5113376	0.5129643	0.6042690	0.1151116	0.5550190	1.0000000
250	0.5652580	0.4965657	0.2283590	0.0000851	0.5113376	0.5129642	0.6054403	0.1150006	0.5406710	1.0000000
300	0.5728759	0.4961195	0.2236052	0.0000461	0.5113376	0.5129642	0.6058878	0.1149838	0.5342066	1.0000000
350	0.5754569	0.4960034	0.2223281	0.0000329	0.5113376	0.5129642	0.6060588	0.1149813	0.5314609	1.0000000
400	0.5762880	0.4959731	0.2219874	0.0000285	0.5113376	0.5129642	0.6061241	0.1149809	0.5303353	1.0000000
450	0.5765463	0.4959652	0.2218972	0.0000269	0.5113376	0.5129642	0.6061490	0.1149809	0.5298839	1.0000000
500	0.5766244	0.4959632	0.2218734	0.0000264	0.5113376	0.5129642	0.6061585	0.1149809	0.5297054	1.0000000
550	0.4922030	0.8687609	0.6001593	0.0088247	0.5113376	0.5129642	0.5511649	0.3285516	0.5615704	1.0000000
600	0.3590677	0.9658285	0.9027464	0.0118012	0.5113376	0.5129642	0.5301564	0.3607992	0.6222594	1.0000000
650	0.2894545	0.9911025	0.9524207	0.0128081	0.5113376	0.5129642	0.5221308	0.3656683	0.6631349	1.0000000
700	0.2616402	0.9976833	0.9618203	0.0131488	0.5113376	0.5129642	0.5190649	0.3664035	0.6841055	1.0000000
750	0.2516986	0.9993968	0.9641029	0.0132640	0.5113376	0.5129642	0.5178937	0.3665145	0.6936796	1.0000000
800	0.2483689	0.9998429	0.9647071	0.0133030	0.5113376	0.5129642	0.5174463	0.3665313	0.6977823	1.0000000
850	0.2473021	0.9999591	0.9648691	0.0133162	0.5113376	0.5129642	0.5172753	0.3665338	0.6994746	1.0000000
900	0.2469712	0.9999894	0.9649124	0.0133207	0.5113376	0.5129642	0.5172100	0.3665342	0.7001561	1.0000000
950	0.2468711	0.9999972	0.9649238	0.0133222	0.5113376	0.5129642	0.5171851	0.3665342	0.7004264	1.0000000
1000	0.2468414	0.9999993	0.9649268	0.0133227	0.5113376	0.5129642	0.5171756	0.3665343	0.7005325	1.0000000

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.2468293	1.0000000	0.9649279	0.0133232	0.5113376	0.5129644	0.5927056	0.3665343	0.7006004	1.0000000
100	0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129643	0.6215623	0.3665343	0.7006002	1.0000000
150	0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129643	0.6325860	0.3665343	0.7006000	1.0000000
