alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1234170	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.5724416	0.5000002	0.2293836	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.5316814	1.0000000
0.2468293	1.0000000	0.4824639	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0066619	0.5113376	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.2556821	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.2565025	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.2585914	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.1832671	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.3503248	1.0000000
0.2468293	1.0000000	0.9649279	0.0151325	0.7944865	0.7210507	0.3053512	0.6355947	0.7216626	0.5000000
