alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0000001	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
1.0000000	0.0000000	0.0629037	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.0956343	1.0000000
0.2468293	1.0000000	0.0000000	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0000003	0.5113376	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.0000007	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.0000006	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.0000001	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.0000000	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.0000011	1.0000000
0.2468293	1.0000000	0.9649279	0.9999993	1.0000000	0.9999998	0.0178823	1.0000000	0.9999997	0.0000000
