alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1221899	0.9251956	0.9422492	0.0004920	0.4859889	0.3569747	0.4999467	0.4539366	0.4506719	0.7906881
0.2468293	1.0000000	0.9462472	0.0002722	0.5113376	0.5129642	0.4992891	0.3055938	0.7006000	1.0000000
0.2855596	0.7993622	0.8674118	0.0133230	0.5113376	0.5129642	0.4992891	0.3665343	0.6485519	1.0000000
0.1898946	1.0000000	0.9020242	0.0002985	0.2914638	0.4611613	0.4801829	0.3251189	0.3960837	0.9427178
0.3235011	0.8231787	0.9103066	0.0139618	0.6907841	0.6414633	0.4414476	0.4198184	0.5181449	0.6630802
0.4125946	0.6806732	0.6039137	0.0137688	0.6568693	0.3868249	0.4322428	0.4913610	0.6192154	0.7191762
0.2720421	0.7950381	0.8733802	0.0002377	0.5113376	0.4655158	0.4992891	0.3665343	0.6472487	1.0000000
0.1814435	0.9038300	0.9382037	0.0135621	0.6065852	0.5810120	0.4501651	0.2852617	0.6813209	0.8072531
0.0588166	1.0000000	0.9747699	0.0133230	0.5113376	0.5129642	0.6336839	0.2183045	0.7006000	1.0000000
0.1303642	0.9576761	0.8904459	0.0003247	0.2911171	0.4053310	0.4603717	0.4101127	0.6638439	0.8866825
