alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1234642	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171696	0.3665343	0.7006000	1.0000000
0.5723608	0.5000008	0.2293879	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.5318043	1.0000000
0.2468293	1.0000000	0.4825049	0.0133230	0.5113376	0.5129643	0.5171685	0.3665349	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0066653	0.5113376	0.5129642	0.5171696	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.2557174	0.5129642	0.5171696	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.2565563	0.5171696	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.2587524	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.1833746	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.3504044	1.0000000
0.2468293	1.0000000	0.9649279	0.0151311	0.7944670	0.7210164	0.3056067	0.6354143	0.7216488	0.5000079
