alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0000029	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.9999985	0.0000000	0.0629037	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.0956668	1.0000000
0.2468293	1.0000000	0.0000014	0.0133230	0.5113376	0.5129642	0.5171694	0.3665344	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0000028	0.5113376	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.0000024	0.5129642	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.0000023	0.5171697	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.0000060	0.3665343	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.0000040	0.7006000	1.0000000
0.2468293	1.0000000	0.9649279	0.0133230	0.5113376	0.5129642	0.5171697	0.3665343	0.0000047	1.0000000
0.2468293	1.0000000	0.9649279	0.9999906	1.0000000	0.9999992	0.0178999	0.9999933	0.9999986	0.0000005
