alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1029612	0.7382713	0.8036402	0.0311331	0.4265196	0.3988881	0.3561349	0.2916091	0.5104598	1.0909430
0.4639830	0.3419690	0.1075934	0.0183937	0.4542815	0.3438285	0.3921514	0.3421332	0.3567934	0.6305671
0.2438555	0.6926328	0.2950208	0.0049162	0.3204081	0.3805955	0.4208735	0.3402453	0.4622103	0.8320131
0.2858733	0.7130545	0.8034455	0.0053196	0.4007952	0.4675170	0.4262950	0.3055050	0.4700882	0.6883259
0.2076696	0.8067836	0.8309094	0.0181047	0.2741385	0.3329109	0.4067544	0.2619873	0.6153488	0.7875947
0.1525948	0.7855765	0.8057427	0.0252723	0.4953543	0.3269024	0.3240433	0.2497843	0.6383172	0.7707475
0.2229402	0.7562112	0.7228669	0.0055834	0.3730384	0.3500243	0.2570903	0.3773846	0.6531558	0.7266968
0.2110714	0.8650022	0.6668472	0.0095975	0.3653307	0.3875926	0.4819326	0.1625712	0.5455287	0.6823327
0.2567730	0.7501484	0.8366137	0.0283903	0.4370925	0.3190715	0.4068141	0.2313741	0.2653119	0.9246689
0.1534289	0.7307788	0.7111616	0.0115995	0.5930284	0.5465784	0.2950663	0.4655166	0.5178616	0.3472810
