alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.0000000	0.7464647	0.7719797	0.0139278	0.3228941	0.4305612	0.4151466	0.3141500	0.5408214	0.8425057
0.7707886	0.0000000	0.0508722	0.0061272	0.3654515	0.4193929	0.4600484	0.2813271	0.0359881	0.8804472
0.1652908	0.7770057	0.0000000	0.0188064	0.3071999	0.4181799	0.3176987	0.3080216	0.4888248	0.7639911
0.1702194	0.7951515	0.7310264	0.0000000	0.4385535	0.3082256	0.3880694	0.2979504	0.6127625	0.7659577
0.1608323	0.9259456	0.6945075	0.0154193	0.0000000	0.4977394	0.4850782	0.2493955	0.6474069	0.7767824
0.2573322	0.6967179	0.7295780	0.0254621	0.3427246	0.0000000	0.3498284	0.3052353	0.4669377	0.7177800
0.2084411	0.7535763	0.7540803	0.0190949	0.4056617	0.5056310	0.0000000	0.2755434	0.5517490	0.8111714
0.1646685	0.8556741	0.8422609	0.0147590	0.4449995	0.3954292	0.4368236	0.0000000	0.6379409	0.6722633
0.1553656	0.6619775	0.7727247	0.0015727	0.4316334	0.4021366	0.4111417	0.2629931	0.0000000	0.7403321
0.1775913	0.7051569	0.7057325	0.8811434	0.7861866	0.7629797	0.0134657	0.8514702	0.7689109	0.0000000
