alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1065025	0.6111298	0.6881014	0.0012936	0.5516791	0.2635736	0.3668843	0.4293606	0.4095872	0.5689523
0.1434364	0.7703766	0.7667703	0.0004988	0.4587691	0.3034238	0.4725683	0.2211607	0.6096460	0.7013479
0.2952084	0.5313034	0.5282459	0.0129880	0.3559624	0.3286351	0.3641644	0.2929927	0.4720376	0.6373088
0.1669363	0.7633618	0.6794177	0.0021195	0.1993797	0.3061669	0.4042006	0.2213906	0.2897351	0.7635298
0.2521582	0.5846084	0.8365407	0.0092573	0.5717670	0.5062632	0.3982694	0.3340506	0.3983528	0.5466488
0.3132290	0.5683533	0.5476549	0.0148538	0.4540201	0.3309916	0.2863904	0.3438038	0.4935916	0.6688435
0.1647410	0.4811880	0.7904478	0.0007191	0.3550306	0.3417012	0.3867814	0.2319163	0.6435533	0.8529579
0.1244783	0.6498863	0.6674088	0.0193622	0.4779359	0.4104551	0.3088927	0.2770876	0.4975335	0.6991931
0.0257694	0.9490598	0.8638606	0.0104670	0.3028781	0.4348133	0.5651369	0.1627530	0.5511918	0.7844251
0.1154258	0.6190411	0.5985170	0.0052335	0.2689548	0.2515038	0.4988539	0.3221830	0.5829179	0.8393651
