"Time"	alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp

0	0.8249746	0.5219460	0.0570009	0.0791128	0.2789946	0.7117890	0.2966692	0.1609767	0.7850083
50	0.7454241	0.4901861	0.0842657	0.0890713	0.2915857	0.7479272	0.3768062	0.2305577	0.3849487
100	0.6499523	0.4939225	0.1206589	0.2203879	0.3606996	0.6553724	0.4798001	0.3559604	0.3892028
150	0.7539298	0.4360286	0.1438502	0.2366561	0.3877874	0.5065936	0.6510542	0.5060367	0.3626446
200	0.7571849	0.4691327	0.0991832	0.3301825	0.4611812	0.4627947	0.6167838	0.5668184	0.3488467
250	0.7401333	0.4130241	0.1602434	0.3919975	0.4229013	0.3197953	0.8094114	0.5711637	0.2536997
300	0.7843881	0.4192827	0.1180584	0.3226950	0.3769658	0.3761929	0.6535089	0.6208915	0.3105186
350	0.6111510	0.3268612	0.1909305	0.4375037	0.5603884	0.2608038	0.5953558	0.6090645	0.3458533
400	0.7460109	0.2942709	0.1475021	0.5495919	0.5386381	0.2769842	0.6738718	0.6856061	0.3396276
450	0.7553294	0.2112805	0.1415437	0.2925829	0.4580333	0.3736921	0.8545317	0.6084682	0.2521012
500	0.7755731	0.3014127	0.1780990	0.4061278	0.5185832	0.2530840	0.7081246	0.7601016	0.2587495
550	0.7481139	0.2745319	0.0629861	0.2489297	0.3299785	0.5762642	0.6294193	0.6485543	0.6342627
600	0.8656282	0.2709447	0.0636299	0.0700099	0.2617460	0.6112759	0.3719823	0.4450498	0.6648259
650	0.7460861	0.3421553	0.0416817	0.1028490	0.3028793	0.8074354	0.3263295	0.3915553	0.7500791
700	0.7475026	0.4466988	0.0213391	0.0941962	0.2482866	0.6342808	0.2772942	0.2117778	0.7787134
750	0.7559005	0.4555473	0.0386121	0.0727620	0.3308785	0.6451534	0.2561215	0.2453064	0.8522271
800	0.6983734	0.4361472	0.0440729	0.0666836	0.2015610	0.6393516	0.2330218	0.1741971	0.8303792
850	0.7628687	0.4499900	0.0475801	0.0781017	0.1847942	0.6083397	0.3199872	0.1786815	0.7454941
900	0.8452296	0.5265438	0.0743046	0.0729516	0.1903405	0.6428529	0.2586809	0.1914402	0.7932362
950	0.7108078	0.5605744	0.0431356	0.0815424	0.2140751	0.7074320	0.3095972	0.1854931	0.7727122
1000	0.6856420	0.4706826	0.0419128	0.0712611	0.2199828	0.6456172	0.3817243	0.1687547	0.7543131

0	0.9323381	0.5144508	0.0688539	0.0789717	0.2679580	0.6638504	0.2478495	0.1303754	0.8633203
50	0.5021024	0.6403179	0.0511838	0.0906180	0.0785003	0.7008813	0.3268782	0.1335608	0.6566921
100	0.5257785	0.5270402	0.0270445	0.0916046	0.0542665	0.6650399	0.2998018	0.1237469	0.6975517
150	0.4431691	0.4606661	0.0408109	0.1142608	0.1090460	0.6876799	0.2805244	0.2220323	0.7059339
200	0.5051574	0.5698028	0.0751808	0.0713366	0.0865658	0.7166185	0.3580876	0.1456235	0.6734730
250	0.4170727	0.4144431	0.0464293	0.1046497	0.0936193	0.6277566	0.2926128	0.2128216	0.8020110
300	0.4790913	0.5346302	0.0443912	0.0814477	0.0813111	0.7679838	0.3674068	0.1826135	0.7519423
350	0.4983110	0.5076782	0.0318242	0.0688862	0.0785447	0.6459257	0.3219200	0.2128908	0.7067555
400	0.4667951	0.4361005	0.0411283	0.1206739	0.0846981	0.6667518	0.3464169	0.1683827	0.7978053
450	0.5486435	0.5033541	0.0456798	0.0416630	0.1176931	0.7335357	0.2427874	0.1606950	0.8606393
500	0.4910806	0.4611399	0.0318147	0.0580721	0.0793384	0.6420824	0.2304334	0.2158202	0.7098273
550	0.5960409	0.6053196	0.0282998	0.0457632	0.3474927	0.5797574	0.2582716	0.1103980	0.8858740
600	0.7851616	0.4110786	0.0729988	0.0423156	0.3087260	0.7325318	0.2620962	0.1705433	0.7591381
650	0.7641842	0.4033893	0.0691719	0.0815281	0.2098526	0.6524965	0.4367052	0.1164968	0.7693283
700	0.7905590	0.4187413	0.0405402	0.0681336	0.3103567	0.7258708	0.2384138	0.2023382	0.6993869
750	0.7130507	0.4652100	0.0501402	0.0751234	0.3109616	0.6887234	0.2100761	0.1504951	0.7494066
800	0.7367038	0.3803471	0.0408431	0.0907849	0.2257762	0.6952340	0.3839434	0.1172013	0.6223080
850	0.6154924	0.5040558	0.0475986	0.0766117	0.2171189	0.7158688	0.3631224	0.1232931	0.7251420
900	0.7682903	0.4325207	0.0770647	0.0763513	0.2163484	0.7006222	0.3181950	0.2112289	0.6852977
950	0.7044770	0.4610173	0.0381638	0.0640791	0.1719213	0.7185602	0.3313079	0.1918919	0.7446308
1000	0.7101050	0.4544811	0.0471925	0.0686857	0.1838627	0.7463478	0.2806782	0.1431082	0.6442084

