"Time"	alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp

0	1.1478807	0.7379238	0.0936706	0.0864206	0.3231936	0.9421828	0.3854246	0.2245409	1.1470870
50	0.9963417	0.6804658	0.0674176	0.1131226	0.3631649	1.0339568	0.4755873	0.2671604	0.6027450
100	0.9832202	0.6573050	0.1450870	0.2654754	0.4973742	0.8541490	0.7212929	0.4758870	0.5150945
150	1.1305161	0.6320830	0.1603277	0.3519595	0.5399847	0.7271808	0.8485144	0.6481557	0.5052000
200	0.9992033	0.6010789	0.1713805	0.4796657	0.6142023	0.6121861	0.9294487	0.7281695	0.4019548
250	1.1131431	0.5473061	0.2313683	0.5336969	0.5901529	0.4787714	1.0064791	0.8128663	0.4341602
300	1.0321886	0.5070418	0.1601307	0.4872982	0.5662535	0.4913178	0.8369174	0.8850544	0.3632612
350	1.0008453	0.4519812	0.2558702	0.6180261	0.7768342	0.3286055	0.8761807	0.8822562	0.4177718
400	0.9648638	0.4133210	0.1598931	0.6568501	0.7563109	0.3365316	0.9015819	0.8531328	0.4675607
450	1.0826596	0.3788459	0.1827878	0.5148727	0.6593238	0.3986904	0.9791970	0.8788925	0.4350948
500	1.0141462	0.3821487	0.2201527	0.6050438	0.7086017	0.3804988	1.0056914	0.9580841	0.4123696
550	1.0306931	0.3478602	0.0890946	0.3490443	0.5192718	0.6906838	0.8047937	0.8398172	0.8344688
600	1.0665048	0.3868267	0.0691199	0.1491498	0.3466159	0.8676624	0.5836920	0.5584776	0.9308863
650	0.9757197	0.5028676	0.0709503	0.1481036	0.3585847	1.0024501	0.4824748	0.4358288	1.0422519
700	0.9784230	0.6624291	0.0576245	0.1213951	0.3281308	1.0109109	0.4374411	0.3358589	0.9876672
750	0.9644764	0.6928163	0.0571846	0.1070405	0.3816318	1.0368204	0.3977788	0.3064237	1.0291186
800	0.9805148	0.6595313	0.0624030	0.1002349	0.3125933	0.9533256	0.3448615	0.2404873	1.0386905
850	1.0337088	0.5654413	0.0530315	0.1248409	0.3052126	0.9452919	0.4502567	0.2538475	1.0065575
900	0.9684972	0.6182080	0.0713132	0.0888496	0.2514330	0.8891851	0.3695499	0.2305048	1.0603353
950	0.9739718	0.6475260	0.0557212	0.0887322	0.3495803	1.0414686	0.4249305	0.2321602	0.9630471
1000	0.9973041	0.7033981	0.0746924	0.1083024	0.2719897	0.9646403	0.4361175	0.2361625	0.9454904

0	1.1478807	0.7379238	0.0936706	0.0864206	0.3231936	0.9421828	0.3854246	0.2245409	1.1470870
50	0.6934548	0.6677228	0.0738123	0.1101538	0.1251541	1.0084866	0.4332194	0.1555044	1.0040144
100	0.7138707	0.6696395	0.0693611	0.0934585	0.0889375	0.9620336	0.4050330	0.2031241	0.9825325
150	0.6750081	0.6382949	0.0487621	0.0990168	0.1278756	1.0099174	0.3958148	0.2236970	1.0649326
200	0.6656300	0.6304840	0.0831960	0.1068312	0.1243658	0.9020769	0.4481960	0.2439574	0.9866111
250	0.6508808	0.6498297	0.0583244	0.1112389	0.1270072	0.8464693	0.3909959	0.2416328	0.9481966
300	0.6778030	0.6681351	0.0466905	0.1143281	0.1333879	1.0210475	0.4250419	0.2557741	0.8843006
350	0.6860990	0.6652118	0.0506958	0.1257406	0.1185439	0.9694277	0.4483352	0.2467203	1.0225883
400	0.6453996	0.6238355	0.0626820	0.1335285	0.1053448	1.0082555	0.4254424	0.2571263	1.1153868
450	0.6611487	0.6783795	0.0547633	0.0901394	0.0882514	0.9482734	0.3502452	0.2112851	1.0323669
500	0.6626947	0.7118786	0.0597267	0.0627384	0.1317511	1.0199096	0.3618713	0.1813284	1.0601742
550	0.9933174	0.7253977	0.0432981	0.0751632	0.4914770	0.9718614	0.3537027	0.1792884	1.0276303
600	1.0254755	0.6471997	0.0761765	0.0730003	0.3886767	0.9858020	0.3754834	0.1998592	1.0336101
650	1.0749721	0.6098070	0.0647596	0.1113326	0.3342332	0.9095365	0.4466524	0.1865965	1.0026584
700	1.0490008	0.6774780	0.0489777	0.1129654	0.3333820	0.9497758	0.4068313	0.2108060	0.9353500
750	1.0060054	0.6411306	0.0511458	0.0998710	0.3513801	1.0045464	0.3153478	0.1760542	1.0536780
800	0.9473012	0.6194121	0.0662838	0.1065005	0.3287237	0.9905147	0.4287188	0.1373786	1.0104047
850	0.9862507	0.6538674	0.0628339	0.0779742	0.2843451	0.9650468	0.4212818	0.1925175	0.9485613
900	1.0858359	0.6369939	0.0604809	0.1037943	0.2861539	0.8909226	0.4479433	0.2308987	0.9433583
950	1.0196501	0.6268546	0.0670032	0.1065101	0.2978609	0.9437628	0.4825432	0.2554846	0.9508522
