"Time"	alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp

0	1.1039905	0.7537456	0.0691353	0.0909579	0.3185076	0.9375095	0.3478933	0.1997035	1.1249885
50	0.9454949	0.7098041	0.0559849	0.0950868	0.3341080	1.0267674	0.3895146	0.1979435	0.8456074
100	0.9817077	0.6334151	0.0977874	0.1624246	0.4274699	0.8919075	0.5321078	0.3719405	0.5596636
150	1.0626018	0.6306587	0.1412438	0.2760841	0.4360704	0.7742505	0.6908713	0.5477782	0.4810485
200	1.0861904	0.6561517	0.1248697	0.3515363	0.5639054	0.6856210	0.7693012	0.6540081	0.4448279
250	1.1101801	0.5222043	0.1696741	0.4474787	0.5841319	0.6418315	0.8366705	0.7386634	0.3916429
300	1.1071869	0.5986190	0.1432887	0.4569553	0.5739013	0.5479338	0.8648015	0.8204356	0.4490347
350	1.0681260	0.5110665	0.2293656	0.4755112	0.5993048	0.4627699	0.9210278	0.8830861	0.3774568
400	0.9779270	0.4058775	0.2089831	0.5236097	0.7512082	0.3827228	0.9409435	0.8613272	0.4122690
450	0.9934989	0.4722629	0.1851636	0.5723968	0.6873082	0.4137243	0.9534179	0.8567158	0.3892404
500	1.0652157	0.3264409	0.2000126	0.5561287	0.7258980	0.3930461	1.0345359	0.8400914	0.3542827
550	1.0458289	0.3484897	0.1418995	0.5260310	0.6590042	0.4653013	0.9220809	0.8466779	0.7970046
600	1.0618645	0.3427703	0.0924127	0.3289440	0.5010899	0.6646567	0.7684453	0.7593532	0.8847336
650	0.9754686	0.5294262	0.0799610	0.2480207	0.3893997	0.8020033	0.6479443	0.5391699	0.9272929
700	1.0348495	0.6122382	0.0581697	0.1803112	0.3580889	0.9260107	0.5109939	0.4063656	1.0211297
750	0.9702228	0.6418760	0.0579152	0.1284258	0.3408699	1.0360985	0.4629340	0.3583160	0.9598164
800	0.9857860	0.6448414	0.0739760	0.1044926	0.3757238	1.0230346	0.3766896	0.2538715	1.0173840
850	1.0121976	0.5755444	0.0943876	0.1289802	0.3145117	0.9516965	0.4592734	0.2775991	0.9588928
900	0.9966899	0.5539081	0.0763579	0.1026749	0.2980931	0.9124595	0.4568510	0.2348112	0.9961399
950	1.0226688	0.6637116	0.0458740	0.0945303	0.3393307	0.9323057	0.4587720	0.2071486	0.9952374
1000	1.0310449	0.7452833	0.0578015	0.1284524	0.3190749	0.8708382	0.4272373	0.2152236	1.0469426

0	1.1039905	0.7537456	0.0691353	0.0909579	0.3185076	0.9375095	0.3478933	0.1997035	1.1249885
50	0.7245786	0.6101990	0.0549625	0.1065027	0.2626326	0.9945963	0.4029751	0.1843637	1.0828490
100	0.6627835	0.6907462	0.0676229	0.0907778	0.1338095	1.0240727	0.4326452	0.1988798	0.9959690
150	0.6732585	0.5623293	0.0600116	0.1076069	0.1406921	1.0265619	0.4152393	0.1460469	1.0426452
200	0.6705229	0.6518876	0.0796747	0.1189613	0.1117118	1.0991175	0.4078534	0.1689810	0.8978611
