"Time"	alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	1.0000000	0.6715264	0.0788831	0.1285268	0.3515346	0.9442906	0.5365082	0.3097088	0.6145638
100	1.0000000	0.6326395	0.1187060	0.2395919	0.4448068	0.8015846	0.7631525	0.5400676	0.4914739
150	1.0000000	0.5688582	0.1495174	0.3556651	0.5529389	0.6300527	0.8657505	0.7191326	0.4521649
200	1.0000000	0.5079037	0.1634748	0.4276844	0.6146328	0.5270320	0.8992715	0.8157486	0.4396115
250	1.0000000	0.4575200	0.1685042	0.4628411	0.6404435	0.4807737	0.9095915	0.8621901	0.4356025
300	1.0000000	0.4202868	0.1701748	0.4780393	0.6498730	0.4625553	0.9127826	0.8833975	0.4343222
350	1.0000000	0.3958710	0.1707150	0.4841669	0.6531029	0.4558610	0.9137823	0.8928040	0.4339134
400	1.0000000	0.3813368	0.1708882	0.4865304	0.6541738	0.4535012	0.9140983	0.8968988	0.4337828
450	1.0000000	0.3732754	0.1709436	0.4874147	0.6545227	0.4526914	0.9141988	0.8986585	0.4337411
500	1.0000000	0.3690267	0.1709613	0.4877384	0.6546354	0.4524185	0.9142308	0.8994078	0.4337278
550	1.0000000	0.3793067	0.0951251	0.3644648	0.4972374	0.6661076	0.7886657	0.7940023	0.8191598
600	1.0000000	0.4534940	0.0691912	0.2128579	0.3760942	0.8705312	0.5638951	0.5508035	0.9422483
650	1.0000000	0.5444394	0.0641216	0.1420991	0.3430297	0.9412908	0.4556245	0.3855964	0.9815569
700	1.0000000	0.6075097	0.0627686	0.1139666	0.3346944	0.9631488	0.4176593	0.3001821	0.9941101
750	1.0000000	0.6426053	0.0623611	0.1033627	0.3325173	0.9697824	0.4053281	0.2597845	0.9981191
800	1.0000000	0.6603296	0.0622334	0.0994749	0.3319159	0.9717983	0.4013907	0.2414881	0.9993993
850	1.0000000	0.6688539	0.0621929	0.0980750	0.3317411	0.9724146	0.4001363	0.2334134	0.9998082
900	1.0000000	0.6728417	0.0621799	0.0975777	0.3316884	0.9726043	0.3997365	0.2299102	0.9999387
950	1.0000000	0.6746754	0.0621758	0.0974030	0.3316722	0.9726631	0.3996089	0.2284082	0.9999804
1000	1.0000000	0.6755091	0.0621745	0.0973421	0.3316671	0.9726814	0.3995682	0.2277698	0.9999938

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	0.7069601	0.6772449	0.0621739	0.0973100	0.1168976	0.9850211	0.3995491	0.2273065	1.0000000
100	0.6660467	0.6786391	0.0621739	0.0973100	0.1017544	0.9881405	0.3995491	0.2273057	1.0000000
150	0.6603345	0.6793321	0.0621739	0.0973100	0.1109376	0.9889296	0.3995491	0.2273053	1.0000000
200	0.6595370	0.6796440	0.0621739	0.0973100	0.1164517	0.9891292	0.3995491	0.2273052	1.0000000
250	0.6594257	0.6797819	0.0621739	0.0973100	0.1184988	0.9891797	0.3995491	0.2273051	1.0000000
300	0.6594101	0.6798425	0.0621739	0.0973100	0.1191367	0.9891925	0.3995491	0.2273051	1.0000000
350	0.6594079	0.6798690	0.0621739	0.0973100	0.1193186	0.9891957	0.3995491	0.2273051	1.0000000
400	0.6594076	0.6798805	0.0621739	0.0973100	0.1193677	0.9891965	0.3995491	0.2273051	1.0000000
450	0.6594076	0.6798856	0.0621739	0.0973100	0.1193806	0.9891967	0.3995491	0.2273051	1.0000000
500	0.6594076	0.6798878	0.0621739	0.0973100	0.1193839	0.9891968	0.3995491	0.2273051	1.0000000
550	0.9524474	0.6797396	0.0621739	0.0973100	0.4010039	0.9768654	0.3995491	0.2273051	1.0000000
600	0.9933608	0.6782411	0.0621739	0.0973100	0.3752732	0.9737461	0.3995491	0.2273051	1.0000000
650	0.9990731	0.6764283	0.0621739	0.0973100	0.3475952	0.9729570	0.3995491	0.2273051	1.0000000
700	0.9998706	0.6756976	0.0621739	0.0973100	0.3365940	0.9727574	0.3995491	0.2273051	1.0000000
750	0.9999819	0.6756536	0.0621739	0.0973100	0.3330687	0.9727069	0.3995491	0.2273051	1.0000000
800	0.9999975	0.6758082	0.0621739	0.0973100	0.3320452	0.9726941	0.3995491	0.2273051	1.0000000
850	0.9999996	0.6759601	0.0621739	0.0973100	0.3317645	0.9726909	0.3995491	0.2273051	1.0000000
900	1.0000000	0.6760635	0.0621739	0.0973100	0.3316903	0.9726900	0.3995491	0.2273051	1.0000000
950	1.0000000	0.6761242	0.0621739	0.0973100	0.3316712	0.9726898	0.3995491	0.2273051	1.0000000
1000	1.0000000	0.6761569	0.0621739	0.0973100	0.3316663	0.9726898	0.3995491	0.2273051	1.0000000

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	1.0000000	0.7602767	0.0007897	0.0455384	0.1007934	0.9726898	0.3995491	0.1983312	1.0000000
100	1.0000000	0.8838238	0.0005856	0.0290555	0.0603489	0.9726898	0.3995491	0.1863209	1.0000000
150	1.0000000	0.9479003	0.0005849	0.0238077	0.0532638	0.9726898	0.3995491	0.1813429	1.0000000
200	1.0000000	0.9768434	0.0005849	0.0221369	0.0520226	0.9726898	0.3995491	0.1792796	1.0000000
250	1.0000000	0.9896671	0.0005849	0.0216050	0.0518052	0.9726898	0.3995491	0.1784245	1.0000000
300	1.0000000	0.9953252	0.0005849	0.0214356	0.0517671	0.9726898	0.3995491	0.1780700	1.0000000
350	1.0000000	0.9978183	0.0005849	0.0213817	0.0517604	0.9726898	0.3995491	0.1779231	1.0000000
400	1.0000000	0.9989162	0.0005849	0.0213645	0.0517592	0.9726898	0.3995491	0.1778622	1.0000000
450	1.0000000	0.9993996	0.0005849	0.0213591	0.0517590	0.9726898	0.3995491	0.1778370	1.0000000
500	1.0000000	0.9996124	0.0005849	0.0213573	0.0517590	0.9726898	0.3995491	0.1778265	1.0000000
550	1.0000000	0.9236204	0.0619690	0.0731284	0.2826303	0.9726898	0.3995491	0.2067975	1.0000000
600	1.0000000	0.8045382	0.0621732	0.0896111	0.3230748	0.9726898	0.3995491	0.2188052	1.0000000
650	1.0000000	0.7369217	0.0621739	0.0948588	0.3301599	0.9726898	0.3995491	0.2237821	1.0000000
700	1.0000000	0.7040542	0.0621739	0.0965296	0.3314011	0.9726898	0.3995491	0.2258449	1.0000000
750	1.0000000	0.6887990	0.0621739	0.0970615	0.3316185	0.9726898	0.3995491	0.2266999	1.0000000
800	1.0000000	0.6818540	0.0621739	0.0972309	0.3316566	0.9726898	0.3995491	0.2270542	1.0000000
850	1.0000000	0.6787229	0.0621739	0.0972848	0.3316633	0.9726898	0.3995491	0.2272011	1.0000000
900	1.0000000	0.6773191	0.0621739	0.0973020	0.3316645	0.9726898	0.3995491	0.2272620	1.0000000
950	1.0000000	0.6766921	0.0621739	0.0973074	0.3316647	0.9726898	0.3995491	0.2272872	1.0000000
1000	1.0000000	0.6764128	0.0621739	0.0973092	0.3316647	0.9726898	0.3995491	0.2272977	1.0000000

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	0.9163918	0.7463699	0.0091199	0.0973100	0.3408582	0.9741639	0.3995491	0.2273065	1.0000000
100	0.9047187	0.8559496	0.0089434	0.0973100	0.3579474	0.9745368	0.3995491	0.2273057	1.0000000
150	0.9030889	0.9178091	0.0089429	0.0973100	0.3678101	0.9746311	0.3995491	0.2273053	1.0000000
200	0.9028614	0.9467446	0.0089429	0.0973100	0.3716663	0.9746550	0.3995491	0.2273052	1.0000000
250	0.9028296	0.9595279	0.0089429	0.0973100	0.3729209	0.9746610	0.3995491	0.2273051	1.0000000
300	0.9028252	0.9650441	0.0089429	0.0973100	0.3732896	0.9746625	0.3995491	0.2273051	1.0000000
350	0.9028245	0.9674014	0.0089429	0.0973100	0.3733915	0.9746629	0.3995491	0.2273051	1.0000000
400	0.9028245	0.9684058	0.0089429	0.0973100	0.3734186	0.9746630	0.3995491	0.2273051	1.0000000
450	0.9028244	0.9688338	0.0089429	0.0973100	0.3734256	0.9746630	0.3995491	0.2273051	1.0000000
500	0.9028244	0.9690166	0.0089429	0.0973100	0.3734274	0.9746630	0.3995491	0.2273051	1.0000000
550	0.9864326	0.8919706	0.0619968	0.0973100	0.3626169	0.9731889	0.3995491	0.2273051	1.0000000
600	0.9981058	0.7847890	0.0621733	0.0973100	0.3452369	0.9728160	0.3995491	0.2273051	1.0000000
650	0.9997355	0.7258233	0.0621739	0.0973100	0.3363425	0.9727217	0.3995491	0.2273051	1.0000000
700	0.9999631	0.6981363	0.0621739	0.0973100	0.3330898	0.9726978	0.3995491	0.2273051	1.0000000
750	0.9999948	0.6857715	0.0621739	0.0973100	0.3320683	0.9726918	0.3995491	0.2273051	1.0000000
800	0.9999993	0.6803539	0.0621739	0.0973100	0.3317738	0.9726903	0.3995491	0.2273051	1.0000000
850	0.9999999	0.6779975	0.0621739	0.0973100	0.3316933	0.9726899	0.3995491	0.2273051	1.0000000
900	1.0000000	0.6769748	0.0621739	0.0973100	0.3316720	0.9726898	0.3995491	0.2273051	1.0000000
950	1.0000000	0.6765310	0.0621739	0.0973100	0.3316666	0.9726898	0.3995491	0.2273051	1.0000000
1000	1.0000000	0.6763382	0.0621739	0.0973100	0.3316652	0.9726898	0.3995491	0.2273051	1.0000000

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	1.0000000	0.6069932	0.0621739	0.0611776	0.3316647	0.9726898	0.3995491	0.1034285	1.0000000
100	1.0000000	0.5765432	0.0621739	0.0496738	0.3316647	0.9726898	0.3995491	0.0520834	1.0000000
150	1.0000000	0.5631391	0.0621739	0.0460113	0.3316647	0.9726898	0.3995491	0.0308022	1.0000000
200	1.0000000	0.5572386	0.0621739	0.0448452	0.3316647	0.9726898	0.3995491	0.0219817	1.0000000
250	1.0000000	0.5546411	0.0621739	0.0444740	0.3316647	0.9726898	0.3995491	0.0183258	1.0000000
300	1.0000000	0.5534977	0.0621739	0.0443558	0.3316647	0.9726898	0.3995491	0.0168105	1.0000000
350	1.0000000	0.5529944	0.0621739	0.0443182	0.3316647	0.9726898	0.3995491	0.0161825	1.0000000
400	1.0000000	0.5527729	0.0621739	0.0443062	0.3316647	0.9726898	0.3995491	0.0159222	1.0000000
450	1.0000000	0.5526753	0.0621739	0.0443024	0.3316647	0.9726898	0.3995491	0.0158143	1.0000000
500	1.0000000	0.5526324	0.0621739	0.0443011	0.3316647	0.9726898	0.3995491	0.0157695	1.0000000
550	1.0000000	0.6217994	0.0621739	0.0804332	0.3316647	0.9726898	0.3995491	0.1396290	1.0000000
600	1.0000000	0.6522468	0.0621739	0.0919368	0.3316647	0.9726898	0.3995491	0.1909656	1.0000000
650	1.0000000	0.6656499	0.0621739	0.0955993	0.3316647	0.9726898	0.3995491	0.2122433	1.0000000
700	1.0000000	0.6715500	0.0621739	0.0967653	0.3316647	0.9726898	0.3995491	0.2210624	1.0000000
750	1.0000000	0.6741472	0.0621739	0.0971366	0.3316647	0.9726898	0.3995491	0.2247176	1.0000000
800	1.0000000	0.6752905	0.0621739	0.0972548	0.3316647	0.9726898	0.3995491	0.2262327	1.0000000
850	1.0000000	0.6757938	0.0621739	0.0972924	0.3316647	0.9726898	0.3995491	0.2268606	1.0000000
900	1.0000000	0.6760153	0.0621739	0.0973044	0.3316647	0.9726898	0.3995491	0.2271209	1.0000000
950	1.0000000	0.6761128	0.0621739	0.0973082	0.3316647	0.9726898	0.3995491	0.2272287	1.0000000
1000	1.0000000	0.6761558	0.0621739	0.0973094	0.3316647	0.9726898	0.3995491	0.2272734	1.0000000

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	1.0000000	0.7594657	0.0007081	0.1338124	0.3558051	0.9381382	0.3386970	0.3217295	0.5716885
100	1.0000000	0.8798164	0.0011983	0.2737670	0.4845700	0.7444641	0.4666710	0.5802189	0.4349063
150	1.0000000	0.9324294	0.0018047	0.4249358	0.6358433	0.5161931	0.5258919	0.7682913	0.3912246
200	1.0000000	0.9278563	0.0020960	0.5187106	0.7175213	0.3889469	0.5442500	0.8648090	0.3772748
250	1.0000000	0.8897766	0.0022033	0.5641996	0.7500141	0.3351258	0.5496549	0.9097642	0.3728199
300	1.0000000	0.8478332	0.0022392	0.5837616	0.7615034	0.3147569	0.5512800	0.9298777	0.3713972
350	1.0000000	0.8163021	0.0022508	0.5916194	0.7653637	0.3074665	0.5517815	0.9386770	0.3709428
400	1.0000000	0.7964181	0.0022545	0.5946424	0.7666295	0.3049416	0.5519389	0.9424707	0.3707977
450	1.0000000	0.7850595	0.0022557	0.5957714	0.7670394	0.3040858	0.5519888	0.9440899	0.3707514
500	1.0000000	0.7789665	0.0022561	0.5961840	0.7671713	0.3038000	0.5520046	0.9447759	0.3707366
550	1.0000000	0.6091506	0.1026463	0.4349241	0.5544932	0.5727390	0.7736214	0.8454437	0.7990434
600	1.0000000	0.5451913	0.0702046	0.2401534	0.3890281	0.8421199	0.5758485	0.5848738	0.9358241
650	1.0000000	0.5820715	0.0643563	0.1517874	0.3457648	0.9333662	0.4612196	0.4027168	0.9795053
700	1.0000000	0.6231454	0.0628365	0.1173275	0.3352952	0.9609563	0.4196094	0.3081163	0.9934550
750	1.0000000	0.6491170	0.0623821	0.1045172	0.3326589	0.9691719	0.4059645	0.2633289	0.9979098
800	1.0000000	0.6630529	0.0622400	0.0998689	0.3319520	0.9716264	0.4015949	0.2430377	0.9993325
850	1.0000000	0.6699996	0.0621950	0.0982089	0.3317511	0.9723656	0.4002016	0.2340813	0.9997868
900	1.0000000	0.6733266	0.0621806	0.0976231	0.3316913	0.9725901	0.3997573	0.2301951	0.9999319
950	1.0000000	0.6748819	0.0621760	0.0974182	0.3316731	0.9726589	0.3996156	0.2285290	0.9999783
1000	1.0000000	0.6755975	0.0621746	0.0973472	0.3316674	0.9726802	0.3995703	0.2278207	0.9999931

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	1.0000000	0.6399121	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273065	1.0000000
100	1.0000000	0.6239531	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273057	1.0000000
150	1.0000000	0.6169279	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273053	1.0000000
200	1.0000000	0.6138354	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273052	1.0000000
250	1.0000000	0.6124741	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
300	1.0000000	0.6118748	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
350	1.0000000	0.6116110	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
400	1.0000000	0.6114949	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
450	1.0000000	0.6114438	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
500	1.0000000	0.6114213	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
550	1.0000000	0.6476784	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
600	1.0000000	0.6636389	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
650	1.0000000	0.6706647	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
700	1.0000000	0.6737575	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
750	1.0000000	0.6751189	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
800	1.0000000	0.6757183	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
850	1.0000000	0.6759821	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
900	1.0000000	0.6760982	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
950	1.0000000	0.6761493	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
1000	1.0000000	0.6761718	0.0621739	0.0973100	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	1.0000000	0.7577190	0.0022810	0.0780421	0.1841293	0.9726898	0.3995491	0.2273065	1.0000000
100	1.0000000	0.8796192	0.0020818	0.0719076	0.1582837	0.9726898	0.3995491	0.2273057	1.0000000
150	1.0000000	0.9444468	0.0020811	0.0699545	0.1537561	0.9726898	0.3995491	0.2273053	1.0000000
200	1.0000000	0.9741929	0.0020811	0.0693327	0.1529629	0.9726898	0.3995491	0.2273052	1.0000000
250	1.0000000	0.9874744	0.0020811	0.0691347	0.1528240	0.9726898	0.3995491	0.2273051	1.0000000
300	1.0000000	0.9933556	0.0020811	0.0690717	0.1527996	0.9726898	0.3995491	0.2273051	1.0000000
350	1.0000000	0.9959515	0.0020811	0.0690516	0.1527953	0.9726898	0.3995491	0.2273051	1.0000000
400	1.0000000	0.9970958	0.0020811	0.0690452	0.1527946	0.9726898	0.3995491	0.2273051	1.0000000
450	1.0000000	0.9975999	0.0020811	0.0690432	0.1527945	0.9726898	0.3995491	0.2273051	1.0000000
500	1.0000000	0.9978219	0.0020811	0.0690425	0.1527944	0.9726898	0.3995491	0.2273051	1.0000000
550	1.0000000	0.9203829	0.0619740	0.0883103	0.3003299	0.9726898	0.3995491	0.2273051	1.0000000
600	1.0000000	0.8023387	0.0621732	0.0944447	0.3261754	0.9726898	0.3995491	0.2273051	1.0000000
650	1.0000000	0.7355461	0.0621739	0.0963977	0.3307031	0.9726898	0.3995491	0.2273051	1.0000000
700	1.0000000	0.7032449	0.0621739	0.0970196	0.3314963	0.9726898	0.3995491	0.2273051	1.0000000
750	1.0000000	0.6883557	0.0621739	0.0972175	0.3316352	0.9726898	0.3995491	0.2273051	1.0000000
800	1.0000000	0.6816245	0.0621739	0.0972806	0.3316596	0.9726898	0.3995491	0.2273051	1.0000000
850	1.0000000	0.6786087	0.0621739	0.0973006	0.3316638	0.9726898	0.3995491	0.2273051	1.0000000
900	1.0000000	0.6772639	0.0621739	0.0973070	0.3316646	0.9726898	0.3995491	0.2273051	1.0000000
950	1.0000000	0.6766659	0.0621739	0.0973090	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000
1000	1.0000000	0.6764005	0.0621739	0.0973097	0.3316647	0.9726898	0.3995491	0.2273051	1.0000000

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	0.4840339	0.7486938	0.0074882	0.0973100	0.4050369	0.9726898	0.3995491	0.2273065	1.0000000
100	0.4119962	0.8570870	0.0073063	0.0973100	0.5959583	0.9726898	0.3995491	0.2273057	1.0000000
150	0.4019385	0.8955101	0.0073057	0.0973100	0.7253787	0.9726898	0.3995491	0.2273053	1.0000000
200	0.4005342	0.8710432	0.0073057	0.0973100	0.7774243	0.9726898	0.3995491	0.2273052	1.0000000
250	0.4003382	0.8251481	0.0073057	0.0973100	0.7943308	0.9726898	0.3995491	0.2273051	1.0000000
300	0.4003108	0.7864337	0.0073057	0.0973100	0.7992778	0.9726898	0.3995491	0.2273051	1.0000000
350	0.4003070	0.7611736	0.0073057	0.0973100	0.8006404	0.9726898	0.3995491	0.2273051	1.0000000
400	0.4003064	0.7466354	0.0073057	0.0973100	0.8010016	0.9726898	0.3995491	0.2273051	1.0000000
450	0.4003064	0.7388609	0.0073057	0.0973100	0.8010949	0.9726898	0.3995491	0.2273051	1.0000000
500	0.4003064	0.7348977	0.0073057	0.0973100	0.8011185	0.9726898	0.3995491	0.2273051	1.0000000
550	0.9162725	0.6663991	0.0619914	0.0973100	0.6523508	0.9726898	0.3995491	0.2273051	1.0000000
600	0.9883102	0.6120552	0.0621733	0.0973100	0.4494271	0.9726898	0.3995491	0.2273051	1.0000000
650	0.9983679	0.6264383	0.0621739	0.0973100	0.3673418	0.9726898	0.3995491	0.2273051	1.0000000
700	0.9997721	0.6484004	0.0621739	0.0973100	0.3417102	0.9726898	0.3995491	0.2273051	1.0000000
750	0.9999682	0.6621104	0.0621739	0.0973100	0.3343781	0.9726898	0.3995491	0.2273051	1.0000000
800	0.9999956	0.6693342	0.0621739	0.0973100	0.3323770	0.9726898	0.3995491	0.2273051	1.0000000
850	0.9999994	0.6729242	0.0621739	0.0973100	0.3318478	0.9726898	0.3995491	0.2273051	1.0000000
900	0.9999999	0.6746575	0.0621739	0.0973100	0.3317111	0.9726898	0.3995491	0.2273051	1.0000000
950	1.0000000	0.6754789	0.0621739	0.0973100	0.3316763	0.9726898	0.3995491	0.2273051	1.0000000
1000	1.0000000	0.6758629	0.0621739	0.0973100	0.3316676	0.9726898	0.3995491	0.2273051	1.0000000

0	1.0000000	0.6761658	0.0621739	0.0973101	0.3316647	0.9726898	0.3995491	0.2273085	1.0000000
50	1.0000000	0.7371230	0.0227672	0.1288984	0.3518263	0.9470067	0.2510707	0.3105756	0.6114133
100	1.0000000	0.7957666	0.0479247	0.2419107	0.4473909	0.8105768	0.3219376	0.5431076	0.4873173
150	1.0000000	0.7603120	0.0676853	0.3603612	0.5584796	0.6461983	0.3625740	0.7230670	0.4476870
200	1.0000000	0.6864150	0.0766739	0.4338952	0.6217244	0.5478077	0.3764808	0.8198274	0.4350310
250	1.0000000	0.6168413	0.0799179	0.4697890	0.6481205	0.5037662	0.3808304	0.8662360	0.4309892
300	1.0000000	0.5653770	0.0809960	0.4853038	0.6577485	0.4864576	0.3821836	0.8873983	0.4296985
350	1.0000000	0.5323982	0.0813447	0.4915584	0.6610432	0.4801065	0.3826086	0.8967760	0.4292863
400	1.0000000	0.5132163	0.0814565	0.4939707	0.6621350	0.4778697	0.3827431	0.9008555	0.4291547
450	1.0000000	0.5027800	0.0814922	0.4948732	0.6624906	0.4771026	0.3827859	0.9026078	0.4291126
500	1.0000000	0.4973636	0.0815037	0.4952035	0.6626055	0.4768442	0.3827995	0.9033537	0.4290992
550	1.0000000	0.4683217	0.0953644	0.3692882	0.5011334	0.6684611	0.7211479	0.7981676	0.8176816
600	1.0000000	0.5021641	0.0692628	0.2147378	0.3769782	0.8707952	0.5560174	0.5534487	0.9417762
650	1.0000000	0.5686801	0.0641387	0.1427702	0.3432185	0.9413043	0.4548808	0.3869110	0.9814061
700	1.0000000	0.6187661	0.0627736	0.1142005	0.3347364	0.9631385	0.4176503	0.3007884	0.9940620
750	1.0000000	0.6476594	0.0623626	0.1034434	0.3325273	0.9697757	0.4053548	0.2600545	0.9981037
800	1.0000000	0.6625676	0.0622339	0.0995025	0.3319184	0.9717953	0.4014030	0.2416060	0.9993944
