"Time"	alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp

0	1.0000000	0.6761575	0.0621739	0.0973573	0.3316665	0.9726853	0.3995509	0.2273164	1.0000000
50	1.0000000	0.6742459	0.0685026	0.1032333	0.3359732	0.9667398	0.4334392	0.2504422	0.7185802
100	1.0000000	0.6474223	0.0973182	0.1488518	0.3760299	0.9075315	0.5829372	0.3909045	0.5315830
150	1.0000000	0.5892665	0.1319862	0.2355700	0.4598949	0.7785856	0.7355499	0.5803075	0.4654304
200	1.0000000	0.5267242	0.1543759	0.3251748	0.5426834	0.6466740	0.8294570	0.7251919	0.4438781
250	1.0000000	0.4728183	0.1647509	0.3930574	0.5981533	0.5544240	0.8766564	0.8120650	0.4369671
300	1.0000000	0.4313424	0.1687979	0.4363306	0.6284417	0.5016676	0.8982284	0.8580573	0.4347581
350	1.0000000	0.4029896	0.1702402	0.4611839	0.6431562	0.4748410	0.9075914	0.8806930	0.4340526
400	1.0000000	0.3855213	0.1707299	0.4745293	0.6498085	0.4621810	0.9115291	0.8913232	0.4338273
450	1.0000000	0.3755765	0.1708918	0.4813763	0.6526777	0.4565006	0.9131506	0.8961581	0.4337553
500	1.0000000	0.3702322	0.1709445	0.4847791	0.6538759	0.4540413	0.9138085	0.8983075	0.4337323
550	1.0000000	0.3728399	0.1333333	0.4582997	0.6086753	0.5117218	0.8838179	0.8690808	0.7151448
600	1.0000000	0.4270293	0.0859530	0.3564430	0.4882254	0.6891955	0.7405083	0.7087591	0.9021396
650	1.0000000	0.5169245	0.0692048	0.2537227	0.4040828	0.8301511	0.5881723	0.5188382	0.9682915
700	1.0000000	0.5893401	0.0642504	0.1830907	0.3624217	0.9076970	0.4910980	0.3831201	0.9898436
750	1.0000000	0.6326626	0.0627997	0.1417193	0.3441954	0.9446183	0.4408620	0.3045469	0.9967545
800	1.0000000	0.6553446	0.0623663	0.1194598	0.3366548	0.9609606	0.4173880	0.2637752	0.9989634
850	1.0000000	0.6664657	0.0622339	0.1080813	0.3336245	0.9678944	0.4070332	0.2439598	0.9996690
900	1.0000000	0.6717271	0.0621928	0.1024557	0.3324273	0.9707584	0.4026269	0.2347323	0.9998943
950	1.0000000	0.6741637	0.0621799	0.0997371	0.3319595	0.9719202	0.4007968	0.2305602	0.9999662
1000	1.0000000	0.6752767	0.0621758	0.0984443	0.3317781	0.9723856	0.4000495	0.2287133	0.9999892

0	1.0000000	0.6761575	0.0621739	0.0973573	0.3316665	0.9726853	0.3995509	0.2273164	1.0000000
50	0.8320072	0.6767883	0.0621739	0.0973316	0.2339748	0.9778989	0.3995498	0.2273098	1.0000000
100	0.7138676	0.6782501	0.0621739	0.0973198	0.1522639	0.9836061	0.3995494	0.2273070	1.0000000
150	0.6743832	0.6791402	0.0621739	0.0973145	0.1240937	0.9867339	0.3995492	0.2273059	1.0000000
200	0.6632884	0.6795574	0.0621739	0.0973120	0.1181215	0.9881713	0.3995492	0.2273054	1.0000000
250	0.6603840	0.6797436	0.0621739	0.0973109	0.1179330	0.9887830	0.3995491	0.2273052	1.0000000
300	0.6596494	0.6798257	0.0621739	0.0973104	0.1185552	0.9890328	0.3995491	0.2273051	1.0000000
350	0.6594670	0.6798616	0.0621739	0.0973102	0.1189953	0.9891326	0.3995491	0.2273051	1.0000000
400	0.6594221	0.6798773	0.0621739	0.0973101	0.1192180	0.9891718	0.3995491	0.2273051	1.0000000
450	0.6594111	0.6798842	0.0621739	0.0973100	0.1193169	0.9891871	0.3995491	0.2273051	1.0000000
500	0.6594084	0.6798872	0.0621739	0.0973100	0.1193580	0.9891931	0.3995491	0.2273051	1.0000000
550	0.8274006	0.6798285	0.0621739	0.0973100	0.2558646	0.9839845	0.3995491	0.2273051	1.0000000
600	0.9455400	0.6788054	0.0621739	0.0973100	0.3395666	0.9782792	0.3995491	0.2273051	1.0000000
650	0.9850244	0.6769393	0.0621739	0.0973100	0.3507722	0.9751522	0.3995491	0.2273051	1.0000000
700	0.9961192	0.6758745	0.0621739	0.0973100	0.3442224	0.9737150	0.3995491	0.2273051	1.0000000
750	0.9990235	0.6756498	0.0621739	0.0973100	0.3379786	0.9731035	0.3995491	0.2273051	1.0000000
800	0.9997581	0.6757577	0.0621739	0.0973100	0.3344811	0.9728537	0.3995491	0.2273051	1.0000000
850	0.9999406	0.6759146	0.0621739	0.0973100	0.3328417	0.9727540	0.3995491	0.2273051	1.0000000
900	0.9999855	0.6760334	0.0621739	0.0973100	0.3321379	0.9727147	0.3995491	0.2273051	1.0000000
950	0.9999965	0.6761068	0.0621739	0.0973100	0.3318505	0.9726994	0.3995491	0.2273051	1.0000000
1000	0.9999991	0.6761476	0.0621739	0.0973100	0.3317365	0.9726935	0.3995491	0.2273051	1.0000000

0	1.0000000	0.6761575	0.0621739	0.0973573	0.3316665	0.9726853	0.3995509	0.2273164	1.0000000
50	1.0000000	0.7236824	0.0165714	0.0788354	0.2290120	0.9726880	0.3995498	0.2133789	1.0000000
