"Time"	alkB	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp

0	0.7606659	0.5439484	0.0401720	0.0718281	0.1922766	0.6905893	0.2381313	0.1495352	0.8581821
50	0.6105435	0.5161636	0.0493654	0.0709908	0.2514156	0.6830798	0.2932426	0.1536133	0.5547685
100	0.6049380	0.5505228	0.0732701	0.0898846	0.2518157	0.5596478	0.4041964	0.3077896	0.3482836
150	0.6846070	0.5060271	0.1500041	0.2105910	0.2723424	0.5625587	0.4713226	0.4177547	0.3670627
200	0.8464591	0.5092540	0.0494517	0.2764924	0.4848846	0.5357645	0.5113680	0.5640308	0.3977190
250	0.7030220	0.3249441	0.1054273	0.3358631	0.4735977	0.5449650	0.5984353	0.5502666	0.2290766
300	0.7982370	0.4386437	0.1239301	0.3228608	0.4692224	0.3867406	0.7282059	0.6551290	0.3004106
350	0.8032230	0.3799071	0.2137441	0.3878851	0.4179161	0.3572238	0.6819568	0.7587236	0.1996852
400	0.6273668	0.2647785	0.1849802	0.4246407	0.5259055	0.2767502	0.5904938	0.5659468	0.2517553
450	0.7059849	0.3268173	0.1373385	0.5306961	0.4757625	0.3623630	0.6547347	0.6625359	0.3138948
500	0.8803920	0.2324445	0.1629900	0.3817084	0.4311552	0.2625365	0.7210639	0.6365652	0.2456056
550	0.6945457	0.2934718	0.1385063	0.3507020	0.4356339	0.2579288	0.6622814	0.5156862	0.5671104
600	0.9344506	0.1974761	0.0458067	0.2280797	0.3373727	0.4797497	0.5670981	0.5895094	0.6171711
650	0.7140818	0.4259380	0.0740914	0.1544910	0.2578175	0.5475702	0.4437312	0.4528614	0.5808738
700	0.6853218	0.4597663	0.0679920	0.1707975	0.2639717	0.6921855	0.4014573	0.2868192	0.7074872
750	0.6656428	0.4669544	0.0505573	0.0766320	0.2379228	0.7840725	0.4312462	0.2522383	0.6566986
800	0.6540417	0.4242760	0.0441488	0.0846653	0.2206708	0.7872149	0.2745885	0.1759621	0.6904704
850	0.5772567	0.4585329	0.0644149	0.0662246	0.1980362	0.7713231	0.2775384	0.1697035	0.7025145
900	0.8165406	0.3573120	0.0383243	0.0608883	0.2014342	0.7197294	0.3050879	0.1711930	0.7546393
950	0.7155613	0.5151565	0.0464395	0.0723603	0.2485089	0.6164264	0.3215473	0.1589541	0.8312736
1000	0.6373324	0.5681806	0.0307537	0.0876262	0.2521930	0.6533287	0.3540489	0.1023959	0.7666682

0	0.7893959	0.5120242	0.0558494	0.0813356	0.2375950	0.6549990	0.2418563	0.1402407	0.7773378
50	0.4733560	0.3673090	0.0665717	0.0934569	0.1818199	0.6507132	0.3114515	0.1354846	0.7238065
100	0.4759264	0.5354502	0.0373420	0.0601533	0.1053747	0.7800334	0.3623987	0.0986141	0.7084422
150	0.5285997	0.4877154	0.0323840	0.0924819	0.1379183	0.6574183	0.3391833	0.0989042	0.7613325
200	0.5454189	0.3499850	0.0547321	0.0736891	0.1291931	0.8435387	0.2488850	0.1487896	0.6513157
250	0.6024358	0.4415472	0.0265571	0.0866848	0.1293194	0.7428596	0.2425550	0.1770524	0.7449799
300	0.4415840	0.4988395	0.0363610	0.0986500	0.0727599	0.5670238	0.3362831	0.1728095	0.5714509
350	0.5447846	0.3887196	0.0309792	0.0983666	0.0745034	0.7285228	0.3477111	0.1538585	0.7106439
400	0.5576168	0.4636734	0.0343850	0.1125223	0.0511815	0.7014144	0.2999613	0.1871533	0.7538083
450	0.5501374	0.5559352	0.0287048	0.0945828	0.0593912	0.7880988	0.3485193	0.1759979	0.8252291
500	0.4960523	0.5171254	0.0494234	0.0577591	0.0478646	0.8010338	0.2357806	0.1420928	0.8451432
550	0.6703443	0.5732341	0.0336195	0.0644849	0.2349675	0.5961517	0.2171935	0.1277748	0.8748974
600	0.7218201	0.4682693	0.0246891	0.0314873	0.3063805	0.7588708	0.2901624	0.0948274	0.6719694
650	0.6987061	0.3992048	0.0155365	0.0750643	0.2512535	0.6303709	0.2230761	0.1672189	0.7227074
