"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	0.8336009	0.0506695	0.0051889	0.0067120	0.0202674	0.4469352	0.6093871	0.3777324	0.0735840	0.5142502	0.5712582	0.3949281	0.0503899	0.3274177	0.5365503	0.7821818
50	0.4096472	0.0464602	0.0449315	0.0147436	0.0013976	0.3839217	0.6871977	0.4310004	0.0128018	0.4848953	0.6052419	0.4546400	0.0336618	0.2394869	0.5921483	0.1664222
100	0.2599376	0.0855510	0.0059891	0.0016020	0.0215332	0.3391811	0.7800202	0.4618771	0.0223648	0.3921268	0.5662716	0.4591069	0.0783640	0.2173619	0.6739062	0.1493503
150	0.2838046	0.1072122	0.0082985	0.0047971	0.0102385	0.3334690	0.6857645	0.4432604	0.0678488	0.4144090	0.4606311	0.3383765	0.0587533	0.3756333	0.5777308	0.0938172
200	0.2383894	0.1346970	0.0046333	0.0178919	0.0290689	0.3885180	0.7169668	0.3579259	0.0158752	0.3422829	0.5365895	0.4469180	0.0681733	0.5070973	0.5927656	0.0402288
250	0.2845417	0.1279682	0.0142175	0.0032856	0.0223553	0.4244491	0.7918289	0.4153852	0.0157605	0.3536976	0.4620166	0.4359762	0.0336100	0.4191170	0.5818383	0.1027349
300	0.2280218	0.2153309	0.0103948	0.0007297	0.0247562	0.3631642	0.7047865	0.3028532	0.0244464	0.3938523	0.6250744	0.4586113	0.0644135	0.4318983	0.5490626	0.0435114
350	0.3461288	0.2469717	0.0061964	0.0046085	0.0493093	0.3878791	0.6507328	0.3701430	0.0087766	0.3371330	0.4884320	0.4477611	0.0671905	0.3766103	0.5684754	0.0286840
400	0.2149199	0.1754188	0.0032510	0.0016269	0.0386602	0.3891517	0.7694538	0.3233670	0.0341425	0.3418728	0.5668920	0.4845232	0.1359320	0.4160458	0.5920503	0.0746686
450	0.2103265	0.2037242	0.0113208	0.0094571	0.0280778	0.4265792	0.7537212	0.3078302	0.0216859	0.3191570	0.5692425	0.5859974	0.1034405	0.5056818	0.5621980	0.0556582
500	0.2552050	0.1695701	0.0072815	0.0065359	0.0223218	0.4441227	0.6953853	0.4056813	0.0187957	0.4109804	0.5799341	0.4131947	0.0511816	0.4569139	0.5345229	0.0503858
550	0.6943395	0.1060127	0.0039399	0.0107976	0.0298027	0.4846722	0.6487035	0.2989119	0.0245676	0.3479915	0.4548397	0.4675452	0.0333731	0.3364709	0.5524762	0.5149950
600	0.7035493	0.1120722	0.0134098	0.0124710	0.0488290	0.4988441	0.6358200	0.3054530	0.0301719	0.4732274	0.5769190	0.5457574	0.0521770	0.2830977	0.5161711	0.7378249
650	0.6946311	0.0734839	0.0066490	0.0360687	0.0252875	0.4443140	0.6884123	0.3215987	0.0228072	0.6012027	0.7102379	0.4172752	0.0926485	0.3799627	0.4241771	0.7071298
700	0.7333345	0.0699954	0.0090193	0.0059658	0.0361420	0.4701315	0.5772060	0.3048914	0.0118920	0.4997255	0.5515333	0.4348338	0.0681234	0.3336043	0.4408169	0.7565449
750	0.6769174	0.0736210	0.0109943	0.0082497	0.0135969	0.3737397	0.5417477	0.3343695	0.0179198	0.5664464	0.6004296	0.3903216	0.0480233	0.2119289	0.4661319	0.7210482
800	0.5918028	0.0539589	0.0100751	0.0118537	0.0086574	0.3224316	0.7830988	0.3620197	0.0228262	0.5009631	0.6664717	0.4796918	0.0590049	0.1666086	0.4302944	0.6366893
850	0.7347316	0.0649382	0.0051669	0.0038549	0.0110011	0.4181082	0.7162707	0.3325968	0.0421503	0.5158833	0.5941698	0.4509626	0.0652302	0.2110297	0.5061276	0.6363371
900	0.7598803	0.0635435	0.0039689	0.0032840	0.0156918	0.3841455	0.7446407	0.2974546	0.0759099	0.5511624	0.6333465	0.3882623	0.0553974	0.3081472	0.3780201	0.6258674
950	0.7553386	0.0606359	0.0038740	0.0082008	0.0291952	0.4327741	0.7053596	0.3663257	0.0191301	0.6624503	0.5048370	0.4470127	0.0422493	0.2765927	0.5087409	0.6468804
1000	0.6379011	0.0492158	0.0044689	0.0021116	0.0236429	0.4104635	0.6343953	0.3339095	0.0245865	0.7003500	0.6378968	0.4959413	0.0493681	0.2264365	0.4948476	0.6058735

0	0.7974044	0.0731031	0.0140623	0.0127905	0.0248613	0.3690628	0.6241623	0.3346433	0.0826973	0.5987349	0.6573014	0.5121713	0.0343491	0.2608278	0.5487558	0.7396677
50	0.7771701	0.0291023	0.0557752	0.4198758	0.0188489	0.4443431	0.8050540	0.1783624	0.0280099	0.6107087	0.5057420	0.4579607	0.0452272	0.1506627	0.3545428	0.5212924
100	0.6577147	0.0683858	0.1623071	0.4573822	0.0146439	0.3975922	0.8516516	0.1429453	0.0280232	0.6579235	0.5896072	0.3812450	0.0673473	0.1605722	0.4007426	0.6837908
150	0.7679535	0.0983446	0.3391173	0.4359815	0.0223408	0.4196892	0.6200620	0.0817623	0.0361128	0.4987807	0.6330497	0.4444085	0.0758365	0.2020751	0.2965056	0.6861880
200	0.6900397	0.1926615	0.3125827	0.5308762	0.0136519	0.3413590	0.6416576	0.1081886	0.0089449	0.5513018	0.6291114	0.4024352	0.0930689	0.1521613	0.3284187	0.6384939
250	0.8317345	0.2788248	0.2900368	0.5953251	0.0284317	0.2970243	0.7592676	0.0438403	0.0288194	0.6797454	0.4966114	0.5119492	0.0499158	0.1853612	0.3213033	0.7204850
300	0.8130118	0.2400341	0.3664614	0.5876775	0.0145938	0.4474602	0.7014408	0.0482420	0.0240009	0.5393558	0.6728179	0.3747346	0.0518629	0.1479381	0.4152836	0.8224686
350	0.8985095	0.2513659	0.3838008	0.4824408	0.0060906	0.3705105	0.5142428	0.0378585	0.0092812	0.5207972	0.5276112	0.4417780	0.0665491	0.2589702	0.2675049	0.8232277
400	0.7666604	0.2858791	0.3284608	0.5648839	0.0084050	0.3416795	0.6977203	0.0539836	0.0150030	0.5631270	0.6028194	0.5103381	0.0617863	0.1546548	0.2971373	0.6789274
450	0.6928043	0.2900369	0.3883402	0.5767437	0.0078048	0.3898554	0.7117871	0.0753431	0.0301569	0.6170624	0.5613165	0.4618459	0.0979528	0.1002346	0.3833640	0.7691199
500	0.6999633	0.2122689	0.3112848	0.5773588	0.0226651	0.3986064	0.5887458	0.0785543	0.0618398	0.6108560	0.6273327	0.4846382	0.0630059	0.1724997	0.4544572	0.8163798
550	0.7217624	0.2331824	0.3146688	0.2621957	0.0109053	0.3655571	0.6838816	0.2457339	0.0326586	0.6442323	0.5658558	0.4776872	0.0485394	0.1536919	0.4469766	0.5995343
