G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.3199845	0.0216029	0.0028957	0.0000000	0.6382854	0.7460348	0.3019203	0.0211037	0.2853304	0.0545466	0.0179194	0.0678859	0.3727950	0.1020652	0.5307193
0.0000000	0.3219281	0.0082590	0.0121871	0.2541961	0.5741561	0.7175327	0.3111057	0.0000000	0.3576133	0.0705876	0.0023771	0.1849035	0.3800872	0.1460035	0.3050800
0.0000000	0.1938247	0.0147005	0.0045687	0.3349770	0.5254035	0.6352455	0.2409957	0.0657055	0.3386471	0.0552045	0.0130520	0.0000000	0.3527029	0.1261879	0.4937294
0.0000000	0.0000000	0.0030876	0.0061671	0.3166024	0.5145707	0.8044592	0.3073986	0.0153474	0.3282559	0.0437224	0.0202867	0.3532505	0.3500158	0.1152190	0.2956980
0.0000000	0.2543438	0.0000000	0.0093456	0.3151480	0.5204440	0.6429330	0.2043999	0.0429286	0.3323302	0.0911493	0.0237221	0.3308930	0.2910186	0.1263241	0.2487530
0.0000000	0.2101388	0.0061884	0.0000000	0.2768365	0.5001366	0.6906926	0.1637223	0.0175570	0.2859775	0.1165993	0.0333349	0.3194141	0.4205582	0.0967424	0.2573787
0.0000000	0.3306917	0.0015788	0.0059045	0.3487366	0.0000000	0.7135348	0.7259737	0.0293454	0.2590340	0.1028407	0.0316416	0.2654678	0.4002587	0.1177755	0.2079597
0.0000000	0.2276544	0.0046953	0.0081135	0.3491757	0.2260247	0.0000000	0.2843692	0.0165129	0.4392533	0.1078168	0.0204344	0.3262344	0.3580030	0.0774501	0.2918130
0.0000000	0.3436395	0.0035278	0.0026821	0.3286143	0.3007717	0.1024009	0.0000000	0.0381228	0.3135325	0.0496656	0.0654595	0.2308638	0.4243587	0.0670234	0.4552479
0.0000000	0.3129450	0.0103751	0.0121206	0.3053391	0.5173991	0.6390927	0.2208760	0.0492785	0.0000000	0.0672784	0.0259271	0.2706620	0.3102288	0.0978396	0.2950145
0.0000000	0.2685825	0.0056184	0.0205207	0.3834283	0.5488840	0.6043442	0.2080575	0.0334504	0.3190469	0.0000000	0.0214209	0.2943133	0.3807937	0.0905624	0.2977992
0.0000000	0.2803283	0.0107589	0.0037397	0.3218361	0.4887880	0.7478849	0.2648404	0.0305740	0.3054643	0.0518610	0.0000000	0.3086912	0.4370723	0.1250538	0.2860250
0.0000000	0.3300803	0.0182722	0.0071920	0.3363602	0.4608093	0.7120142	0.2675422	0.0240721	0.3793471	0.0885511	0.0200802	0.2440779	0.0000000	0.0895171	0.4765910
0.0000000	0.3097711	0.0061260	0.0092622	0.3832486	0.6061647	0.5980314	0.2925507	0.0250704	0.3258816	0.0913860	0.0177637	0.2564972	0.3656081	0.0000000	0.3553976
0.0000000	0.2216316	0.0186230	0.0034812	0.2740271	0.5210273	0.6612428	0.3081798	0.0240512	0.2935510	0.0878049	0.0207592	0.3901887	0.3671812	0.1019116	0.0000000
0.7651156	0.0571684	0.0051621	0.0186614	0.0000000	0.0000000	0.7231136	0.7822882	0.0257089	0.4570726	0.5889571	0.4596951	0.0828581	0.2979599	0.4851060	0.7357597
