G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.4023260	0.1059280	0.0054391	0.0055907	0.0079599	0.4287536	0.7778393	0.5028330	0.0292489	0.3757561	0.4263064	0.4300417	0.0508693	0.3337286	0.5225485	0.6828081
0.8127421	0.0288067	0.0117492	0.0423281	0.0176289	0.3470361	0.7362992	0.4901338	0.0200271	0.6533446	0.5913655	0.4862795	0.0562217	0.2621036	0.5597217	0.5609854
0.7068386	0.0517379	0.0063014	0.0190288	0.0110593	0.3985942	0.7143676	0.3515961	0.0526583	0.5989403	0.5601792	0.4105270	0.0759980	0.2002036	0.5097830	0.8396302
0.7007602	0.0730695	0.0044134	0.0046839	0.0205754	0.3546196	0.7058554	0.4300434	0.0396158	0.7400416	0.5300161	0.4221137	0.0847395	0.2175262	0.4982939	0.7696954
0.7487442	0.0618401	0.0277533	0.0041001	0.0070297	0.3757679	0.7271998	0.3272078	0.0150688	0.5940180	0.8298919	0.4263995	0.0395069	0.2819376	0.4749329	0.7166601
0.7542788	0.0401102	0.0078910	0.0232252	0.0172942	0.1655873	0.7336257	0.4215398	0.0635626	0.5440911	0.5289235	0.4611970	0.0714103	0.2642867	0.5038772	0.5960302
0.7324205	0.0529169	0.0060883	0.0186963	0.0190055	0.4297062	0.3885686	0.3071419	0.0312558	0.6674143	0.6393197	0.5196765	0.0813777	0.2118567	0.4713212	0.7091647
0.7917204	0.1086496	0.0060042	0.0112044	0.0123493	0.3506457	0.7368945	0.2094042	0.0211450	0.7392591	0.5460984	0.4533259	0.0424661	0.1975224	0.6954431	0.6793601
0.7439397	0.1132086	0.0026834	0.0053608	0.0179836	0.4161890	0.6733985	0.4056407	0.0076936	0.6630896	0.5373383	0.4519918	0.0503558	0.2318868	0.5944261	0.8641570
0.7940878	0.0892260	0.0043669	0.0063809	0.0363478	0.4755902	0.7400207	0.3067457	0.0449404	0.2210608	0.8047652	0.4594759	0.0850020	0.2370892	0.3989624	0.6133457
0.7055389	0.0642348	0.0148583	0.0053874	0.0125658	0.3857286	0.9158277	0.2946247	0.0255144	0.6201727	0.3676702	0.4648946	0.0731332	0.2382245	0.6565167	0.7868981
0.6313106	0.0839759	0.0126070	0.0031041	0.0214053	0.4716029	0.7197565	0.3691508	0.0259893	0.6457596	0.4780395	0.2786035	0.0699518	0.2497647	0.4466225	0.7042972
0.6854825	0.0546508	0.0150783	0.0139863	0.0135647	0.4543218	0.6773822	0.4738562	0.0232218	0.5097249	0.6283337	0.5557446	0.0335280	0.3495680	0.5393897	0.7793157
0.7488049	0.0643269	0.0060267	0.0068565	0.0181196	0.4440405	0.8385068	0.3487630	0.0369369	0.6098570	0.6615004	0.4618024	0.0176724	0.1299973	0.5484476	0.7357562
0.7165372	0.0414970	0.0014201	0.0044941	0.0066582	0.3339724	0.7333921	0.4640880	0.0559317	0.5848422	0.7598264	0.3966208	0.0325338	0.1670390	0.2132889	0.6769414
0.6800780	0.0868935	0.0041517	0.0090457	0.0176776	0.4614670	0.6948522	0.3484715	0.0232484	0.6158289	0.6997424	0.5019813	0.0385887	0.3581526	0.6096469	0.2920356
