G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.2808113	0.0209995	0.0105160	0.3614895	0.5316835	0.5894804	0.2469221	0.0245788	0.2682158	0.0858261	0.0194252	0.2377124	0.4162943	0.0920580	0.2695167
0.7437356	0.0000000	0.0262343	0.0085120	0.0057938	0.5410263	0.6794321	0.3827392	0.0400171	0.6462583	0.5321067	0.5379599	0.0364624	0.1965376	0.5224211	0.6464152
0.7140259	0.0460469	0.0000000	0.0133649	0.0186808	0.3941626	0.5881141	0.3929381	0.0190627	0.5716769	0.5949391	0.5269393	0.0652278	0.2479309	0.4711091	0.6813824
0.7186524	0.0525745	0.0009494	0.0000000	0.0075928	0.4726448	0.7126423	0.3610217	0.0329410	0.5656908	0.6528264	0.4085952	0.0772464	0.2423737	0.4997829	0.7691235
0.9035216	0.0707556	0.0048275	0.0008836	0.0000000	0.4103556	0.7445687	0.4646799	0.0261852	0.6142077	0.6407643	0.5898342	0.0514521	0.2611605	0.4966723	0.7172178
0.6369880	0.0430626	0.0067926	0.0044276	0.0344580	0.0000000	0.8272985	0.7629866	0.0248808	0.6127813	0.5081993	0.4984492	0.0493485	0.2679311	0.4547471	0.5001474
0.8669785	0.0770279	0.0104009	0.0061478	0.0055037	0.5123876	0.0000000	0.3602175	0.0373037	0.6162894	0.6465522	0.4148595	0.0577645	0.2402973	0.4517254	0.6028433
0.7514802	0.0577888	0.0126604	0.0381776	0.0177611	0.3691758	0.6772471	0.0000000	0.0236199	0.5547564	0.7402555	0.4686256	0.0440682	0.2260838	0.6185747	0.7600070
0.7683385	0.0694790	0.0023466	0.0082767	0.0000383	0.4702935	0.7982204	0.3647875	0.0000000	0.6803798	0.6300199	0.4804450	0.0819878	0.1489863	0.5690678	0.6371342
0.6789604	0.0511844	0.0170003	0.0039061	0.0093386	0.4939019	0.7425200	0.3229670	0.0173983	0.0000000	0.1189339	0.0269820	0.0456452	0.2522784	0.4222936	0.5967610
0.7504055	0.0315072	0.0026404	0.0135216	0.0520633	0.4928127	0.7330924	0.4325729	0.0294970	0.5976723	0.0000000	0.5191640	0.0565629	0.1905389	0.4183066	0.8344416
0.7233037	0.0526565	0.0092238	0.0150999	0.0207331	0.3763344	0.8434347	0.3863989	0.0174791	0.5740972	0.1084822	0.0000000	0.1020262	0.2834379	0.5948210	0.6913520
0.8302868	0.0612657	0.0093027	0.0065944	0.0130802	0.4160146	0.7968232	0.3452061	0.0350558	0.6572993	0.6368477	0.4949271	0.0000000	0.2094573	0.5613210	0.6696331
0.7211889	0.0668340	0.0041331	0.0198221	0.0393889	0.4251898	0.7870811	0.3456545	0.0152313	0.6457034	0.5862725	0.3001819	0.0555861	0.0000000	0.4626497	0.7955678
0.6499588	0.0400749	0.0212293	0.0124016	0.0153732	0.4259416	0.8322709	0.3615227	0.0302648	0.6324420	0.6012024	0.4558131	0.0333470	0.0146997	0.0000000	0.6766092
0.7641773	0.0485911	0.0039565	0.0115130	0.0059971	0.4268780	0.7331184	0.3411527	0.0229233	0.5762730	0.5737015	0.5939708	0.0593136	0.2314445	0.6957739	0.0000000
