G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.7169108	0.0969144	0.1928610	0.0812526	0.0217164	0.2152384	0.8204701	0.3672221	0.0911870	0.5811122	0.7112046	0.6213471	0.0065097	0.5620243	0.5656243	0.6145281
0.4939050	0.1252113	0.0872277	0.0000911	0.0068458	0.5404916	0.7524652	0.3543603	0.0030751	0.6145452	0.8147295	0.6881812	0.0604456	0.1913086	0.4327837	0.7174075
0.5514078	0.2037144	0.1411842	0.0001780	0.0042335	0.8161701	0.6543465	0.1220519	0.0067796	0.1824873	0.6371393	0.6849103	0.1152833	0.1239269	0.3901271	1.0000000
0.5619149	0.0499518	0.0332367	0.0407800	0.3268557	0.1044616	0.7589775	0.4574837	0.2521875	0.3748226	0.6073201	0.7299163	0.6235447	0.1326563	0.1977448	0.3457949
0.6300239	0.0727076	0.0002416	0.0000651	0.0276316	0.5917662	0.7421867	0.3110553	0.0002279	0.3004244	0.5993148	0.4799147	0.0072705	0.0440845	0.3729708	0.6809175
0.6928556	0.1497283	0.0001692	0.0012164	0.0307515	0.6058991	0.5521915	0.0926166	0.0551811	0.5725954	0.7311927	0.4767348	0.1808548	0.1613024	0.3695819	0.5087137
0.6403331	0.1456649	0.3084551	0.1789089	0.3994025	0.0983896	0.6865350	0.1402346	0.3914690	0.2169203	0.5755131	0.6031083	0.5023769	0.2673518	0.5844451	0.1735830
0.4621669	0.3336941	0.1350299	0.0531036	0.3752764	0.1113035	0.4707637	0.4733363	0.1788741	0.4144566	0.7606647	0.5806398	0.3691769	0.1400795	0.3839024	0.4583216
0.7503918	0.3904548	0.1030373	0.1765633	0.0101284	0.4740559	0.8369282	0.1457495	0.1981616	0.4996105	0.4732849	0.4374104	0.0054862	0.2518567	0.3109493	0.8187006
0.6722484	0.0634152	0.0000274	0.0021635	0.5646928	0.1377077	0.3275893	0.3790325	0.2242808	0.3059060	0.5486576	0.5409007	0.4754424	0.1314264	0.3565259	0.1284881
0.8405949	0.5187258	0.3016899	0.3882928	0.0123863	0.4786638	0.6680138	0.1714524	0.0227978	0.7100413	0.4508140	0.3515808	0.1038013	0.0211163	0.4419731	0.7485963
0.3826742	0.2244371	0.0919920	0.0012738	0.0325041	0.1423522	0.7925982	0.4317765	0.2781350	0.1191756	0.4641986	0.3870290	0.0338542	0.5115634	0.4517167	0.6372572
0.7241466	0.1768787	0.1268034	0.0104522	0.1515907	0.5026482	0.6869845	0.3746086	0.0024546	0.5284405	0.5768846	0.5199377	0.0342897	0.0683391	0.3461636	0.7293212
0.7015983	0.0823746	0.1266781	0.2178462	0.2467035	0.2029852	0.5482121	0.2824675	0.0870916	0.6436711	0.5976384	0.4926970	0.2250981	0.3999577	0.5747025	0.2324134
0.7428090	0.4937233	0.3129004	0.4221476	0.0092510	0.4348513	0.7470460	0.2390948	0.0336650	0.4589115	0.4553016	0.4022655	0.2169461	0.1864252	0.3410515	0.5489527
0.6555810	0.1948763	0.0001600	0.0225586	0.2152255	0.4216153	0.4734909	0.3319822	0.2277190	0.2109885	0.7309955	0.4878807	0.2562236	0.0675756	0.2180673	0.7415579
