"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	1.1139601	0.0657220	0.0088274	0.0162305	0.0283882	0.5259183	0.9186302	0.5006966	0.0617643	0.8213609	0.8892519	0.5988243	0.0676762	0.3224329	0.7544955	0.9371988
50	0.4691654	0.0786574	0.0139395	0.0090855	0.0059291	0.5747966	1.0142966	0.5181749	0.0296911	0.6536358	0.8491978	0.5968380	0.0715139	0.3553694	0.7551254	0.2407819
100	0.3666910	0.1402945	0.0092085	0.0017127	0.0132809	0.5104325	1.0282147	0.5993670	0.0303056	0.5394465	0.7647537	0.5631187	0.0837923	0.3906044	0.8470481	0.1318293
150	0.3153357	0.1838080	0.0100871	0.0078431	0.0147690	0.5558975	1.0431473	0.5558181	0.0406443	0.5471303	0.6791514	0.5321116	0.0754104	0.4687185	0.9118120	0.1073140
200	0.3609387	0.2364297	0.0109786	0.0103527	0.0371355	0.5184250	1.0455171	0.5411834	0.0331896	0.4823276	0.7225844	0.5714541	0.0813529	0.5681019	0.8575817	0.0639227
250	0.4063558	0.2427881	0.0069766	0.0055604	0.0423446	0.4465549	1.0525958	0.5215069	0.0362964	0.4670165	0.7152602	0.6522951	0.0850411	0.5538992	0.7906560	0.0737299
300	0.3884175	0.2586032	0.0124774	0.0017802	0.0394711	0.5339426	0.9657354	0.4512476	0.0312783	0.4326711	0.7092820	0.6829450	0.1003844	0.5632572	0.7889296	0.0577182
350	0.3396988	0.2730193	0.0083407	0.0060257	0.0569721	0.5412339	0.9066612	0.5151169	0.0246303	0.4541494	0.7252895	0.6400990	0.1103818	0.6064506	0.8051343	0.0596745
400	0.3278881	0.2365326	0.0102893	0.0049632	0.0552031	0.5319815	1.0189747	0.4853702	0.0428098	0.4586936	0.7489022	0.6827281	0.1542349	0.6420240	0.8653518	0.0981419
450	0.3108238	0.2340195	0.0073088	0.0150252	0.0311668	0.5547710	1.0310954	0.4610784	0.0338837	0.4619298	0.7377429	0.6659405	0.1296163	0.6322652	0.8302827	0.0674833
500	0.3685571	0.2665830	0.0082050	0.0082881	0.0440235	0.5213617	0.9287918	0.4914520	0.0415397	0.4677642	0.6939534	0.6588489	0.0996182	0.6612054	0.7677228	0.0644908
550	0.9290265	0.2011056	0.0138135	0.0152049	0.0414747	0.5733489	0.9821169	0.4924281	0.0461585	0.5408963	0.6927587	0.6842409	0.0592430	0.4956747	0.8214205	0.6677323
600	1.0053862	0.1522814	0.0160008	0.0145779	0.0304042	0.5863620	0.9775411	0.4655284	0.0454294	0.7035778	0.7487209	0.6699455	0.0919749	0.4039941	0.8321591	0.9521244
650	0.9492856	0.1317144	0.0139288	0.0240935	0.0320115	0.5631480	0.9717141	0.4852817	0.0365118	0.7304181	0.8666415	0.6969966	0.1029694	0.4271700	0.6908136	0.9065509
700	0.9728706	0.1015123	0.0143590	0.0126588	0.0287266	0.6027119	0.9378544	0.4273184	0.0407939	0.7028011	0.8599185	0.5995766	0.1062360	0.3732206	0.5915017	0.9861121
750	0.9452021	0.1113756	0.0135790	0.0065420	0.0131512	0.5475235	0.9689968	0.4764717	0.0359345	0.7049369	0.8271854	0.5725053	0.0672069	0.2710310	0.6669983	0.9180964
800	0.9708672	0.0889856	0.0091702	0.0083251	0.0185295	0.5396716	0.9874287	0.5009377	0.0371766	0.7823590	0.8203949	0.5699918	0.0959187	0.3008291	0.6719341	0.9406224
850	0.9168353	0.1057524	0.0062021	0.0061285	0.0160166	0.5929692	0.9748604	0.4354469	0.0418210	0.7450727	0.8690967	0.6536732	0.0911733	0.2866368	0.6981288	0.9087820
900	0.9507602	0.0939977	0.0052452	0.0030298	0.0307279	0.5499420	1.0420237	0.4289569	0.0563040	0.7946711	0.8779758	0.6734877	0.0848454	0.3894607	0.6695656	0.9393724
950	0.9946039	0.0820139	0.0086614	0.0055622	0.0352602	0.5842407	1.0339262	0.4637165	0.0462918	0.8392686	0.8326589	0.6197805	0.0878986	0.3478128	0.6897191	0.9770886
1000	0.9431803	0.0807724	0.0067103	0.0063527	0.0236089	0.5838405	1.0405132	0.4830430	0.0320330	0.8966487	0.8237011	0.6664580	0.0813152	0.3240854	0.7102948	0.8701444

0	1.1139601	0.0657220	0.0088274	0.0162305	0.0283882	0.5259183	0.9186302	0.5006966	0.0617643	0.8213609	0.8892519	0.5988243	0.0676762	0.3224329	0.7544955	0.9371988
50	0.9942940	0.0578188	0.0913602	0.5511293	0.0155852	0.5626942	0.9738701	0.2440414	0.0386635	0.8133431	0.8314110	0.6563699	0.0741809	0.2609933	0.4711867	0.8802203
100	1.0331469	0.1142067	0.2636701	0.6576203	0.0242315	0.5604648	1.0545094	0.1666707	0.0433079	0.8119172	0.8175707	0.6423859	0.0913979	0.2284367	0.4458777	0.8974912
150	1.1037202	0.1493386	0.3718304	0.7496008	0.0294997	0.5137243	0.9822764	0.1128253	0.0445157	0.8117516	0.8674127	0.6079210	0.1005597	0.2059831	0.4138347	0.9357913
200	0.9713919	0.2738756	0.4146058	0.7788185	0.0194917	0.5046056	0.8853162	0.1301050	0.0446333	0.8582423	0.8083778	0.5807683	0.0911833	0.1976803	0.5153011	0.9676052
250	1.0989227	0.3229586	0.4087595	0.7634122	0.0265064	0.4868523	0.8704979	0.1172378	0.0517907	0.8836050	0.7906552	0.5792149	0.0786761	0.2425515	0.4892316	0.9568802
