G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.4005822	0.0230500	0.0033397	0.0000000	0.9542835	0.9856392	0.4657813	0.0263603	0.4298655	0.0914311	0.0351440	0.0934391	0.5598843	0.1802269	0.7109993
0.0000000	0.4173927	0.0079245	0.0112287	0.4076698	0.7367608	0.9325439	0.3371657	0.0000000	0.4671026	0.1240654	0.0040175	0.3574649	0.5184860	0.1641953	0.4459664
0.0000000	0.3833969	0.0231001	0.0087245	0.4354332	0.7277546	0.8784474	0.3049784	0.0536997	0.4598068	0.0934869	0.0261685	0.0000000	0.5218171	0.2138533	0.7275651
0.0000000	0.0000000	0.0037246	0.0101647	0.3949661	0.7236823	0.9582127	0.2947164	0.0443768	0.4353535	0.0722084	0.0364243	0.4214079	0.5404782	0.1359273	0.4176370
0.0000000	0.3664508	0.0000000	0.0095882	0.4324087	0.6835875	0.8923876	0.3115180	0.0436597	0.4477956	0.1006452	0.0323143	0.4296339	0.4784177	0.1293454	0.4109676
0.0000000	0.3654398	0.0129248	0.0000000	0.4581422	0.6758659	0.9782694	0.2621399	0.0269499	0.4466248	0.1238251	0.0381156	0.4246253	0.4936529	0.1050812	0.3647454
0.0000000	0.3941484	0.0041403	0.0052674	0.4448023	0.0000000	0.9855115	0.8695276	0.0451297	0.4078529	0.1082501	0.0269496	0.3884085	0.5669250	0.1471328	0.3410968
0.0000000	0.4159432	0.0047235	0.0088775	0.4907929	0.3071916	0.0000000	0.4217152	0.0342397	0.5258545	0.1113094	0.0402658	0.3709051	0.4783914	0.1141003	0.3819755
0.0000000	0.4208101	0.0048539	0.0112034	0.4352400	0.4731591	0.1300904	0.0000000	0.0446619	0.4333949	0.0704327	0.0310420	0.3863371	0.5345504	0.1129979	0.5229192
0.0000000	0.4022600	0.0088304	0.0085086	0.4207445	0.7182879	0.9514200	0.3245262	0.0425309	0.0000000	0.0930539	0.0301447	0.3579747	0.4905164	0.1334648	0.3357648
0.0000000	0.3875288	0.0100814	0.0174565	0.4473099	0.7726064	0.8590137	0.3009039	0.0523904	0.4179933	0.0000000	0.0357118	0.3590106	0.4868013	0.1154269	0.4267564
0.0000000	0.3619286	0.0201331	0.0154547	0.4308287	0.7598811	1.0001079	0.3099818	0.0385310	0.4225923	0.0919483	0.0000000	0.4061781	0.5163875	0.1511583	0.4358479
0.0000000	0.4424853	0.0072539	0.0119478	0.4245317	0.7213683	0.9396908	0.3179190	0.0468759	0.5302745	0.0784171	0.0256748	0.3574343	0.0000000	0.1321280	0.6798183
0.0000000	0.4350002	0.0087661	0.0119618	0.4244971	0.7058608	0.9572728	0.3805016	0.0365524	0.4332368	0.1135478	0.0287228	0.3842268	0.4341438	0.0000000	0.5066525
0.0000000	0.3824259	0.0254853	0.0103965	0.4048448	0.7427108	0.8974596	0.3390250	0.0274391	0.4650900	0.1295591	0.0316049	0.4429652	0.4845549	0.1715376	0.0000000
0.9761031	0.0982157	0.0134029	0.0075006	0.0000000	0.0000000	0.9828542	1.0439011	0.0443739	0.7092890	0.8643549	0.6321502	0.0818363	0.3376252	0.6747842	0.9414215
