G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.5064826	0.1785452	0.0080948	0.0065627	0.0137793	0.5107227	1.0164445	0.5737545	0.0543693	0.5136625	0.6546995	0.6346133	0.0940817	0.4479772	0.7000716	0.9171455
0.9712747	0.0419526	0.0154892	0.0226579	0.0216577	0.5457682	0.9665056	0.4761988	0.0468347	0.8153128	0.8289337	0.6820829	0.0808245	0.3561814	0.7543437	0.9443585
0.9467847	0.0874597	0.0046145	0.0091506	0.0221751	0.5234289	0.9805907	0.4813269	0.0508210	0.8458981	0.7830016	0.6354173	0.0897185	0.3087397	0.7402077	1.0561350
0.9681428	0.0800733	0.0182263	0.0064447	0.0168555	0.4716678	0.9575341	0.4623467	0.0407960	0.7724428	0.7461110	0.6406873	0.0939741	0.3615935	0.6766893	0.9638661
0.9817489	0.0743117	0.0186078	0.0050303	0.0181058	0.5948057	1.0152601	0.5220888	0.0434861	0.7639718	0.8808394	0.6264413	0.0815768	0.3727624	0.6998518	0.9783896
1.0597500	0.0846231	0.0144973	0.0190695	0.0326662	0.2599433	1.0527502	0.5917958	0.0422738	0.7621960	0.8425549	0.6459560	0.1104224	0.3749813	0.7003995	0.9135759
0.9744436	0.0881207	0.0095536	0.0247612	0.0187534	0.5417723	0.5052665	0.5283557	0.0435815	0.8820014	0.8243880	0.6690782	0.0936350	0.2841668	0.6766778	1.0411078
1.0919832	0.0791909	0.0149441	0.0107989	0.0140003	0.4961415	0.9308533	0.2744248	0.0417458	0.8717574	0.8102683	0.6460184	0.0600062	0.3234691	0.7374011	1.0100671
0.9648538	0.1019557	0.0052967	0.0127608	0.0153873	0.5575335	0.9551435	0.5025418	0.0045677	0.7918550	0.7724413	0.6752944	0.0734057	0.2863920	0.7139823	1.0761477
0.9996426	0.1080953	0.0086220	0.0129284	0.0219394	0.6094187	0.9783734	0.4507104	0.0525058	0.4062582	0.9270262	0.6480857	0.0814968	0.3214287	0.6999212	0.8651133
1.0311682	0.0770337	0.0137102	0.0105586	0.0229000	0.5602031	1.1138621	0.4386756	0.0407743	0.9107280	0.4896564	0.6204803	0.0869069	0.3235469	0.8241639	0.9740993
0.9190957	0.1088279	0.0137291	0.0085121	0.0222331	0.5725739	1.0244108	0.5250642	0.0369881	0.8573420	0.6702983	0.3352468	0.1067808	0.3284487	0.6885217	0.9069404
0.9801140	0.0696773	0.0130523	0.0157120	0.0201390	0.6054898	1.0122309	0.5546883	0.0360296	0.7172815	0.8434739	0.6108349	0.0487416	0.3896285	0.7272085	1.0224920
1.0757088	0.0749225	0.0080286	0.0070567	0.0279441	0.5471323	1.0578863	0.5082592	0.0481595	0.8102380	0.8564875	0.6857715	0.0561309	0.1704431	0.7279418	0.9113569
1.0236160	0.0773065	0.0043764	0.0032756	0.0150377	0.5297537	1.0066078	0.4159666	0.0597821	0.7679374	0.8885744	0.5844374	0.0733705	0.1586869	0.3140957	0.9890564
1.0187560	0.0996010	0.0117300	0.0143249	0.0244668	0.5529901	0.9962561	0.4724461	0.0350685	0.8626280	0.8576900	0.6199732	0.0565445	0.4165537	0.8529558	0.3872120
