G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.3630953	0.0073889	0.0081020	0.4872747	0.7474424	0.9043281	0.3165240	0.0325049	0.4491153	0.1137607	0.0344748	0.3495834	0.5825550	0.1118018	0.3790844
0.9461447	0.0000000	0.0109516	0.0096914	0.0060523	0.5965670	1.0153969	0.4470472	0.0415250	0.8619065	0.8423775	0.6107286	0.0781054	0.3227677	0.6828990	1.0269079
1.0048931	0.0713082	0.0000000	0.0087763	0.0230665	0.5725708	0.9269889	0.5013454	0.0314719	0.7026678	0.8379502	0.6265142	0.0845860	0.3636830	0.6672755	0.9639078
0.9854534	0.0796544	0.0020189	0.0000000	0.0154002	0.5725735	1.0499004	0.4883077	0.0479206	0.8280168	0.8998444	0.6112742	0.0665774	0.3630949	0.6951743	0.8995285
1.0210295	0.0837831	0.0031432	0.0040844	0.0000000	0.5574450	1.0228583	0.5484762	0.0481967	0.8238134	0.8344547	0.6463478	0.0741354	0.3688287	0.6203381	0.8503316
0.9617971	0.0578532	0.0145600	0.0119890	0.0218973	0.0000000	1.0714956	1.0223261	0.0408691	0.7783171	0.8138374	0.6238909	0.0755431	0.3315121	0.6325731	0.8701230
1.0256520	0.0819395	0.0104286	0.0056492	0.0079073	0.5930640	0.0000000	0.4793167	0.0398883	0.7671270	0.8326786	0.6396921	0.0829784	0.2706583	0.6483989	0.9537626
0.9181841	0.0955806	0.0164817	0.0155043	0.0255135	0.5209931	0.9138644	0.0000000	0.0279706	0.8084808	0.9251470	0.6521996	0.0895443	0.3150660	0.7516874	0.9546144
1.0186514	0.0765005	0.0039218	0.0085418	0.0001066	0.5614368	1.0253258	0.5073942	0.0000000	0.8142850	0.8328376	0.6079163	0.0888510	0.2951488	0.7576245	0.9361483
1.0219629	0.0895973	0.0155914	0.0082159	0.0198985	0.5804296	1.0192031	0.4899490	0.0400060	0.0000000	0.1223079	0.0202853	0.0662162	0.3815070	0.6147498	0.8865121
0.9836181	0.0893820	0.0101950	0.0147284	0.0323937	0.6144980	1.0121034	0.5011842	0.0382497	0.8228830	0.0000000	0.6486255	0.0805994	0.2868566	0.6607014	1.0890047
1.0446180	0.0874139	0.0117551	0.0092993	0.0226980	0.5542657	0.9701850	0.5261770	0.0321343	0.8570199	0.1329403	0.0000000	0.1075556	0.3648795	0.7119987	0.9616291
0.9920777	0.0872014	0.0043876	0.0051528	0.0109668	0.5600108	1.1173251	0.5525277	0.0343163	0.7550289	0.7993532	0.6075935	0.0000000	0.3544176	0.7446178	0.9183784
1.0612427	0.0783098	0.0027435	0.0093765	0.0221574	0.5423565	1.0260552	0.4492536	0.0276269	0.7953147	0.8636807	0.6021913	0.0658752	0.0000000	0.6295162	1.0421137
0.9508632	0.0708440	0.0263380	0.0076029	0.0156687	0.5679502	1.0911640	0.5812163	0.0517123	0.8452742	0.8765801	0.6042614	0.0784471	0.0289504	0.0000000	0.9220868
1.0407785	0.0785971	0.0059099	0.0207306	0.0172055	0.5938599	1.0095742	0.5290334	0.0460387	0.8459868	0.8421871	0.7069534	0.0929512	0.3792886	0.9060591	0.0000000
