G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
1.0171649	0.1904651	0.2449608	0.1331012	0.0346368	0.2396553	0.9940957	0.4615809	0.1043763	0.7674420	0.8804088	0.8195500	0.0138084	0.7780521	0.8271783	0.8454412
0.6452433	0.1635326	0.1353399	0.0001960	0.0047119	0.8018620	1.0540965	0.4958959	0.0044059	0.8197846	0.9069478	0.9594482	0.0893566	0.2093214	0.7115731	1.0345444
0.6648478	0.2387332	0.1951811	0.0006235	0.0076143	1.0232484	0.9322067	0.1983533	0.0077496	0.2846780	0.8781645	0.7573416	0.1466237	0.1853317	0.5176931	1.1001037
0.8565739	0.0740413	0.0519420	0.0947878	0.5434167	0.1676828	0.9631367	0.6243796	0.3773196	0.4819632	0.7751515	0.8785537	0.7749814	0.2704359	0.2834858	0.3806756
1.0095183	0.0908878	0.0003689	0.0004173	0.0464285	0.7347897	1.0044867	0.4157713	0.0002861	0.4807480	0.9356155	0.6270541	0.0190636	0.0717189	0.4710345	0.8833375
0.9726910	0.1772590	0.0003000	0.0012104	0.0171500	0.7918517	0.7868940	0.1090720	0.0831434	0.8060597	0.9229535	0.6277895	0.2838252	0.2266813	0.4984581	0.6953888
1.0136033	0.1711608	0.3809355	0.2504484	0.6002063	0.1200429	1.0434219	0.2286362	0.5655543	0.3079189	0.7576290	0.8041705	0.5824343	0.3640194	0.6859167	0.2300667
0.5617253	0.4601792	0.1933731	0.0752585	0.3908612	0.1210187	0.5413778	0.7089973	0.2543902	0.6657783	0.9362817	0.9193842	0.4648183	0.1764215	0.4355924	0.5746398
0.9630219	0.4769321	0.1448097	0.2205449	0.0163465	0.6736202	1.0550563	0.1380629	0.2079851	0.6380447	0.6675774	0.6035571	0.0187425	0.3368315	0.4902563	0.9969992
0.8682840	0.1053832	0.0000174	0.0015737	0.6926516	0.2654261	0.4514416	0.5453721	0.3278124	0.3702323	0.8641098	0.7077635	0.5581626	0.1706171	0.5786277	0.2018132
1.1068875	0.6354662	0.3781955	0.5840881	0.0042922	0.7197024	1.0170186	0.2468057	0.0379975	0.8076967	0.7024065	0.5926360	0.1259561	0.0233135	0.6596241	1.0102690
0.5193750	0.3122036	0.1572902	0.0009708	0.0346862	0.2730412	1.0453049	0.5623296	0.3929862	0.0898148	0.6811192	0.5135851	0.0363135	0.7633772	0.6969242	0.8632878
1.0606175	0.3213417	0.1637216	0.0071807	0.1493099	0.5082776	0.9704079	0.4472884	0.0014191	0.7844280	0.7060779	0.6644076	0.0567669	0.0909427	0.4740004	0.9435658
0.9696768	0.1021303	0.2488533	0.2846749	0.3671098	0.2859074	0.7674333	0.4366049	0.1747386	0.8146017	0.8796239	0.6994591	0.3216009	0.5085997	0.6778882	0.3173482
0.9389545	0.7718872	0.4260831	0.5488641	0.0188987	0.6497695	0.8795687	0.3521399	0.0372089	0.6889155	0.6685842	0.6043384	0.2578671	0.2627056	0.4038063	0.6567836
0.8661060	0.2581590	0.0005734	0.0150482	0.2662017	0.5567260	0.5522795	0.3473715	0.3147679	0.2575073	0.8490734	0.7345910	0.2816905	0.0622282	0.2628795	0.8137161
