"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	1.2865464	0.0775321	0.0162308	0.0062643	0.0174572	0.5348483	0.9631815	0.4584323	0.0581080	0.8237374	0.8975469	0.6570032	0.0679963	0.3590551	0.7136026	0.8802678
50	0.7433988	0.0628483	0.0147005	0.0112516	0.0072249	0.5546547	0.9080943	0.4869628	0.0455153	0.7270738	0.8471374	0.6592321	0.0950931	0.3330472	0.6777841	0.6435204
100	0.5318349	0.0748557	0.0153328	0.0044509	0.0063071	0.4956249	0.9899146	0.6394995	0.0477341	0.5931937	0.8204681	0.4881132	0.0834071	0.3660679	0.6716123	0.3743267
150	0.3946590	0.1054400	0.0080308	0.0043664	0.0153363	0.4383780	1.0681576	0.6276745	0.0489747	0.6311169	0.8180456	0.5293315	0.0737920	0.4154171	0.8942719	0.2266395
200	0.3569521	0.1864162	0.0140026	0.0147384	0.0244472	0.4516088	1.0313594	0.5426749	0.0226436	0.5631908	0.7559353	0.5896745	0.0937817	0.5449140	0.8705099	0.1522836
250	0.3690944	0.1952460	0.0165334	0.0091787	0.0484597	0.4693568	1.1352602	0.5481634	0.0416736	0.4401245	0.7743577	0.6086540	0.0903749	0.5258244	0.9303612	0.0827639
300	0.3859539	0.2232309	0.0137632	0.0102340	0.0400712	0.5646255	1.0067577	0.4933844	0.0376455	0.4586530	0.7108998	0.6410528	0.1006203	0.6118618	0.7889295	0.0788942
350	0.3281262	0.2428429	0.0141083	0.0045740	0.0752425	0.5672678	1.0374587	0.5188800	0.0228674	0.4743541	0.7212280	0.6943086	0.0873224	0.5865795	0.8181093	0.0531333
400	0.3569461	0.2640630	0.0048330	0.0073562	0.0629257	0.5353725	0.8917464	0.5289348	0.0462561	0.4286264	0.7520253	0.6870051	0.1065694	0.5512691	0.9724164	0.0740342
450	0.3502960	0.2101375	0.0103119	0.0118907	0.0354153	0.5114918	1.0351777	0.4296024	0.0263203	0.4209041	0.7189969	0.6348619	0.1416733	0.6313834	0.9304273	0.0609136
500	0.3753424	0.2535297	0.0114695	0.0110517	0.0314207	0.4769211	0.9937976	0.4438195	0.0359283	0.3934144	0.6807070	0.6725442	0.1363555	0.6641971	0.8554844	0.0767415
550	0.7110370	0.2423797	0.0100428	0.0097538	0.0319792	0.5149888	1.0157167	0.4793902	0.0493465	0.4537541	0.7021366	0.6457915	0.0881548	0.5333100	0.8436292	0.2983676
600	0.8857342	0.1756817	0.0082968	0.0091215	0.0225072	0.4960714	0.9505343	0.4740907	0.0313951	0.6238798	0.7783505	0.7246088	0.0756580	0.4632829	0.7908483	0.6094067
