G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.4253983	0.0257927	0.0052510	0.0000000	1.0094609	0.9609524	0.4444973	0.0416641	0.4587565	0.1058306	0.0431667	0.0807796	0.5707654	0.2012603	0.7367482
0.0000000	0.3855595	0.0144313	0.0116712	0.4112555	0.8496900	0.9329703	0.2981591	0.0000000	0.4413565	0.0919097	0.0062807	0.3351278	0.5520174	0.1635976	0.4351318
0.0000000	0.3706970	0.0172919	0.0094696	0.4617154	0.7367705	0.8531182	0.3456304	0.0519222	0.4757255	0.1119078	0.0215809	0.0000000	0.5617271	0.2401146	0.7313503
0.0000000	0.0000000	0.0098293	0.0118882	0.4236083	0.7499265	0.9572084	0.2866006	0.0323966	0.4414160	0.0905687	0.0304327	0.3731933	0.5665094	0.1492437	0.3498065
0.0000000	0.3304992	0.0000000	0.0106846	0.4379483	0.6208712	0.9821505	0.3269006	0.0376740	0.4325280	0.1103434	0.0347035	0.3903562	0.5179813	0.1444878	0.4658811
0.0000000	0.3562387	0.0104049	0.0000000	0.5172862	0.7430676	1.0103281	0.3376167	0.0308028	0.4245161	0.0980506	0.0359566	0.4446125	0.4482314	0.0803846	0.4124395
0.0000000	0.3899566	0.0130450	0.0109501	0.4426985	0.0000000	0.9175869	0.8171890	0.0358855	0.4548951	0.1069594	0.0249024	0.4100092	0.5792473	0.1457899	0.3198578
0.0000000	0.3652712	0.0070979	0.0054833	0.3996101	0.3046593	0.0000000	0.4210769	0.0367128	0.5055502	0.1213727	0.0401937	0.4372446	0.4723554	0.0965727	0.3533238
0.0000000	0.4058669	0.0097695	0.0081112	0.4536056	0.4264274	0.1602695	0.0000000	0.0385818	0.3940769	0.1093583	0.0420367	0.3651832	0.5402103	0.1677020	0.4402397
0.0000000	0.4053717	0.0124542	0.0135163	0.3746848	0.7534103	0.8356048	0.3274807	0.0354987	0.0000000	0.0664608	0.0120104	0.4589102	0.4462956	0.1033123	0.2947998
0.0000000	0.3713507	0.0040971	0.0230125	0.4264973	0.7688995	0.8353603	0.3140981	0.0454874	0.4150478	0.0000000	0.0165988	0.3717162	0.4903022	0.1491920	0.4163752
0.0000000	0.3433726	0.0100059	0.0366214	0.4107365	0.8127970	0.9705655	0.2927214	0.0378068	0.3762252	0.1187075	0.0000000	0.4099972	0.5374153	0.1501116	0.2840876
0.0000000	0.4031442	0.0191359	0.0105798	0.4070931	0.6769491	0.8742559	0.3161468	0.0407179	0.5132665	0.0798413	0.0354479	0.3354311	0.0000000	0.1238062	0.5655772
0.0000000	0.4300346	0.0208798	0.0097762	0.3894206	0.7450078	0.8968598	0.3562210	0.0634106	0.4280343	0.1238514	0.0367886	0.3809973	0.4386743	0.0000000	0.5158927
0.0000000	0.3623831	0.0309334	0.0258443	0.5055226	0.7055217	0.9975061	0.3114735	0.0235754	0.5078230	0.1057129	0.0433044	0.3891662	0.4732502	0.1507678	0.0000000
1.0339412	0.0892595	0.0119738	0.0135081	0.0000000	0.0000000	0.9811917	0.9896639	0.0626705	0.7291946	0.9375322	0.6107992	0.1080402	0.4020684	0.6656163	0.9189779
