G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.5063113	0.1794959	0.0063655	0.0119364	0.0124496	0.5185842	1.0646748	0.5571195	0.0485523	0.6205866	0.6660502	0.6067794	0.0970179	0.3983096	0.7022191	0.9114306
0.8948204	0.0359867	0.0071690	0.0130315	0.0388853	0.5327883	0.9224004	0.4739147	0.0403314	0.6927122	0.7990887	0.6319168	0.0631993	0.3517386	0.7506844	0.9098680
0.9315160	0.1035679	0.0037819	0.0102533	0.0151074	0.5515238	0.9356957	0.4896704	0.0401852	0.7485038	0.8671695	0.6105395	0.0950286	0.3045888	0.6743924	0.9975548
1.1149891	0.0849271	0.0134492	0.0028815	0.0219590	0.5720206	1.0590045	0.4872532	0.0289052	0.7321111	0.8450734	0.6347109	0.0433689	0.3241037	0.6922258	0.9817510
1.0421425	0.0894227	0.0189551	0.0065200	0.0214855	0.5900066	1.0091713	0.5164228	0.0759578	0.7495483	0.8717148	0.6279791	0.0884885	0.3377620	0.6920044	1.0404782
0.9475753	0.0855684	0.0193576	0.0107185	0.0488089	0.2722057	1.0272362	0.6860768	0.0513976	0.7884635	0.9521583	0.7450728	0.0987463	0.4119035	0.6497488	0.9115457
1.0702629	0.0743928	0.0098359	0.0251309	0.0269972	0.5974320	0.5273304	0.4948198	0.0450743	0.8859609	0.9119240	0.6281060	0.0705993	0.2886079	0.5647956	1.0005493
1.0363737	0.0898470	0.0119780	0.0113401	0.0155915	0.5512752	1.0666713	0.2677685	0.0440875	0.8364567	0.7458097	0.6133306	0.0655496	0.3437743	0.7768002	0.8848295
0.9853791	0.0703510	0.0071657	0.0148048	0.0117453	0.5492447	0.9071708	0.5630075	0.0358741	0.7614376	0.7773810	0.6427992	0.0631324	0.3082131	0.6537827	1.0053356
0.9029168	0.0863975	0.0150605	0.0108520	0.0206204	0.6094800	1.0332975	0.4133139	0.0535229	0.3885271	0.8946436	0.6202494	0.0990361	0.3605294	0.5624146	0.8844883
1.0221729	0.0967296	0.0160279	0.0035545	0.0200792	0.5976018	1.1536353	0.4885686	0.0473466	0.9136411	0.4306681	0.6517929	0.0600253	0.3360454	0.7191002	0.9441252
0.9676680	0.0755238	0.0061878	0.0125354	0.0143254	0.5109889	0.9188303	0.4665985	0.0491751	0.7654719	0.6380952	0.3050555	0.0892650	0.3186868	0.7123505	0.8713865
1.0784577	0.0750143	0.0144923	0.0153723	0.0140763	0.5777995	0.9685142	0.5535485	0.0515281	0.7212574	0.8375168	0.6081506	0.0660540	0.3584144	0.7253641	0.9109003
0.9963834	0.0752427	0.0101556	0.0062543	0.0349093	0.5457046	1.0778920	0.5527746	0.0635971	0.7895391	0.8501369	0.6064187	0.0711118	0.1688165	0.7953418	0.9932959
1.0093399	0.0750018	0.0062028	0.0040680	0.0271860	0.5563595	0.9901943	0.4893967	0.0502743	0.7635103	0.7810203	0.5065763	0.0847640	0.1535703	0.3669790	1.0584756
1.0208442	0.1080897	0.0159618	0.0171091	0.0119961	0.5068712	0.9722226	0.5289087	0.0433333	0.7955563	0.8082214	0.6868326	0.0599367	0.3942837	0.9625403	0.4576257
