G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.3492292	0.0139359	0.0062371	0.4308743	0.7001992	0.9308725	0.2901152	0.0459472	0.4780438	0.1121533	0.0258257	0.3864220	0.5732804	0.1428189	0.4432767
0.9980459	0.0000000	0.0072865	0.0115967	0.0089400	0.6271413	0.8899973	0.5318412	0.0297131	0.8552326	0.8297609	0.5826863	0.0653518	0.3597494	0.7297476	1.0262290
1.0630264	0.0837062	0.0000000	0.0197565	0.0140165	0.4983352	0.8737752	0.4476858	0.0422903	0.7736012	0.8159953	0.6147012	0.0787657	0.2981408	0.6828708	1.0085408
1.0867012	0.0799877	0.0018183	0.0000000	0.0172712	0.5177934	1.0140906	0.4571395	0.0398586	0.7553217	0.8617721	0.6717328	0.0749584	0.3789924	0.6567701	0.9230771
0.9684170	0.0624703	0.0074888	0.0048978	0.0000000	0.5448539	1.0919638	0.5450204	0.0496735	0.8116041	0.8646448	0.5955245	0.0889532	0.3331331	0.6995420	1.0289265
1.0441319	0.0828337	0.0097196	0.0128542	0.0300852	0.0000000	1.0414646	1.0058647	0.0516980	0.7261005	0.8148922	0.6348901	0.0775832	0.3315561	0.7212278	0.9367321
0.9997968	0.0628689	0.0115987	0.0059888	0.0125125	0.5364222	0.0006675	0.5049399	0.0462844	0.7803322	0.7561921	0.7147547	0.0937429	0.3103933	0.6071353	0.9119809
0.9044346	0.0894570	0.0168066	0.0147326	0.0240723	0.5480334	0.9575153	0.0000000	0.0264129	0.8336840	0.9104594	0.6538405	0.0964731	0.3738351	0.7285579	0.9178566
0.9782465	0.0953200	0.0119793	0.0149904	0.0008628	0.5797001	1.0738729	0.4668686	0.0000000	0.7780475	0.7502529	0.6143439	0.0834836	0.3065090	0.6788565	0.8510529
1.0678605	0.0899858	0.0305293	0.0151118	0.0225862	0.5771218	1.0556428	0.5218050	0.0421992	0.0000000	0.1323207	0.0250267	0.0783805	0.3477997	0.7266842	0.8561333
0.9699659	0.0766892	0.0071271	0.0072176	0.0263248	0.5971678	0.9722043	0.5084407	0.0432840	0.7888647	0.0000000	0.5802271	0.0713976	0.2626280	0.6568630	0.9795597
1.0197963	0.0800371	0.0168031	0.0087779	0.0239048	0.4822728	1.0291723	0.5370779	0.0560774	0.8049253	0.0925296	0.0000000	0.0939700	0.3260952	0.6316008	0.9723539
0.9734999	0.1189187	0.0090814	0.0081383	0.0205375	0.5540576	1.0816310	0.5621424	0.0282925	0.7909303	0.8199361	0.5841015	0.0000000	0.3418099	0.8460264	0.9618862
0.9846510	0.0777842	0.0110467	0.0036360	0.0311143	0.6326464	1.0196124	0.4729254	0.0433638	0.7577760	0.8967447	0.6211732	0.0952352	0.0000000	0.7568778	0.9657350
1.0729112	0.0926277	0.0158590	0.0067253	0.0272616	0.5522988	1.0331874	0.5007482	0.0440438	0.7149405	0.8570749	0.5332092	0.0836711	0.0491744	0.0000000	0.9566092
1.0267621	0.0707765	0.0118273	0.0394248	0.0371831	0.5863345	0.9689158	0.5335028	0.0471247	0.8409548	0.8341376	0.7485051	0.0620692	0.2919732	0.9069928	0.0000000
