G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.9769409	0.2345467	0.2918458	0.1087620	0.0196970	0.2641553	0.9278655	0.4305117	0.1047720	0.7186641	0.8811515	0.7049978	0.0345796	0.8011302	0.8681245	0.8323703
0.5975269	0.1289794	0.1262817	0.0025876	0.0006021	0.7584441	0.9611080	0.4756052	0.0048717	0.9110299	0.9594213	0.8524760	0.0834099	0.1900236	0.8222984	0.9998274
0.6170141	0.2913293	0.1845712	0.0005538	0.0057058	0.8871464	0.9726780	0.2053815	0.0083947	0.3046027	0.9809489	0.6955016	0.1275159	0.1603253	0.4542893	1.0377680
0.8198757	0.0672893	0.0537364	0.0952349	0.6145542	0.1589963	1.0654939	0.6028823	0.3664458	0.5467016	0.7744810	0.8627973	0.7875233	0.2991608	0.2619968	0.3477256
1.0163774	0.0988788	0.0031394	0.0021630	0.0500368	0.7609435	0.9510786	0.3590155	0.0019058	0.5059392	0.8911377	0.6730851	0.0220762	0.0947165	0.4706456	0.9214114
1.0280833	0.1579962	0.0003594	0.0014365	0.0254866	0.8808747	0.7835047	0.1008589	0.0839269	0.7534105	0.8599432	0.6633632	0.3511138	0.2024263	0.4942889	0.6573071
0.9474994	0.2200094	0.3546644	0.3038383	0.5921680	0.1441337	0.9697924	0.2842496	0.5917953	0.2897796	0.7836287	0.7416112	0.6035036	0.3819175	0.6421463	0.1822183
0.6120120	0.4040247	0.2475611	0.0586865	0.3777133	0.1323965	0.5484449	0.6596447	0.3001776	0.5840575	0.9106607	0.9135410	0.4285838	0.1736433	0.4603542	0.6046022
0.9881203	0.5113146	0.1321691	0.1782918	0.0181364	0.6451093	1.0041096	0.1300350	0.2202214	0.6461253	0.8167439	0.6543707	0.0257227	0.3178680	0.4803728	0.9982860
0.8739321	0.1283666	0.0024330	0.0005475	0.6776964	0.2646009	0.4600983	0.5190082	0.3220234	0.3499075	0.9071658	0.6487643	0.4693970	0.1701161	0.5593992	0.1504491
1.0847669	0.6204031	0.4141596	0.5565661	0.0029695	0.6204688	0.9463982	0.2503485	0.0273510	0.9228532	0.8179182	0.5835422	0.1548781	0.0118658	0.6468787	0.9354912
0.4772092	0.2989367	0.1451142	0.0066125	0.0550204	0.2922512	1.0306754	0.6356641	0.2840996	0.0755318	0.6757137	0.5554034	0.0333023	0.7150309	0.7471032	0.8070870
1.0602369	0.2419151	0.2554132	0.0063300	0.1374293	0.4370657	1.0311056	0.4383625	0.0013971	0.7914653	0.6898144	0.5816542	0.0458579	0.1086977	0.4867440	0.9898799
1.0292055	0.0877377	0.2863313	0.2695550	0.3253149	0.2560715	0.8380888	0.5231087	0.1951948	0.7995036	0.9075338	0.6801320	0.3000521	0.5636844	0.5953758	0.3048208
1.0371064	0.7904333	0.4390879	0.5351530	0.0233900	0.5740174	0.9078601	0.3946150	0.0326834	0.7106605	0.6964192	0.6088403	0.2476281	0.2777861	0.4383530	0.6752249
0.9217860	0.2711855	0.0034437	0.0146542	0.2717440	0.5503088	0.5493097	0.3792382	0.2845118	0.2817902	0.9421277	0.6731252	0.2367599	0.0683325	0.2451436	0.7637806
