"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	0.4128426	0.0938375	0.0106155	0.0084788	0.0179035	0.5392249	0.9992243	0.5018918	0.0423996	0.7008693	0.8184728	0.6182015	0.0792043	0.3480749	0.7119117	0.2557565
100	0.3480623	0.1405808	0.0106305	0.0084774	0.0201287	0.5432909	0.9987243	0.5013283	0.0423808	0.5946532	0.7889216	0.6181541	0.0793826	0.4145604	0.7919078	0.1264204
150	0.3409151	0.1873350	0.0106417	0.0084934	0.0274802	0.5508076	0.9980958	0.4997751	0.0423566	0.5202788	0.7447467	0.6178741	0.0802583	0.5070122	0.8332832	0.0943318
200	0.3401266	0.2166534	0.0106476	0.0085475	0.0373667	0.5558070	0.9972514	0.4963151	0.0423706	0.4832369	0.7087558	0.6172069	0.0827768	0.5741639	0.8444251	0.0806539
250	0.3400396	0.2313661	0.0106510	0.0086428	0.0451481	0.5556080	0.9961505	0.4916183	0.0424767	0.4674496	0.6878788	0.6164077	0.0868522	0.6092858	0.8446643	0.0733089
300	0.3400300	0.2379364	0.0106541	0.0087510	0.0498160	0.5525183	0.9950297	0.4872781	0.0426965	0.4612408	0.6777396	0.6157999	0.0912600	0.6245363	0.8409714	0.0695484
350	0.3400289	0.2406775	0.0106571	0.0088418	0.0522800	0.5491212	0.9941204	0.4842276	0.0430009	0.4589130	0.6732571	0.6154674	0.0949075	0.6300824	0.8359451	0.0677537
400	0.3400288	0.2417722	0.0106599	0.0089039	0.0535275	0.5465367	0.9934923	0.4824890	0.0433296	0.4580656	0.6713792	0.6153435	0.0974394	0.6314236	0.8310901	0.0669385
450	0.3400288	0.2421966	0.0106621	0.0089410	0.0541760	0.5448740	0.9931022	0.4816650	0.0436263	0.4577612	0.6706232	0.6153385	0.0990105	0.6311469	0.8271798	0.0665872
500	0.3400288	0.2423575	0.0106637	0.0089612	0.0545402	0.5438899	0.9928751	0.4813450	0.0438606	0.4576509	0.6703335	0.6153864	0.0999253	0.6303987	0.8243857	0.0664511
550	0.9271861	0.2031932	0.0106550	0.0093022	0.0394348	0.5295591	0.9941071	0.4827848	0.0441132	0.5625523	0.7251469	0.6171288	0.0992801	0.5436054	0.8212013	0.6527211
600	0.9919665	0.1410009	0.0106409	0.0095914	0.0273224	0.5240491	0.9965475	0.4889916	0.0442040	0.6773667	0.7834568	0.6181934	0.0940797	0.4439125	0.7749763	0.8091414
650	0.9991137	0.1058762	0.0106325	0.0092137	0.0221561	0.5275924	0.9980369	0.4953743	0.0439897	0.7428929	0.8091009	0.6185497	0.0882259	0.3951309	0.7243435	0.8667832
700	0.9999022	0.0899910	0.0106250	0.0088458	0.0199753	0.5319235	0.9987611	0.4994218	0.0436002	0.7720019	0.8190946	0.6186342	0.0841404	0.3688130	0.6959677	0.8928571
750	0.9999892	0.0833856	0.0106186	0.0086461	0.0189941	0.5348761	0.9990929	0.5013660	0.0432096	0.7836727	0.8228360	0.6185994	0.0817856	0.3531777	0.6832892	0.9062755
800	0.9999988	0.0807605	0.0106143	0.0085534	0.0184941	0.5365590	0.9992428	0.5020860	0.0429058	0.7881072	0.8241960	0.6185174	0.0805433	0.3441762	0.6779999	0.9137439
850	0.9999999	0.0797473	0.0106117	0.0085124	0.0182027	0.5374594	0.9993111	0.5022582	0.0427005	0.7897396	0.8246689	0.6184288	0.0799073	0.3393660	0.6757559	0.9179625
900	1.0000000	0.0793643	0.0106104	0.0084948	0.0180178	0.5379413	0.9993432	0.5022429	0.0425731	0.7903295	0.8248180	0.6183535	0.0795774	0.3369527	0.6747401	0.9202789
950	1.0000000	0.0792219	0.0106097	0.0084872	0.0178970	0.5382092	0.9993592	0.5021894	0.0424980	0.7905411	0.8248535	0.6182975	0.0793986	0.3357867	0.6742518	0.9215018
1000	1.0000000	0.0791695	0.0106094	0.0084840	0.0178188	0.5383656	0.9993676	0.5021444	0.0424549	0.7906172	0.8248526	0.6182593	0.0792963	0.3352317	0.6740143	0.9221276

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	1.0000000	0.0792027	0.0735165	0.4785752	0.0177059	0.5385840	0.9992103	0.2488213	0.0424028	0.7906622	0.8248202	0.6182039	0.0791567	0.3210420	0.5212014	0.9233253
100	1.0000000	0.0942673	0.2823384	0.6600249	0.0177004	0.5385961	0.9970968	0.1578318	0.0424003	0.7906626	0.8248174	0.6182013	0.0791490	0.2898132	0.5025972	0.9279656
150	1.0000000	0.1747039	0.3807134	0.7300692	0.0176972	0.5386033	0.9849130	0.1251417	0.0423988	0.7906628	0.8248158	0.6181998	0.0791445	0.2669023	0.4996400	0.9357302
200	1.0000000	0.2585896	0.4148058	0.7572061	0.0176952	0.5386075	0.9590564	0.1133966	0.0423979	0.7906630	0.8248148	0.6181989	0.0791418	0.2552615	0.4981291	0.9422858
250	1.0000000	0.3083206	0.4262554	0.7681859	0.0176940	0.5386101	0.9359664	0.1091765	0.0423974	0.7906631	0.8248143	0.6181983	0.0791402	0.2499910	0.4968009	0.9462491
300	1.0000000	0.3326305	0.4301932	0.7734250	0.0176933	0.5386116	0.9226682	0.1076600	0.0423971	0.7906631	0.8248139	0.6181980	0.0791392	0.2475303	0.4957782	0.9482863
350	1.0000000	0.3435310	0.4316271	0.7764886	0.0176929	0.5386125	0.9162616	0.1071149	0.0423969	0.7906632	0.8248137	0.6181978	0.0791386	0.2462553	0.4951023	0.9492818
400	1.0000000	0.3481980	0.4322022	0.7784012	0.0176926	0.5386130	0.9134109	0.1069190	0.0423968	0.7906632	0.8248136	0.6181977	0.0791383	0.2455321	0.4946969	0.9497821
450	1.0000000	0.3501505	0.4324633	0.7795474	0.0176925	0.5386134	0.9121956	0.1068485	0.0423967	0.7906632	0.8248135	0.6181976	0.0791381	0.2451062	0.4944660	0.9500499
500	1.0000000	0.3509643	0.4325949	0.7801908	0.0176924	0.5386136	0.9116916	0.1068231	0.0423967	0.7906632	0.8248135	0.6181975	0.0791380	0.2448555	0.4943371	0.9502009
550	1.0000000	0.3510759	0.4248470	0.3242886	0.0176923	0.5386137	0.9419875	0.3600793	0.0423967	0.7906632	0.8248134	0.6181975	0.0791379	0.2633335	0.6463294	0.9495646
600	1.0000000	0.3463653	0.3679725	0.1483483	0.0176923	0.5386137	0.9793911	0.4510618	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.2970412	0.6649277	0.9440276
650	1.0000000	0.3182355	0.2268196	0.0790608	0.0176923	0.5386138	0.9928769	0.4837473	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3175560	0.6680566	0.9358639
700	1.0000000	0.2420377	0.1006197	0.0469442	0.0176923	0.5386138	0.9972770	0.4954896	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3269466	0.6697634	0.9296169
750	1.0000000	0.1564902	0.0415860	0.0273489	0.0176923	0.5386138	0.9986968	0.4997080	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3309503	0.6712189	0.9260987
800	1.0000000	0.1087781	0.0203129	0.0165514	0.0176923	0.5386138	0.9991559	0.5012235	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3327421	0.6722980	0.9243854
850	1.0000000	0.0896356	0.0135063	0.0117316	0.0176923	0.5386138	0.9993054	0.5017679	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3336359	0.6729884	0.9235857
900	1.0000000	0.0827655	0.0114618	0.0097662	0.0176923	0.5386139	0.9993546	0.5019635	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3341247	0.6733903	0.9232007
950	1.0000000	0.0803821	0.0108627	0.0089864	0.0176923	0.5386139	0.9993710	0.5020338	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3344029	0.6736123	0.9230031
1000	1.0000000	0.0795641	0.0106866	0.0086795	0.0176923	0.5386139	0.9993765	0.5020590	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3345616	0.6737325	0.9228957

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	1.0000000	0.1154931	0.0832083	0.5207160	0.0176730	0.3769362	0.9991725	0.2190945	0.0454644	0.7906658	0.8279618	0.6672959	0.3439672	0.6623189	0.6130920	0.8653846
100	1.0000000	0.1452015	0.2961070	0.7184377	0.0190580	0.3302479	0.9958064	0.1249841	0.0721871	0.7904532	0.8354152	0.6830918	0.4256392	0.7368393	0.5183055	0.6957675
150	1.0000000	0.2321058	0.3893190	0.7947888	0.0254812	0.3162511	0.9735890	0.0979212	0.1121379	0.7890465	0.8415548	0.6915947	0.4511351	0.7274337	0.4837717	0.5531534
200	1.0000000	0.3141433	0.4205118	0.8245116	0.0374956	0.3104146	0.9356832	0.0921136	0.1458548	0.7846787	0.8456434	0.7002134	0.4601095	0.7060332	0.4858079	0.4790062
250	1.0000000	0.3609631	0.4307216	0.8368548	0.0517567	0.3054359	0.9067521	0.0917972	0.1677748	0.7767592	0.8485515	0.7089462	0.4650053	0.6939114	0.4960144	0.4459842
300	1.0000000	0.3833673	0.4341636	0.8429854	0.0647366	0.2998794	0.8864305	0.0925076	0.1806173	0.7671975	0.8507999	0.7163309	0.4692585	0.6900606	0.5037587	0.4309688
350	1.0000000	0.3932570	0.4354015	0.8465866	0.0748042	0.2942723	0.8708536	0.0933738	0.1882115	0.7583999	0.8525382	0.7217488	0.4732629	0.6897496	0.5079160	0.4229520
400	1.0000000	0.3974356	0.4358950	0.8487737	0.0819289	0.2893560	0.8588496	0.0943152	0.1931028	0.7515022	0.8538191	0.7254110	0.4767071	0.6901649	0.5097193	0.4177278
450	1.0000000	0.3991627	0.4361173	0.8500426	0.0867634	0.2854870	0.8500798	0.0952893	0.1965601	0.7464893	0.8547087	0.7278166	0.4793952	0.6903545	0.5103333	0.4139125
500	1.0000000	0.3998740	0.4362279	0.8507357	0.0900254	0.2826516	0.8440635	0.0962141	0.1991266	0.7429152	0.8552951	0.7294150	0.4813537	0.6902304	0.5104537	0.4110635
550	1.0000000	0.3688189	0.4301850	0.3642279	0.0919037	0.4259723	0.8979584	0.3955825	0.1802821	0.7409989	0.8537259	0.6877449	0.2284000	0.3630596	0.5317286	0.4654021
600	1.0000000	0.3547641	0.3846361	0.1705647	0.0879825	0.4664380	0.9632441	0.4808387	0.1266735	0.7479087	0.8492466	0.6710478	0.1509852	0.2884397	0.5846120	0.6364476
650	1.0000000	0.3289615	0.2559624	0.0910505	0.0754193	0.4800458	0.9858818	0.4997910	0.0853648	0.7633049	0.8448313	0.6568884	0.1258874	0.2875432	0.6223365	0.7886542
700	1.0000000	0.2601255	0.1202639	0.0539011	0.0591387	0.4896278	0.9934470	0.5023560	0.0635009	0.7766079	0.8405117	0.6436219	0.1144836	0.3009709	0.6360160	0.8662517
750	1.0000000	0.1708081	0.0499452	0.0313719	0.0446459	0.5002015	0.9962789	0.5023033	0.0532516	0.7841997	0.8362997	0.6334649	0.1058156	0.3113293	0.6402300	0.8974456
800	1.0000000	0.1153731	0.0232284	0.0184479	0.0341446	0.5108849	0.9975881	0.5024050	0.0484388	0.7877826	0.8326169	0.6268857	0.0980621	0.3171383	0.6441778	0.9099633
850	1.0000000	0.0921127	0.0144201	0.0125187	0.0273937	0.5200026	0.9983162	0.5027023	0.0459938	0.7893540	0.8297848	0.6230413	0.0916785	0.3206057	0.6496133	0.9159978
900	1.0000000	0.0836382	0.0117341	0.0100796	0.0233378	0.5267929	0.9987524	0.5029117	0.0446158	0.7900377	0.8278322	0.6209093	0.0870088	0.3233426	0.6555714	0.9194716
950	1.0000000	0.0806836	0.0109428	0.0091096	0.0209802	0.5313813	0.9990144	0.5029323	0.0437780	0.7903450	0.8265919	0.6197438	0.0839009	0.3258749	0.6609324	0.9215168
1000	1.0000000	0.0796675	0.0107104	0.0087278	0.0196227	0.5342856	0.9991686	0.5028121	0.0432519	0.7904913	0.8258464	0.6190991	0.0819613	0.3281707	0.6651505	0.9226045

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	1.0000000	0.2141329	0.4406074	0.5306095	0.0177059	0.3821731	0.9976709	0.5074007	0.0424028	0.7906606	0.8397943	0.8841110	0.0791567	0.3346587	0.6737761	0.9227983
100	1.0000000	0.3816398	0.6413793	0.7323651	0.0177004	0.3370320	0.9971529	0.5251093	0.0424003	0.7906452	0.8688017	0.9648229	0.0791490	0.3346983	0.6738150	0.9227842
150	1.0000000	0.4919388	0.7103112	0.8124355	0.0176972	0.3240034	0.9970128	0.5456048	0.0423988	0.7906128	0.8881392	0.9893222	0.0791445	0.3347228	0.6738387	0.9227752
200	1.0000000	0.5420059	0.7313110	0.8492705	0.0176952	0.3202438	0.9969906	0.5615209	0.0423979	0.7905767	0.8978930	0.9967587	0.0791418	0.3347379	0.6738532	0.9227695
250	1.0000000	0.5625901	0.7377680	0.8698620	0.0176940	0.3191593	0.9969994	0.5714653	0.0423974	0.7905471	0.9022621	0.9990160	0.0791402	0.3347472	0.6738620	0.9227659
300	1.0000000	0.5707211	0.7398805	0.8819156	0.0176933	0.3188467	0.9970117	0.5769049	0.0423971	0.7905269	0.9040888	0.9997011	0.0791392	0.3347528	0.6738673	0.9227637
350	1.0000000	0.5738632	0.7406476	0.8886477	0.0176929	0.3187567	0.9970210	0.5796345	0.0423969	0.7905146	0.9048174	0.9999091	0.0791386	0.3347563	0.6738705	0.9227623
400	1.0000000	0.5750627	0.7409616	0.8921882	0.0176926	0.3187309	0.9970268	0.5809262	0.0423968	0.7905077	0.9050980	0.9999723	0.0791383	0.3347584	0.6738725	0.9227615
450	1.0000000	0.5755191	0.7411033	0.8939570	0.0176925	0.3187236	0.9970300	0.5815124	0.0423967	0.7905040	0.9052033	0.9999914	0.0791381	0.3347597	0.6738737	0.9227609
500	1.0000000	0.5756937	0.7411707	0.8948059	0.0176924	0.3187215	0.9970318	0.5817703	0.0423967	0.7905022	0.9052419	0.9999972	0.0791380	0.3347604	0.6738744	0.9227606
550	1.0000000	0.4797365	0.5128238	0.4884891	0.0176923	0.4751380	0.9987398	0.5714965	0.0423967	0.7905020	0.8986796	0.7340888	0.0791379	0.3347609	0.6738748	0.9227604
600	1.0000000	0.4252615	0.4313059	0.2828235	0.0176923	0.5202904	0.9992605	0.5467773	0.0423966	0.7905104	0.8776901	0.6533751	0.0791378	0.3347612	0.6738751	0.9227603
650	1.0000000	0.3808160	0.3459541	0.1680424	0.0176923	0.5333244	0.9994053	0.5265347	0.0423966	0.7905344	0.8552648	0.6288753	0.0791378	0.3347614	0.6738752	0.9227602
700	1.0000000	0.3262959	0.2207558	0.1015532	0.0176923	0.5370870	0.9994305	0.5143294	0.0423966	0.7905679	0.8398438	0.6214386	0.0791378	0.3347615	0.6738753	0.9227602
750	1.0000000	0.2427577	0.1099665	0.0596776	0.0176923	0.5381731	0.9994215	0.5078819	0.0423966	0.7906002	0.8315047	0.6191813	0.0791378	0.3347615	0.6738754	0.9227602
800	1.0000000	0.1588753	0.0485874	0.0328872	0.0176923	0.5384866	0.9994069	0.5047204	0.0423966	0.7906252	0.8275920	0.6184961	0.0791378	0.3347616	0.6738754	0.9227602
850	1.0000000	0.1105405	0.0231983	0.0187749	0.0176923	0.5385771	0.9993953	0.5032445	0.0423966	0.7906418	0.8259124	0.6182881	0.0791378	0.3347616	0.6738754	0.9227601
900	1.0000000	0.0904191	0.0144628	0.0126033	0.0176923	0.5386033	0.9993879	0.5025796	0.0423966	0.7906518	0.8252330	0.6182250	0.0791378	0.3347616	0.6738755	0.9227601
950	1.0000000	0.0830637	0.0117533	0.0101052	0.0176923	0.5386108	0.9993837	0.5022881	0.0423966	0.7906574	0.8249694	0.6182058	0.0791378	0.3347616	0.6738755	0.9227601
1000	1.0000000	0.0804902	0.0109493	0.0091179	0.0176923	0.5386130	0.9993814	0.5021630	0.0423966	0.7906604	0.8248702	0.6182000	0.0791378	0.3347616	0.6738755	0.9227601

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	1.0000000	0.1399693	0.6455859	0.4179166	0.3458489	0.4993205	0.9972984	0.4909917	0.6589730	0.7537278	0.9275149	0.6491249	0.1039143	0.3346655	0.6731455	0.8875712
100	1.0000000	0.3105848	0.8366345	0.5760730	0.5438369	0.3981401	0.9922021	0.4795321	0.8476229	0.5755191	0.9470652	0.7231898	0.1576220	0.3335895	0.6526277	0.8733550
150	1.0000000	0.4004974	0.8939966	0.6388936	0.6568917	0.3141894	0.9886549	0.4857929	0.9055832	0.4573811	0.9291130	0.7778002	0.1925138	0.3273297	0.6162688	0.8507075
200	1.0000000	0.4372465	0.9105590	0.6684765	0.7161000	0.2632765	0.9868722	0.5060772	0.9236523	0.4081317	0.9132955	0.8071960	0.2099792	0.3154230	0.5872579	0.8222142
250	1.0000000	0.4514301	0.9154238	0.6859043	0.7455578	0.2356528	0.9861323	0.5322759	0.9294711	0.3896112	0.9049431	0.8212692	0.2181928	0.3022273	0.5713786	0.7982299
300	1.0000000	0.4567703	0.9169422	0.6966009	0.7597296	0.2213635	0.9858992	0.5571908	0.9314483	0.3829310	0.9010847	0.8276247	0.2220178	0.2917203	0.5646806	0.7826438
350	1.0000000	0.4587510	0.9174699	0.7027446	0.7663831	0.2141607	0.9858703	0.5768686	0.9321699	0.3806059	0.8993955	0.8303959	0.2238070	0.2850816	0.5625616	0.7739009
400	1.0000000	0.4594788	0.9176792	0.7060145	0.7694493	0.2105975	0.9859041	0.5905348	0.9324548	0.3798345	0.8986760	0.8315769	0.2246481	0.2815798	0.5622359	0.7693224
450	1.0000000	0.4597455	0.9177721	0.7076510	0.7708425	0.2088637	0.9859459	0.5991899	0.9325756	0.3795975	0.8983743	0.8320727	0.2250440	0.2800118	0.5624407	0.7669570
500	1.0000000	0.4598435	0.9178161	0.7084329	0.7714687	0.2080330	0.9859795	0.6043140	0.9326298	0.3795343	0.8982488	0.8322792	0.2252297	0.2794340	0.5627187	0.7657122
550	1.0000000	0.4534923	0.5463033	0.3415884	0.4893375	0.2172413	0.9861957	0.6072007	0.3347161	0.4022002	0.5135706	0.8190506	0.2234143	0.2792246	0.5611262	0.7992378
600	1.0000000	0.4258164	0.4027127	0.1956613	0.3241064	0.2516803	0.9870092	0.6049205	0.1515071	0.5261167	0.6496371	0.7725601	0.2156001	0.2787218	0.5588022	0.8075371
650	1.0000000	0.3743310	0.2698819	0.1266196	0.2072856	0.3023448	0.9884546	0.5928791	0.0941698	0.6643879	0.7889414	0.7167903	0.2014073	0.2783363	0.5604759	0.8160798
700	1.0000000	0.2911554	0.1477808	0.0811649	0.1284471	0.3595531	0.9904955	0.5734678	0.0742292	0.7391754	0.8343058	0.6741716	0.1808846	0.2792898	0.5670527	0.8304245
750	1.0000000	0.1940380	0.0699340	0.0465029	0.0806295	0.4140218	0.9928753	0.5527329	0.0648201	0.7704931	0.8418847	0.6487467	0.1560647	0.2823717	0.5784357	0.8506618
800	1.0000000	0.1276685	0.0321851	0.0252599	0.0536826	0.4582099	0.9950990	0.5353116	0.0583136	0.7824864	0.8387510	0.6352488	0.1317303	0.2877126	0.5938831	0.8735795
850	1.0000000	0.0971188	0.0175566	0.0152946	0.0388363	0.4894086	0.9967845	0.5227589	0.0531327	0.7870686	0.8342260	0.6282062	0.1122933	0.2948607	0.6113749	0.8941433
900	1.0000000	0.0854680	0.0127146	0.0111745	0.0304800	0.5093093	0.9978771	0.5145054	0.0492279	0.7889256	0.8307463	0.6243289	0.0990426	0.3028935	0.6281803	0.9088715
950	1.0000000	0.0813280	0.0112369	0.0095374	0.0255680	0.5212638	0.9985218	0.5093525	0.0465566	0.7897543	0.8284783	0.6220250	0.0908601	0.3107264	0.6422233	0.9175102
1000	1.0000000	0.0798916	0.0107984	0.0088944	0.0225669	0.5282752	0.9988865	0.5062466	0.0448656	0.7901626	0.8270755	0.6205834	0.0860417	0.3175151	0.6527694	0.9217324

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	0.6610011	0.0867801	0.0106126	0.0084800	0.0402555	0.3716543	0.9990170	0.2453537	0.4155094	0.9231966	0.8823397	0.6658195	0.0798233	0.1672066	0.6729134	0.9362930
100	0.6235997	0.1072159	0.0106204	0.0084795	0.1029508	0.3170231	0.9935316	0.1644146	0.5296333	0.9066532	0.8919763	0.7192058	0.0890640	0.1309906	0.6675562	0.9599410
150	0.6194733	0.1251311	0.0106260	0.0084881	0.1601962	0.2866167	0.9613161	0.1440732	0.5647463	0.8481084	0.8678277	0.7584701	0.1142972	0.1297931	0.6529837	0.9684041
200	0.6190180	0.1356754	0.0106290	0.0085082	0.1976554	0.2631362	0.8944870	0.1429796	0.5761185	0.8092474	0.8349746	0.7805871	0.1468226	0.1325203	0.6277387	0.9626021
250	0.6189678	0.1408105	0.0106305	0.0085349	0.2189366	0.2459950	0.8355359	0.1479792	0.5807624	0.7913991	0.8108918	0.7916279	0.1751566	0.1323180	0.5984749	0.9459903
300	0.6189622	0.1430672	0.0106315	0.0085600	0.2302208	0.2348083	0.8072379	0.1545040	0.5837025	0.7849742	0.7968373	0.7968612	0.1950969	0.1294072	0.5735897	0.9229934
350	0.6189616	0.1439995	0.0106322	0.0085786	0.2360691	0.2280980	0.8034133	0.1605965	0.5861198	0.7833213	0.7891962	0.7993557	0.2075169	0.1254268	0.5567321	0.8995959
400	0.6189616	0.1443694	0.0106327	0.0085904	0.2391592	0.2242864	0.8117640	0.1654510	0.5881046	0.7832211	0.7849190	0.8006292	0.2147202	0.1217450	0.5472090	0.8802345
450	0.6189616	0.1445121	0.0106330	0.0085971	0.2408812	0.2221824	0.8234249	0.1689298	0.5896014	0.7834416	0.7823191	0.8013556	0.2187442	0.1190139	0.5426828	0.8663152
500	0.6189616	0.1445660	0.0106332	0.0086006	0.2419049	0.2210259	0.8340019	0.1712371	0.5906385	0.7836339	0.7806156	0.8018130	0.2209696	0.1172920	0.5409496	0.8571911
550	0.9579605	0.1310998	0.0106287	0.0086256	0.2283040	0.3390078	0.9020670	0.4234854	0.2285565	0.5347158	0.7097569	0.7716359	0.2137303	0.2507331	0.5423084	0.8434423
600	0.9953618	0.1069943	0.0106204	0.0086380	0.1815730	0.3780787	0.9601176	0.4997540	0.1168208	0.6042065	0.7932754	0.7277066	0.1921729	0.2718492	0.5505668	0.8330242
650	0.9994883	0.0918133	0.0106152	0.0085945	0.1272387	0.4055410	0.9819152	0.5176698	0.0797015	0.7011989	0.8347596	0.6850265	0.1698112	0.2760568	0.5650369	0.8427806
700	0.9999435	0.0844651	0.0106125	0.0085465	0.0845448	0.4357718	0.9903638	0.5187169	0.0648960	0.7538155	0.8433475	0.6554987	0.1485985	0.2811200	0.5812590	0.8622212
750	0.9999938	0.0812746	0.0106110	0.0085152	0.0568683	0.4659147	0.9942843	0.5156175	0.0571898	0.7761026	0.8405325	0.6385055	0.1286469	0.2881852	0.5975172	0.8821636
800	0.9999993	0.0799691	0.0106102	0.0084981	0.0405072	0.4909821	0.9964427	0.5120835	0.0522055	0.7848055	0.8356208	0.6294674	0.1117891	0.2961041	0.6136876	0.8987405
850	0.9999999	0.0794548	0.0106097	0.0084895	0.0311374	0.5090017	0.9977038	0.5091004	0.0487258	0.7881699	0.8315939	0.6246901	0.0993963	0.3040368	0.6289905	0.9105834
900	1.0000000	0.0792574	0.0106094	0.0084853	0.0257439	0.5207333	0.9984319	0.5068139	0.0463469	0.7895160	0.8289051	0.6220651	0.0912583	0.3114129	0.6421676	0.9178490
950	1.0000000	0.0791831	0.0106093	0.0084833	0.0225709	0.5279372	0.9988427	0.5051539	0.0447984	0.7900919	0.8272563	0.6205456	0.0862828	0.3177855	0.6524437	0.9216476
1000	1.0000000	0.0791556	0.0106092	0.0084824	0.0206631	0.5322407	0.9990722	0.5040081	0.0438333	0.7903596	0.8262757	0.6196307	0.0833461	0.3228998	0.6598346	0.9232814

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177152	0.5385636	0.9993771	0.5020880	0.0424069	0.7906615	0.8248248	0.6182082	0.0791696	0.3345951	0.6737128	0.9228205
50	1.0000000	0.0877399	0.2395594	0.0084820	0.0130697	0.5391480	0.9639925	0.5023592	0.0424015	0.7906606	0.8397943	0.8841107	0.0788293	0.4918313	0.8571881	0.9091674
100	1.0000000	0.1454426	0.2988493	0.0084984	0.0111739	0.5407041	0.9531142	0.5031187	0.0423825	0.7906453	0.8688017	0.9648226	0.0779254	0.5566548	0.8802958	0.8829807
150	1.0000000	0.2078635	0.3142036	0.0086806	0.0103980	0.5421495	0.9497924	0.5037795	0.0423404	0.7906135	0.8881392	0.9893219	0.0770882	0.5823195	0.8846892	0.8664434
200	1.0000000	0.2450332	0.3181817	0.0095060	0.0100762	0.5430975	0.9487868	0.5041337	0.0422873	0.7905789	0.8978930	0.9967583	0.0765394	0.5919555	0.8867400	0.8588553
250	1.0000000	0.2628021	0.3192190	0.0112193	0.0099378	0.5436262	0.9484861	0.5042577	0.0422385	0.7905516	0.9022620	0.9990156	0.0762325	0.5955417	0.8880752	0.8558164
300	1.0000000	0.2704244	0.3195042	0.0132746	0.0098741	0.5438968	0.9483979	0.5042694	0.0422015	0.7905339	0.9040887	0.9997008	0.0760747	0.5969244	0.8889038	0.8546852
350	1.0000000	0.2734935	0.3196039	0.0150107	0.0098420	0.5440296	0.9483727	0.5042443	0.0421766	0.7905240	0.9048174	0.9999088	0.0759969	0.5974960	0.8893777	0.8542799
