G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.5000000	0.1794752	0.0106451	0.0087239	0.0235198	0.5430117	0.9978610	0.4974074	0.0425913	0.6053190	0.7620481	0.6181032	0.0820952	0.4521850	0.6828819	0.8462210
1.0000000	0.0395720	0.0106089	0.0084625	0.0176925	0.5386134	0.9993793	0.5020733	0.0423967	0.7906632	0.8248135	0.6181976	0.0791381	0.3347597	0.6738737	0.9227609
1.0000000	0.0790866	0.0053050	0.0084817	0.0176929	0.5386125	0.9993793	0.5020736	0.0423969	0.7906632	0.8248137	0.6181978	0.0791386	0.3347563	0.6738705	0.9227623
1.0000000	0.0791392	0.0105697	0.0042429	0.0176926	0.5386130	0.9993793	0.5020734	0.0423968	0.7906632	0.8248136	0.6181977	0.0791383	0.3347584	0.6738725	0.9227615
1.0000000	0.0791398	0.0106092	0.0084817	0.0087878	0.5448253	0.9996366	0.5044796	0.0421196	0.7906757	0.8247898	0.6181208	0.0755624	0.3364574	0.6784108	0.9234203
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.2693072	0.9995303	0.6123844	0.0423967	0.7906632	0.8248134	0.6181975	0.0791379	0.3347609	0.6738748	0.9227604
1.0000000	0.0791398	0.0106092	0.0084817	0.0176926	0.5386129	0.4997312	0.5020735	0.0423968	0.7906632	0.8248136	0.6181977	0.0791383	0.3347584	0.6738725	0.9227615
1.0000000	0.0791398	0.0106092	0.0084817	0.0176924	0.5386136	0.9925985	0.2510456	0.0423967	0.7906632	0.8248135	0.6181975	0.0791380	0.3347604	0.6738744	0.9227606
1.0000000	0.0791398	0.0106092	0.0084817	0.0079816	0.5453596	0.9996562	0.5047099	0.0210483	0.7912984	0.8226506	0.6122417	0.0752801	0.3366301	0.6787985	0.9234486
1.0000000	0.0791398	0.0106092	0.0084817	0.0176926	0.5386130	0.9993793	0.5020734	0.0423968	0.3953523	0.8248088	0.6181836	0.0791383	0.3347584	0.6738725	0.9227615
1.0000000	0.0791398	0.0106092	0.0084817	0.0176924	0.5386136	0.9993793	0.5020733	0.0423967	0.7912339	0.4124119	0.6181975	0.0791380	0.3347604	0.6738744	0.9227606
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.9993793	0.5020732	0.0423966	0.7910102	0.6124127	0.3090989	0.0791378	0.3347612	0.6738751	0.9227603
1.0000000	0.0791398	0.0106092	0.0084817	0.0166654	0.5393331	0.9994113	0.5023350	0.0401990	0.7907650	0.8245856	0.6175500	0.0393517	0.3546372	0.7295829	0.9250744
1.0000000	0.0791398	0.0106092	0.0084817	0.0176925	0.5386134	0.9993793	0.5020733	0.0423967	0.7906632	0.8248135	0.6181976	0.0791381	0.1651945	0.6623240	0.9712194
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.9993793	0.5020732	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.1332684	0.3303770	0.9777933
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386137	0.9993793	0.5020732	0.0423967	0.7906632	0.8248134	0.6181975	0.0791379	0.3767491	0.8073624	0.4549453
