G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
1.0000000	0.2037168	0.3094971	0.1144556	0.0384665	0.2353665	0.9346083	0.4589575	0.1033136	0.7217465	0.8915116	0.7960462	0.0160586	0.7839037	0.8065952	0.8319518
0.6819365	0.1521693	0.1300459	0.0002232	0.0014680	0.9206775	0.9999995	0.4542327	0.0021906	0.8597465	0.8836830	0.9703883	0.0724325	0.1838688	0.6848183	0.9639334
0.5810410	0.2276893	0.1917955	0.0011611	0.0049406	0.9973985	0.9888886	0.2190270	0.0120100	0.2719436	0.9072591	0.7561040	0.1489022	0.1934803	0.4770759	0.9125021
0.8235992	0.0718918	0.0429924	0.1005277	0.5038898	0.1912398	0.9510348	0.6067411	0.3509059	0.5138239	0.7472950	0.9044885	0.7377325	0.2562427	0.2921812	0.3474715
1.0000000	0.0855113	0.0000000	0.0000291	0.0413213	0.7143996	0.9996590	0.4615600	0.0000758	0.5008473	0.8474591	0.5924974	0.0175615	0.1052941	0.4426827	0.8906083
1.0000000	0.2058048	0.0000012	0.0021916	0.0061232	0.8254093	0.7306510	0.0905898	0.0453985	0.7402838	0.8386348	0.6036411	0.2631879	0.2336309	0.5057955	0.7633915
1.0000000	0.1474019	0.2988625	0.2316551	0.6196643	0.1000432	0.9916467	0.2665927	0.5274550	0.3290947	0.8008843	0.7758579	0.5635910	0.3833537	0.6186926	0.2131243
0.5262018	0.4180049	0.1885192	0.0698008	0.3606853	0.1476450	0.5507243	0.6168907	0.2279585	0.6398486	0.8806358	0.8513499	0.3916419	0.1790627	0.4578731	0.5878915
0.9225396	0.4941419	0.0618664	0.1215892	0.0317711	0.6340564	0.9957019	0.1340522	0.2184277	0.6761643	0.7333058	0.6614962	0.0236192	0.3601660	0.5105119	0.9208779
0.8423183	0.1129480	0.0000000	0.0000800	0.6413878	0.2837190	0.4349755	0.5329248	0.3614075	0.3367262	0.8612767	0.7051404	0.5239790	0.1416794	0.5716421	0.1622812
1.0000000	0.6060577	0.3883904	0.4615665	0.0036818	0.6782943	0.9995567	0.2555236	0.0109867	0.7975734	0.7170597	0.5943973	0.1428387	0.0162965	0.6339397	0.9501493
0.5092630	0.2817705	0.1540100	0.0025191	0.0624160	0.2449221	0.9998698	0.6067221	0.3864636	0.1064491	0.7516824	0.6603831	0.0324656	0.6953494	0.7228409	0.7833363
0.9931814	0.2813301	0.1574398	0.0099889	0.1398923	0.5199910	0.9986300	0.3960261	0.0017534	0.7447438	0.7502740	0.6956960	0.0658667	0.1060609	0.4424107	0.9636089
1.0000000	0.0907679	0.2690522	0.2854225	0.3455907	0.3130820	0.7772884	0.4166579	0.1664392	0.8888057	0.7931287	0.6721530	0.3361608	0.5383722	0.6400319	0.2947345
1.0000000	0.7188027	0.4039830	0.5065502	0.0145844	0.6063723	0.9170530	0.3239050	0.0406972	0.6969672	0.7200874	0.6022454	0.2345999	0.2683661	0.3413098	0.6302956
0.9098221	0.2945781	0.0000894	0.0104337	0.2366936	0.5040943	0.5070336	0.3507189	0.2711024	0.2844831	0.8650221	0.6782578	0.2319552	0.0717427	0.2807474	0.8393298
