"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177326	0.5385093	0.9993758	0.5020997	0.0424171	0.7906605	0.8248343	0.6182146	0.0792098	0.3345414	0.6736147	0.9228793
50	0.7021088	0.0830625	0.0106112	0.0084808	0.0177622	0.5386873	0.9993305	0.5020369	0.0424082	0.7499938	0.8235770	0.6182071	0.0791923	0.3395047	0.6852086	0.6450478
100	0.4740980	0.1087495	0.0106213	0.0084782	0.0185668	0.5402545	0.9990326	0.5017395	0.0423965	0.6620827	0.8121417	0.6181873	0.0792475	0.3804555	0.7406580	0.3608286
150	0.3854457	0.1507564	0.0106338	0.0084830	0.0224550	0.5448432	0.9985181	0.5009338	0.0423769	0.5732293	0.7844039	0.6180560	0.0795689	0.4621668	0.7984182	0.2092280
200	0.3550044	0.1890540	0.0106427	0.0085116	0.0301548	0.5506554	0.9978290	0.4988791	0.0423655	0.5137739	0.7491216	0.6176307	0.0807552	0.5407092	0.8295580	0.1360012
250	0.3449234	0.2147710	0.0106480	0.0085776	0.0386637	0.5540314	0.9968964	0.4953018	0.0424025	0.4822741	0.7184578	0.6169385	0.0833177	0.5908684	0.8407735	0.1004486
300	0.3416238	0.2292319	0.0106517	0.0086727	0.0453278	0.5539628	0.9958103	0.4910339	0.0425262	0.4677222	0.6972066	0.6162417	0.0869679	0.6161369	0.8421086	0.0829425
350	0.3405480	0.2365018	0.0106549	0.0087709	0.0496029	0.5517993	0.9947866	0.4872096	0.0427455	0.4615586	0.6843821	0.6157404	0.0908452	0.6268650	0.8391090	0.0743210
400	0.3401978	0.2398899	0.0106579	0.0088512	0.0520514	0.5491361	0.9939791	0.4844455	0.0430316	0.4590960	0.6773005	0.6154681	0.0942018	0.6305447	0.8346511	0.0701165
450	0.3400838	0.2413858	0.0106605	0.0089069	0.0533813	0.5468651	0.9934207	0.4827616	0.0433353	0.4581504	0.6736197	0.6153672	0.0967201	0.6312003	0.8302947	0.0680971
500	0.3400467	0.2420201	0.0106625	0.0089413	0.0541023	0.5452355	0.9930686	0.4818770	0.0436121	0.4577959	0.6717906	0.6153660	0.0984307	0.6307444	0.8267531	0.0671484
550	0.6379258	0.2305976	0.0106606	0.0090615	0.0490127	0.5398826	0.9933025	0.4818268	0.0438631	0.5037175	0.6848172	0.6161088	0.0993066	0.5913589	0.8249226	0.3062694
600	0.8659326	0.1848177	0.0106495	0.0094150	0.0366608	0.5306411	0.9950737	0.4847970	0.0440726	0.6048433	0.7289885	0.6174333	0.0976490	0.4900990	0.8040419	0.5732428
650	0.9545837	0.1387132	0.0106390	0.0093918	0.0276928	0.5276359	0.9969292	0.4902691	0.0440907	0.6936886	0.7697507	0.6181939	0.0934353	0.4208996	0.7596530	0.7351563
700	0.9850246	0.1087787	0.0106306	0.0090911	0.0227926	0.5292341	0.9981297	0.4954571	0.0438849	0.7463222	0.7960685	0.6185109	0.0888139	0.3830971	0.7204491	0.8229981
750	0.9951055	0.0927687	0.0106233	0.0088174	0.0203644	0.5320638	0.9987735	0.4989933	0.0435542	0.7720014	0.8106896	0.6185922	0.0851363	0.3615309	0.6965467	0.8693959
800	0.9984050	0.0850784	0.0106176	0.0086483	0.0191767	0.5344852	0.9990900	0.5009232	0.0432155	0.7832256	0.8181752	0.6185611	0.0826632	0.3489630	0.6843663	0.8940170
850	0.9994808	0.0816283	0.0106138	0.0085596	0.0185677	0.5361377	0.9992396	0.5017923	0.0429364	0.7878051	0.8218116	0.6184869	0.0811549	0.3419474	0.6786678	0.9072721
900	0.9998310	0.0801521	0.0106116	0.0085168	0.0182296	0.5371539	0.9993096	0.5021046	0.0427349	0.7895902	0.8235099	0.6184073	0.0802844	0.3382658	0.6760705	0.9144708
950	0.9999450	0.0795421	0.0106103	0.0084972	0.0180274	0.5377511	0.9993429	0.5021766	0.0426014	0.7902651	0.8242757	0.6183398	0.0797946	0.3364288	0.6748732	0.9183708
1000	0.9999821	0.0792967	0.0106097	0.0084884	0.0179012	0.5380984	0.9993593	0.5021664	0.0425180	0.7905155	0.8246080	0.6182894	0.0795197	0.3355395	0.6743092	0.9204614

0	1.0000000	0.0791398	0.0106092	0.0084817	0.0177326	0.5385093	0.9993758	0.5020997	0.0424171	0.7906605	0.8248343	0.6182146	0.0792098	0.3345414	0.6736147	0.9228793
50	1.0000000	0.0791473	0.0253597	0.2399923	0.0177162	0.5385512	0.9993327	0.3874222	0.0424089	0.7906616	0.8248272	0.6182077	0.0791810	0.3291231	0.5900240	0.9229193
100	1.0000000	0.0826748	0.1628594	0.5023289	0.0177065	0.5385764	0.9985387	0.2528504	0.0424040	0.7906622	0.8248222	0.6182036	0.0791636	0.3046378	0.5300185	0.9244874
