G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.3773363	0.0106667	0.0084619	0.0000000	0.9893530	0.9982087	0.4493119	0.0396824	0.4533038	0.0988298	0.0278503	0.0732541	0.5279604	0.1796883	0.7178069
0.0000000	0.3773365	0.0106667	0.0084619	0.4130173	0.7289973	0.9299206	0.3135799	0.0000000	0.4533105	0.0988243	0.0154472	0.3801228	0.5122936	0.1333053	0.4215338
0.0000000	0.3773363	0.0106667	0.0084619	0.4289862	0.7226573	0.9280064	0.3102777	0.0396824	0.4533038	0.0988298	0.0278502	0.0000001	0.5446380	0.2152276	0.7157689
0.0000000	0.0000000	0.0106667	0.0084619	0.4289876	0.7226436	0.9280060	0.3102853	0.0396824	0.4533038	0.0988243	0.0278502	0.3909006	0.5120188	0.1322415	0.4102654
0.0000000	0.3772370	0.0000000	0.0084619	0.4289876	0.7226436	0.9280060	0.3102853	0.0396824	0.4533038	0.0988243	0.0278502	0.3909006	0.5120188	0.1322415	0.4102654
0.0000000	0.3773340	0.0105626	0.0000000	0.4289876	0.7226436	0.9280060	0.3102853	0.0396824	0.4533038	0.0988243	0.0278502	0.3909006	0.5120188	0.1322415	0.4102654
0.0000000	0.3773365	0.0106667	0.0084619	0.4289876	0.0000001	0.9466819	0.7790240	0.0396824	0.4533038	0.0988243	0.0278502	0.3909006	0.5120188	0.1322415	0.4102654
0.0000000	0.3773365	0.0106667	0.0084619	0.4289876	0.2981712	0.0000000	0.4226242	0.0396824	0.4533038	0.0988243	0.0278502	0.3909006	0.5120188	0.1322415	0.4102654
0.0000000	0.3773365	0.0106667	0.0084619	0.4289876	0.4818297	0.1703406	0.0000000	0.0396824	0.4533038	0.0988243	0.0278502	0.3909006	0.5120188	0.1322415	0.4102654
0.0000000	0.3773365	0.0106667	0.0084619	0.4289876	0.7226436	0.9280060	0.3102853	0.0396824	0.0000000	0.0988242	0.0278501	0.3909006	0.5120188	0.1322415	0.4102654
0.0000000	0.3773365	0.0106667	0.0084619	0.4289876	0.7226436	0.9280060	0.3102853	0.0396824	0.4533105	0.0000007	0.0278502	0.3909006	0.5120188	0.1322415	0.4102654
0.0000000	0.3773365	0.0106667	0.0084619	0.4289876	0.7226436	0.9280060	0.3102853	0.0396824	0.4533038	0.0988227	0.0000000	0.3909006	0.5120188	0.1322415	0.4102654
0.0000000	0.3773365	0.0106667	0.0084619	0.4289876	0.7226436	0.9280060	0.3102853	0.0396824	0.4533038	0.0988243	0.0278502	0.3909006	0.0000000	0.1092283	0.6112132
0.0000000	0.3773365	0.0106667	0.0084619	0.4289876	0.7226436	0.9280060	0.3102853	0.0396824	0.4533038	0.0988243	0.0278502	0.3909006	0.4994819	0.0000000	0.4156045
0.0000000	0.3773359	0.0106667	0.0084619	0.4289835	0.7226854	0.9280131	0.3102653	0.0396824	0.4533039	0.0988428	0.0278507	0.3908105	0.5178103	0.1522023	0.0000011
1.0000000	0.0791398	0.0106092	0.0084817	0.0000002	0.0000027	0.9999927	0.9998853	0.0419422	0.7906851	0.8247672	0.6180632	0.0732548	0.3377140	0.6814991	0.9237331
