G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.3773365	0.0106667	0.0084619	0.4289876	0.7226436	0.9280060	0.3102853	0.0396824	0.4533038	0.0988243	0.0278502	0.3909006	0.5120188	0.1322415	0.4102654
1.0000000	0.0000043	0.0106089	0.0084619	0.0176924	0.5386135	0.9993793	0.5020733	0.0423967	0.7906632	0.8248135	0.6181975	0.0791380	0.3347607	0.6738744	0.9227608
1.0000000	0.0790756	0.0000021	0.0084816	0.0176929	0.5386122	0.9993793	0.5020736	0.0423970	0.7906632	0.8248138	0.6181978	0.0791389	0.3347573	0.6738706	0.9227630
1.0000000	0.0791390	0.0105626	0.0000059	0.0176927	0.5386128	0.9993793	0.5020735	0.0423968	0.7906632	0.8248137	0.6181976	0.0791385	0.3347590	0.6738725	0.9227619
1.0000000	0.0791398	0.0106092	0.0084817	0.0000035	0.5499194	0.9997898	0.5071354	0.0419487	0.7906840	0.8247752	0.6180701	0.0732640	0.3376317	0.6814240	0.9237943
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.0000027	0.9996134	0.9898899	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3347614	0.6738752	0.9227603
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5376881	0.0000045	0.5022796	0.0423967	0.7906632	0.8248134	0.6181975	0.0791379	0.3347610	0.6738748	0.9227605
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.8934694	0.0000027	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3347614	0.6738752	0.9227603
1.0000000	0.0791398	0.0106092	0.0084817	0.0002047	0.5498437	0.9997889	0.5070803	0.0000005	0.7914026	0.8210688	0.6079468	0.0732808	0.3376266	0.6814028	0.9237818
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386139	0.9993793	0.5020732	0.0423966	0.0000000	0.1180632	0.0289045	0.0791378	0.3347616	0.6738755	0.9227601
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.9993793	0.5020732	0.0423966	0.7914026	0.0000039	0.6181975	0.0791378	0.3347615	0.6738754	0.9227602
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.9993793	0.5020732	0.0423966	0.7913946	0.0988737	0.0000001	0.0791378	0.3347615	0.6738753	0.9227602
1.0000000	0.0791398	0.0106092	0.0084817	0.0164181	0.5395120	0.9994196	0.5023975	0.0396827	0.7907881	0.8245310	0.6173956	0.0000060	0.3724732	0.7897984	0.9211594
1.0000000	0.0791398	0.0106092	0.0084817	0.0176924	0.5386135	0.9993793	0.5020733	0.0423967	0.7906632	0.8248135	0.6181975	0.0791380	0.0000013	0.6580153	0.9896175
1.0000000	0.0791398	0.0106092	0.0084817	0.0176924	0.5386135	0.9993793	0.5020733	0.0423967	0.7906632	0.8248135	0.6181975	0.0791380	0.0248599	0.0000012	0.9892722
1.0000000	0.0791398	0.0106092	0.0084817	0.0176923	0.5386138	0.9993793	0.5020732	0.0423966	0.7906632	0.8248134	0.6181975	0.0791378	0.3908947	0.8685240	0.0000068
