G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
1.0000000	0.2036647	0.3094790	0.1144465	0.0384640	0.2353760	0.9346081	0.4589138	0.1033129	0.7217474	0.8915064	0.7960458	0.0160414	0.7839227	0.8066459	0.8319466
0.6819366	0.1521654	0.1300459	0.0002228	0.0014723	0.9206589	0.9999995	0.4542324	0.0021936	0.8597469	0.8836780	0.9703883	0.0724410	0.1838614	0.6847957	0.9639362
0.5810412	0.2276813	0.1917955	0.0011579	0.0049378	0.9974018	0.9888997	0.2190365	0.0120088	0.2719451	0.9072600	0.7561037	0.1488990	0.1934814	0.4770796	0.9125014
0.8235992	0.0718912	0.0429921	0.1005277	0.5037414	0.1913862	0.9510368	0.6063331	0.3507971	0.5138850	0.7475310	0.9044673	0.7376848	0.2562511	0.2921909	0.3475082
1.0000000	0.0855113	0.0000000	0.0000291	0.0413235	0.7143816	0.9996590	0.4615658	0.0000766	0.5008474	0.8474642	0.5924977	0.0175767	0.1052800	0.4426523	0.8906136
1.0000000	0.2058047	0.0000012	0.0021915	0.0061161	0.8254302	0.7306621	0.0905880	0.0453865	0.7402852	0.8386122	0.6036335	0.2631778	0.2336233	0.5057849	0.7634519
1.0000000	0.1473874	0.2988585	0.2316540	0.6196245	0.1000691	0.9916062	0.2664828	0.5274323	0.3290588	0.8010318	0.7758446	0.5635804	0.3833586	0.6186933	0.2131497
0.5262018	0.4179591	0.1884973	0.0697823	0.3605407	0.1477130	0.5507322	0.6167932	0.2277810	0.6400044	0.8806504	0.8513151	0.3914540	0.1790668	0.4578554	0.5883398
0.9225396	0.4941272	0.0618259	0.1215651	0.0317711	0.6340564	0.9957019	0.1340522	0.2184277	0.6761643	0.7333058	0.6614962	0.0236192	0.3601663	0.5105122	0.9208772
0.8423183	0.1129479	0.0000000	0.0000800	0.6412561	0.2838677	0.4349752	0.5326574	0.3613031	0.3368238	0.8613922	0.7050757	0.5239272	0.1416931	0.5716561	0.1623958
1.0000000	0.6059249	0.3882650	0.4612907	0.0036818	0.6782943	0.9995567	0.2555236	0.0109867	0.7975734	0.7170597	0.5943973	0.1428387	0.0162965	0.6339397	0.9501493
0.5092630	0.2817693	0.1540100	0.0025179	0.0624135	0.2449325	0.9998697	0.6066866	0.3864617	0.1064388	0.7517127	0.6603350	0.0324407	0.6953905	0.7229284	0.7832975
0.9931814	0.2813277	0.1574394	0.0099836	0.1398896	0.5199988	0.9986294	0.3960152	0.0017511	0.7447438	0.7502732	0.6956953	0.0658605	0.1060744	0.4424287	0.9635962
1.0000000	0.0907504	0.2690498	0.2854221	0.3454585	0.3132848	0.7772830	0.4163987	0.1663435	0.8888534	0.7930399	0.6720970	0.3360856	0.5383909	0.6400442	0.2949509
1.0000000	0.7186606	0.4038393	0.5061539	0.0145844	0.6063723	0.9170530	0.3239050	0.0406972	0.6969672	0.7200874	0.6022454	0.2345999	0.2683661	0.3413098	0.6302956
0.9098221	0.2945779	0.0000892	0.0104319	0.2365454	0.5043791	0.5070308	0.3505664	0.2709752	0.2845944	0.8650077	0.6781888	0.2317711	0.0717347	0.2807177	0.8400686
