"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15

0	0.9433940	0.0484803	0.0170429	0.0056672	0.0124992	0.4486282	0.6677320	0.3349232	0.0469246	0.6988784	0.6069465	0.4927955	0.0488746	0.2323206	0.4481348	0.6548931
50	0.5290108	0.0314534	0.0025333	0.0095681	0.0019369	0.4120056	0.6821162	0.3735880	0.0418645	0.4689076	0.6660363	0.5192334	0.1059413	0.3041265	0.5270530	0.4301454
100	0.4539083	0.0514394	0.0070585	0.0029013	0.0217539	0.3370629	0.7053762	0.4140336	0.0729330	0.4874253	0.6081414	0.3058325	0.0831532	0.2540904	0.4673888	0.3383087
150	0.3325352	0.0534426	0.0039857	0.0046014	0.0100877	0.3804509	0.6730896	0.4698930	0.0407159	0.5476374	0.5424085	0.3811301	0.0552988	0.2927092	0.5645641	0.1742770
200	0.2918386	0.1564217	0.0212132	0.0107627	0.0128758	0.3044791	0.6939576	0.3887447	0.0155368	0.4672427	0.5020803	0.4666843	0.0703280	0.4257415	0.6451669	0.1041761
250	0.2585052	0.0890465	0.0158467	0.0076366	0.0424889	0.3557088	0.7591900	0.3951703	0.0513667	0.3079998	0.5682138	0.3193433	0.0827323	0.4902680	0.6940695	0.0791035
300	0.3197475	0.1431542	0.0170907	0.0097310	0.0249187	0.4798410	0.6955337	0.3825973	0.0285216	0.3938595	0.5146296	0.5064403	0.0845475	0.4194067	0.5620940	0.0555130
350	0.2072031	0.1557624	0.0103576	0.0031091	0.0483383	0.4353316	0.7541464	0.3932052	0.0166437	0.3417669	0.5384308	0.4696707	0.0707870	0.3637170	0.5676149	0.0512886
400	0.2609720	0.1556098	0.0059973	0.0060351	0.0445386	0.3984037	0.6852906	0.3743108	0.0245391	0.3042096	0.5958310	0.4851056	0.0799566	0.4282963	0.6768497	0.0562653
450	0.2146564	0.1594534	0.0055362	0.0316657	0.0236256	0.3308727	0.7439067	0.3948016	0.0076284	0.2971319	0.5604653	0.4203264	0.0993891	0.4704066	0.7259190	0.0499228
500	0.3132463	0.1914869	0.0138010	0.0053667	0.0283386	0.3681658	0.7085765	0.2903679	0.0546346	0.2984531	0.4908394	0.4916765	0.1023837	0.4765164	0.6833551	0.0369542
