G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.2917178	0.0250012	0.0021330	0.0000000	0.7299852	0.7400496	0.3348888	0.0186447	0.2906371	0.0744819	0.0190554	0.0423063	0.3834740	0.1121231	0.5062153
0.0000000	0.2381500	0.0102696	0.0096021	0.3237516	0.5556071	0.7290105	0.2489394	0.0000000	0.3651254	0.0742228	0.0067824	0.3429967	0.4646667	0.1225832	0.3360867
0.0000000	0.2749398	0.0234731	0.0085010	0.3051638	0.5864775	0.6770020	0.3138738	0.0423518	0.3780861	0.0512255	0.0098314	0.0000000	0.3910383	0.1709525	0.5795724
0.0000000	0.0000000	0.0086347	0.0058203	0.3182963	0.5275917	0.8007722	0.2001842	0.0263457	0.3319544	0.0571049	0.0348884	0.2210105	0.4240838	0.0945594	0.2703168
0.0000000	0.2675655	0.0000000	0.0132464	0.3079008	0.4699970	0.6472799	0.2446322	0.0241826	0.3246735	0.0916019	0.0487720	0.2769736	0.4050717	0.1099040	0.3475274
0.0000000	0.2080160	0.0072349	0.0000000	0.5039575	0.5620061	0.8510186	0.2765011	0.0283284	0.3235905	0.0997956	0.0255359	0.3010789	0.3059445	0.0714279	0.2949789
0.0000000	0.2975924	0.0045522	0.0077960	0.3285168	0.0000000	0.6127126	0.5733222	0.0177771	0.3472771	0.1036422	0.0175369	0.2780777	0.4095752	0.1030119	0.2320564
0.0000000	0.2928233	0.0177887	0.0115409	0.3290809	0.1860199	0.0000000	0.3192122	0.0637995	0.2728267	0.0594736	0.0327267	0.3173730	0.3090150	0.0811178	0.2412240
0.0000000	0.3404189	0.0084664	0.0047254	0.3646815	0.2736586	0.1160356	0.0000000	0.0203998	0.2446845	0.0596601	0.0276893	0.2393203	0.4624922	0.1087966	0.3028055
0.0000000	0.3448593	0.0020850	0.0132208	0.2912507	0.5082606	0.5436139	0.2138135	0.0181918	0.0000000	0.0282359	0.0034707	0.3448219	0.3095690	0.0544083	0.2625663
0.0000000	0.2334341	0.0035021	0.0119392	0.3005181	0.5817111	0.6342291	0.1860603	0.0252302	0.2976647	0.0000000	0.0114031	0.2551302	0.4378520	0.0860867	0.3011070
0.0000000	0.2440353	0.0074371	0.0346843	0.3637139	0.6381456	0.7310923	0.2107432	0.0174514	0.2045717	0.0855684	0.0000000	0.3522486	0.3678533	0.1271174	0.2325236
0.0000000	0.3059149	0.0084857	0.0070786	0.3377648	0.5767554	0.6183887	0.2052689	0.0205392	0.3593149	0.0671553	0.0226505	0.1966495	0.0000000	0.0853571	0.3311134
0.0000000	0.3176326	0.0080385	0.0059193	0.2650328	0.5766459	0.7340106	0.2891666	0.0349738	0.2909842	0.1004877	0.0256269	0.2561239	0.3066775	0.0000000	0.4541662
0.0000000	0.2250269	0.0208892	0.0132448	0.3496306	0.4586960	0.7379088	0.2058181	0.0171932	0.3756863	0.0906431	0.0288294	0.2915434	0.3464980	0.1263657	0.0000000
0.7920784	0.0562487	0.0132490	0.0037293	0.0000000	0.0000000	0.6465586	0.6942176	0.0387339	0.4821045	0.6188168	0.3674400	0.0771884	0.2717639	0.4523796	0.7109078
