G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.3277890	0.1211125	0.0052015	0.0167796	0.0053606	0.3125985	0.7833320	0.4269924	0.0259719	0.4588920	0.5650390	0.3511389	0.0764721	0.2426429	0.4520202	0.6889980
0.5296883	0.0165041	0.0077229	0.0106300	0.0279275	0.3377629	0.6513600	0.4510612	0.0151603	0.4320572	0.5822750	0.5276935	0.0245554	0.2760604	0.5576084	0.7063444
0.6406184	0.0545272	0.0013572	0.0150830	0.0143819	0.4518151	0.6031103	0.3827562	0.0232153	0.5437066	0.6309903	0.4125753	0.0688291	0.2109517	0.5056372	0.6517487
0.8883969	0.0920644	0.0095187	0.0058546	0.0286506	0.4618877	0.8372789	0.3474056	0.0288590	0.4608330	0.7275125	0.4283600	0.0288767	0.1641167	0.4171936	0.7689417
0.7871463	0.0494536	0.0088327	0.0066835	0.0149441	0.4631827	0.6385446	0.3538721	0.0603747	0.5925778	0.6283262	0.5327964	0.0996081	0.2346787	0.5721283	0.8526173
0.7231953	0.0648841	0.0229648	0.0100978	0.0607269	0.1631254	0.6452422	0.4504483	0.0278975	0.5596703	0.6449772	0.5134197	0.0853645	0.3525456	0.4678642	0.6807607
0.6766668	0.0385319	0.0126477	0.0183503	0.0113927	0.4690868	0.3560306	0.3288610	0.0312372	0.6325754	0.5826096	0.4252715	0.0676005	0.1655184	0.4623206	0.6116010
0.8215577	0.0605714	0.0099487	0.0121377	0.0169260	0.4033535	0.7217525	0.1545018	0.0499757	0.5888759	0.5683371	0.4091017	0.0539993	0.3040372	0.5531560	0.5449911
0.6833331	0.0422345	0.0076456	0.0078113	0.0184480	0.3976551	0.6329766	0.3760159	0.0177604	0.5413327	0.6480656	0.4732419	0.0674297	0.2603051	0.5322590	0.7160674
0.6833300	0.0609641	0.0176920	0.0156099	0.0124958	0.4523429	0.7338398	0.2827309	0.0315613	0.2998830	0.7084845	0.4058881	0.0877753	0.1978081	0.3855971	0.6315322
0.7429998	0.0536837	0.0100741	0.0019852	0.0115909	0.4473932	0.9864845	0.3582741	0.0255769	0.6175442	0.3291500	0.4597910	0.0361937	0.2409048	0.5390259	0.6447814
0.6067655	0.0630694	0.0026101	0.0086411	0.0098575	0.3200960	0.6308911	0.3566972	0.0936604	0.4891012	0.4885651	0.2391034	0.0412849	0.2461046	0.5758237	0.6747795
0.8254780	0.0705547	0.0037484	0.0235226	0.0293830	0.4535177	0.7300496	0.4392634	0.0308577	0.5512763	0.6979708	0.3933410	0.0467796	0.2385178	0.4515830	0.6994410
0.7580437	0.0394487	0.0132422	0.0012056	0.0227595	0.3352232	0.7255062	0.3861274	0.0529020	0.5332970	0.5935145	0.4760670	0.0524650	0.1199378	0.5481334	0.7005886
0.8865501	0.0460918	0.0046776	0.0016026	0.0184952	0.3900149	0.7474729	0.2785579	0.0481444	0.5353435	0.5525151	0.2776548	0.0420461	0.0776712	0.2039608	0.8908795
0.7427863	0.1093014	0.0336805	0.0050006	0.0028545	0.3652607	0.6344860	0.4258281	0.0191636	0.5842698	0.5624647	0.4974513	0.0444383	0.2332578	0.6839085	0.3097076
