G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.0000000	0.1924543	0.0147168	0.0282292	0.2621446	0.4619755	0.6325468	0.2044236	0.0281197	0.4011046	0.0558005	0.0229405	0.3195628	0.4136325	0.0799341	0.3291661
0.7278144	0.0000000	0.0026056	0.0086077	0.0229114	0.5233111	0.5937089	0.3485270	0.0371032	0.6224780	0.6273207	0.3853912	0.0385751	0.2758117	0.5745854	0.7652778
0.7141543	0.0673019	0.0000000	0.0132171	0.0137314	0.3299948	0.6739157	0.3962647	0.0244444	0.6176375	0.5493185	0.4421808	0.0677266	0.2352980	0.4687045	0.7509684
0.8328488	0.0684431	0.0006289	0.0000000	0.0077125	0.3801187	0.6466470	0.3506121	0.0283925	0.5961704	0.5796511	0.4430144	0.0757961	0.3051096	0.5172137	0.6510378
0.6220880	0.0549764	0.0033784	0.0035445	0.0000000	0.3576834	0.6666058	0.3793736	0.0324990	0.4866437	0.6020213	0.3971501	0.0565991	0.2250734	0.5190257	0.8167461
0.8500259	0.0468489	0.0123507	0.0098147	0.0257710	0.0000000	0.7892070	0.6585489	0.0280502	0.5377356	0.5807815	0.5023453	0.0448325	0.2384583	0.5394302	0.6151413
0.7032175	0.0305940	0.0055807	0.0025789	0.0086158	0.3716732	0.0008440	0.3427648	0.0464517	0.5469060	0.4782032	0.6316821	0.0986440	0.2458146	0.4397213	0.5830165
0.6477213	0.0618739	0.0076169	0.0163145	0.0209873	0.4171513	0.7046231	0.0000000	0.0058958	0.6831905	0.7051830	0.5541869	0.0473859	0.2402426	0.5477974	0.7263087
0.7360928	0.0729716	0.0044511	0.0109961	0.0001509	0.3531313	0.7888968	0.4256756	0.0000000	0.4861339	0.4522037	0.4667638	0.0590887	0.2394111	0.5695239	0.7856625
0.7672205	0.0746018	0.0096854	0.0070562	0.0164852	0.4360503	0.8963151	0.3661276	0.0201398	0.0000000	0.0792578	0.0235082	0.0878616	0.2230333	0.4869020	0.6937846
0.7380969	0.0340934	0.0020499	0.0110845	0.0242615	0.3348777	0.7251361	0.3357263	0.0173201	0.6386487	0.0000000	0.4257125	0.0631261	0.1702617	0.4197541	0.7660510
0.7886321	0.0886798	0.0166269	0.0063701	0.0116648	0.3164838	0.8176105	0.3690442	0.0513045	0.5151688	0.0900976	0.0000000	0.0554122	0.1922161	0.4574710	0.7878810
0.8094266	0.1208860	0.0015239	0.0074369	0.0088824	0.4624574	0.7941291	0.4303434	0.0190609	0.6250053	0.6410746	0.4950237	0.0000000	0.2178409	0.6319560	0.6427392
0.7204565	0.0836116	0.0086311	0.0036651	0.0393196	0.4474224	0.7244694	0.3396540	0.0239427	0.5032789	0.5957578	0.4617014	0.0565555	0.0000000	0.6193541	0.6526590
0.6950247	0.0707669	0.0138785	0.0035484	0.0139672	0.4837917	0.6732643	0.3682682	0.0400955	0.4995241	0.6003374	0.4064465	0.0568849	0.0553675	0.0000000	0.6838019
0.7108432	0.0657788	0.0134002	0.0383573	0.0132172	0.4591693	0.6160659	0.3607582	0.0435815	0.6552802	0.5381409	0.5614839	0.0324463	0.1754464	0.6759340	0.0000000
