G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
0.6875275	0.2079852	0.2349643	0.1035594	0.0211135	0.1936290	0.6715071	0.3358013	0.1206036	0.4328528	0.7304039	0.5113948	0.0189546	0.6481979	0.6792087	0.6505088
0.4575418	0.1065992	0.0948170	0.0013108	0.0004198	0.5110048	0.8039737	0.2915226	0.0046720	0.5804596	0.6248523	0.6392615	0.0528651	0.1118501	0.5922877	0.6888870
0.4139476	0.2208046	0.1432465	0.0001662	0.0046361	0.6737323	0.6877076	0.1399815	0.0157747	0.1872172	0.7256973	0.5256215	0.0892454	0.1921784	0.2691145	0.7836364
0.5847302	0.0504010	0.0319368	0.0695007	0.5343879	0.1677988	0.7858824	0.4149596	0.2099894	0.3454471	0.6225398	0.6091304	0.5585049	0.1813061	0.2017433	0.3556608
0.7148901	0.0945979	0.0058702	0.0050515	0.0266217	0.5379482	0.6852321	0.2495682	0.0008349	0.4258261	0.7261155	0.5581923	0.0101658	0.0795649	0.3298207	0.6826669
0.7467560	0.1383860	0.0006398	0.0004462	0.0216874	0.5989081	0.4738981	0.0694702	0.0462178	0.4681755	0.6360008	0.4740025	0.2720850	0.1344006	0.4137453	0.4996063
0.7002138	0.1756159	0.2162649	0.2961804	0.4167020	0.0921763	0.7000876	0.2023018	0.4959353	0.2535168	0.5576148	0.6362733	0.4447047	0.2736368	0.5576189	0.1000680
0.4178004	0.2880943	0.1752505	0.0410454	0.2346325	0.0722421	0.4196642	0.5175453	0.2107769	0.3864707	0.6607735	0.6330139	0.3496088	0.1214920	0.3432081	0.3863462
0.7794682	0.3179990	0.0761207	0.1284912	0.0105682	0.4667743	0.7720578	0.1052094	0.1357287	0.4331812	0.5677617	0.4390735	0.0213017	0.2389172	0.3328338	0.6929449
0.6269590	0.1180111	0.0004364	0.0001521	0.5772867	0.1927367	0.3881502	0.4160945	0.2278574	0.2122674	0.7332258	0.5171884	0.3825959	0.1060836	0.3893759	0.1229838
0.8622486	0.4512190	0.3409059	0.4140974	0.0028641	0.5014551	0.7183590	0.1647040	0.0194694	0.7059204	0.6247097	0.4198192	0.1254300	0.0049979	0.4531685	0.6604084
0.3408615	0.1796348	0.1285018	0.0088307	0.0390775	0.2162763	0.7819616	0.3998117	0.2481238	0.0471682	0.4631433	0.4009484	0.0404859	0.5559675	0.5358172	0.6519842
0.7390411	0.2255563	0.2378706	0.0031556	0.0696681	0.3388433	0.8486216	0.3009150	0.0017292	0.5359640	0.4590497	0.3773433	0.0307801	0.0618899	0.3234667	0.6961002
0.6663347	0.0685873	0.2214349	0.2514582	0.2104791	0.2067577	0.5974203	0.4561090	0.1474711	0.5425891	0.6179879	0.4684656	0.2254998	0.3818852	0.4197008	0.2671056
0.7388568	0.4804611	0.3147640	0.3535585	0.0206063	0.4066663	0.6487578	0.2617404	0.0302516	0.5260360	0.6272431	0.4072898	0.1703944	0.1512851	0.3176067	0.5495264
0.5693137	0.2020207	0.0088028	0.0145866	0.1737538	0.4298263	0.3671136	0.2524681	0.2014999	0.2111199	0.6372138	0.4539477	0.1119281	0.0414001	0.1776175	0.5399351
